Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Untuk Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan (Pengurangan) Investasi,Aset Lainnya,Penerimaan Dari Penjualan Aset Tetap,Pembayaran Uang Muka Investasi,Kenaikan Uang Jaminan,Dampak Pelepasan Investasi Terhadap Aset Tetap,Penghasilan Bunga Atas Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank Jangka Pendek :,Penerimaan,Pembayaran,Total Pinjaman Bank Jangka Pendek :,Penerimaan (Pembayaran) Pinjaman Bank Jangka Panjang,Pembayaran Beban Bunga Dan Beban Pendanaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2015,-126443892595.000000,2206115010437.000000,,-2326210466329.000000,-6325576075.000000,-2332536042404.000000,-22860628.000000,-126443892595.000000,-11203730518.000000,-16154111590.000000,,-3420255.000000,695661511.000000,,,,4258139816.000000,-11203730518.000000,134678065495.000000,,106672849007.000000,,106672849007.000000,51590955723.000000,-23585739235.000000,134678065495.000000,-2969557618.000000,46708782437.000000,9769936083.000000,53509160902.000000
12M 2016,77762035374.000000,2335413898941.000000,,-2250873857020.000000,-6693869211.000000,-2257567726231.000000,-84137336.000000,77762035374.000000,-207579140.000000,-659717795.000000,,,9090909.000000,,,,443047746.000000,-207579140.000000,-92736149344.000000,,,-16604043936.000000,-16604043936.000000,-35693589721.000000,-40438515687.000000,-92736149344.000000,-15181693110.000000,53509160902.000000,-718818265.000000,37608649527.000000
12M 2017,21767860847.000000,2663828038783.000000,,-2632995501137.000000,-8910377552.000000,-2641905878689.000000,-154299247.000000,21767860847.000000,-42477353.000000,-575576725.000000,,,92272727.000000,,,,440826645.000000,-42477353.000000,-12126489859.000000,,39657322755.000000,,39657322755.000000,-2418837979.000000,-49364974635.000000,-12126489859.000000,9598893635.000000,37608649528.000000,306854626.000000,47514397789.000000
12M 2018,-19969259396.000000,3270838613037.000000,,-3282158184758.000000,-8121786578.000000,-3290279971336.000000,-527901097.000000,-19969259396.000000,830970014.000000,-997219617.000000,,,195000000.000000,,,,1633189631.000000,830970014.000000,-14925655671.000000,,,-47410351196.000000,-47410351196.000000,83781583739.000000,-51296888214.000000,-14925655671.000000,-34063945053.000000,47514397789.000000,270191516.000000,13720644252.000000
12M 2019,122865999617.000000,2884362744222.000000,,-2750461573106.000000,-9914800394.000000,-2760376373500.000000,-1120371105.000000,122865999617.000000,-57543627524.000000,-1284586849.000000,-62311200043.000000,,4104213630.000000,,,,1947945738.000000,-57543627524.000000,-42876679211.000000,,,-16670402745.000000,-16670402745.000000,13791617483.000000,-39997893949.000000,-42876679211.000000,22445692882.000000,13720644252.000000,-103604707.000000,36062732427.000000
12M 2020,110080050192.000000,2593664152344.000000,,-2470977300279.000000,-11939971771.000000,-2482917272050.000000,-666830102.000000,110080050192.000000,5745673981.000000,-4000120196.000000,4778517483.000000,,3082536359.000000,,,,1884740335.000000,5745673981.000000,-42725048869.000000,,11958530370.000000,,11958530370.000000,-14513533878.000000,-40170045361.000000,-42725048869.000000,73100675304.000000,36062732427.000000,77384718.000000,109240792449.000000
12M 2021,148323984609.000000,3132163468146.000000,,-2970673289780.000000,-12543037757.000000,-2983216327537.000000,-623156000.000000,148323984609.000000,1865683190.000000,-4309456094.000000,-558224741.000000,,,,,,6733364025.000000,1865683190.000000,-30003542429.000000,,12369165993.000000,,12369165993.000000,-11243627360.000000,-31129081062.000000,-30003542429.000000,120186125370.000000,109240792449.000000,-63206043.000000,229363711776.000000
12M 2022,298296109036.000000,4760014844755.000000,,-4389332213989.000000,-12996925801.000000,-4402329139790.000000,-59389595929.000000,298296109036.000000,-173936829001.000000,-1395885906.000000,-180448895942.000000,,,,,,7907952847.000000,-173936829001.000000,-132344080461.000000,,,-88784105289.000000,-88784105289.000000,-16827188728.000000,-26732786444.000000,-132344080461.000000,-7984800426.000000,229363711776.000000,,221378911350.000000
12M 2023,45110849870.000000,4013202230607.000000,,-3921001805797.000000,-19823462738.000000,-3940825268535.000000,-27266112202.000000,45110849870.000000,-197288705083.000000,-59689267982.000000,-137599437101.000000,,,,,,,-197288705083.000000,79502733351.000000,,,131293836763.000000,131293836763.000000,-28231881496.000000,-23559221916.000000,79502733351.000000,-72675121862.000000,221378911350.000000,,148703789488.000000
12M 2024,81151181175.000000,3079029217442.000000,,-2952560569444.000000,-21761568579.000000,-2974322138023.000000,-23555898244.000000,81151181175.000000,-186279360022.000000,-33759465225.000000,-156530593084.000000,,69009009.000000,,,3941689278.000000,,-186279360022.000000,16034876486.000000,,,44410942743.000000,44410942743.000000,5673489555.000000,-34049555812.000000,16034876486.000000,-89093302361.000000,148703789488.000000,,59610487127.000000
