Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Bunga,Pembayaran Untuk Pajak Penghasilan Badan,Pembayaran Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Investasi Pada Entitas Asosiasi,Pencairan (Penempatan) Deposito Berjangka Yang Dibatasi Penggunaannya,Perolehan Aset Takberwujud,Penjualan Saham Atas Entitas Anak,Uang Muka Proyek,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Setoran Modal Saham,Setoran Modal Saham Kepentingan Non Pengendali,Setoran Modal Penawaran Perdana,Pembayaran Biaya Penawaran Umum Saham,Pembayaran Biaya Emisi Efek,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-8362387162.000000,6016771950140.000000,4372090.000000,-6020947227774.000000,-1438863342.000000,-571096638.000000,-22187528.000000,-2159334110.000000,-8362387162.000000,-1850112157.000000,-21169691.000000,,,,,,-1828942466.000000,-1850112157.000000,10936585955.000000,1009667679.000000,-134361724.000000,602000000.000000,-1390720000.000000,10850000000.000000,,,,,10936585955.000000,724086636.000000,822848297.000000,1546934933.000000
12M 2019,-121678216118.000000,9527709036782.000000,3685028402.000000,-9628466331733.000000,-2745304510.000000,-787889041.000000,-16520128120.000000,-4552627898.000000,-121678216118.000000,-10070089759.000000,-31589759.000000,-300000000.000000,,-9738500000.000000,,,,-10070089759.000000,201920396285.000000,15748505760.000000,-20302563340.000000,20970501023.000000,-5851364500.000000,,500.000000,191355316842.000000,,,201920396285.000000,70172090408.000000,1546934933.000000,71719025341.000000
12M 2020,-49128698330.000000,3193085024210.000000,871635953.000000,-3235179450787.000000,-3416164628.000000,-622137786.000000,-702314662.000000,-3165290630.000000,-49128698330.000000,-38800000000.000000,,,-38800000000.000000,,,,,-38800000000.000000,16387196635.000000,42748668466.000000,,3367219726.000000,-29728691557.000000,,,,,,16387196635.000000,-71541501695.000000,71719025341.000000,177523646.000000
12M 2021,22547798187.000000,3498458781127.000000,23947317.000000,-3469549607806.000000,-2827170620.000000,-243415272.000000,-229691843.000000,-3085044716.000000,22547798187.000000,36753467000.000000,-1026533000.000000,,38800000000.000000,,,-1020000000.000000,,36753467000.000000,-59199034512.000000,-39246543373.000000,,212270823352.000000,-232223314491.000000,,,,,,-59199034512.000000,102230675.000000,177523646.000000,279754321.000000
12M 2022,-26533656635.000000,4114701005741.000000,1230650.000000,-4123522984808.000000,-2553438232.000000,-376503708.000000,-7585053018.000000,-7197913260.000000,-26533656635.000000,,,,,,,,,,26415494935.000000,1497831812.000000,,78546232312.000000,-53628569189.000000,,,,,,26415494935.000000,-118161700.000000,279754321.000000,161592621.000000
12M 2023,-11867568785.000000,2127670802580.000000,30275745.000000,-2147069649816.000000,-1800721900.000000,119338.000000,-10005480000.000000,19307085268.000000,-11867568785.000000,-8500000.000000,-8500000.000000,,,,,,,-8500000.000000,11759268714.000000,,,12960347714.000000,-1201079000.000000,,,,,,11759268714.000000,-116800071.000000,161592621.000000,44792550.000000
12M 2024,-8312965.000000,12602097063.000000,,-11660238827.000000,-1033673871.000000,,-113679350.000000,197182020.000000,-8312965.000000,,,,,,,,,,,,,,,,,,,,,-8312965.000000,44792550.000000,36479585.000000
