Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2018,2.38,0.29,0.03,1.23,0.0,0.0,0.02,0.02,0.23
12M 2019,28.61,18.37,0.0,1.03,0.0,0.0,-0.2,0.0,0.03
12M 2020,6.88,2.87,0.12,1.16,0.0,0.0,0.12,0.1,0.15
12M 2021,33.86,17.43,0.01,1.33,0.0,0.0,0.01,0.01,0.32
12M 2022,19.06,7.69,0.02,1.09,0.0,0.0,0.02,0.02,0.07
12M 2023,8.36,4.04,0.04,1.23,0.0,0.0,0.04,0.04,0.21
12M 2024,9.1,4.81,0.05,1.23,0.0,0.0,0.05,0.04,0.21
