Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,(8 B),(2 B),(10 B),-8.93
12M 2019,(122 B),(0 B),(122 B),-79.83
12M 2020,(49 B),,(49 B),-32.22
12M 2021,23 B,(1 B),22 B,14.12
12M 2022,(27 B),,(27 B),-17.40
12M 2023,(12 B),(0 B),(12 B),-7.79
12M 2024,(0 B),,(0 B),-0.01
