Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Deposito Berjangka,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Pajak,Utang Lain-Lain,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain Jangka Panjang,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,1546934933.000000,,,,,7829808978.000000,,,7829808978.000000,71680667026.000000,,444849818.000000,81502260755.000000,,44681729.000000,19669716863.000000,33719261.000000,83246859621.000000,102994977474.000000,184497238229.000000,,,34247673291.000000,4554057580.000000,,12670291331.000000,,179929968.000000,16843394412.000000,34247673291.000000,736877043.000000,,602000000.000000,134877043.000000,736877043.000000,34984550334.000000,,114351000000.000000,375000000.000000,34737370194.000000,1967.000000,,49315734.000000,149512687895.000000,184497238229.000000,1143510000.000000
12M 2019,,,71719025341.000000,88276019392.000000,,,88276019392.000000,15224865156.000000,,,15224865156.000000,97732426555.000000,,64849909.000000,273017186353.000000,,1604497968.000000,87561337524.000000,46562455.000000,334669000.000000,89547066947.000000,362564253300.000000,,,9543075613.000000,,,1244257691.000000,1666086250.000000,3636677854.000000,2996053818.000000,9543075613.000000,423434529.000000,,237184712.000000,186249817.000000,423434529.000000,9966510142.000000,,152468000000.000000,153513316842.000000,46569290016.000000,1744.000000,,47134556.000000,352597743158.000000,362564253300.000000,1524680000.000000
12M 2020,,,177523646.000000,37251691869.000000,,,37251691869.000000,53327999862.000000,,,53327999862.000000,196433154037.000000,38800000000.000000,11305500000.000000,337295869414.000000,,1536171037.000000,74760772362.000000,67660795.000000,300000000.000000,76664604194.000000,413960473608.000000,,,49009407060.000000,42748668466.000000,,1413396290.000000,1432490724.000000,725986551.000000,2688865029.000000,49009407060.000000,4119249353.000000,50000000.000000,3604404438.000000,464844915.000000,4119249353.000000,53128656413.000000,,152468000000.000000,153513316842.000000,50432049582.000000,4414238299.000000,,4212472.000000,360831817195.000000,413960473608.000000,1524680000.000000
12M 2021,,,279754321.000000,70113597552.000000,,,70113597552.000000,129263736616.000000,,,129263736616.000000,188152820117.000000,,7500000.000000,387817408606.000000,,2067043590.000000,62116294978.000000,71506863.000000,12538522656.000000,76793368087.000000,464610776693.000000,,,11455219160.000000,3502125093.000000,1917689166.000000,2528027566.000000,747586255.000000,778599744.000000,1981191336.000000,11455219160.000000,99508541240.000000,,99124209098.000000,384332142.000000,99508541240.000000,110963760400.000000,,152468000000.000000,153513316842.000000,42995283595.000000,4626998033.000000,,43417823.000000,353647016293.000000,464610776693.000000,1524680000.000000
12M 2022,,,161592621.000000,72571658561.000000,,,72571658561.000000,42767908788.000000,15388403894.000000,27379504894.000000,42767908788.000000,170801474797.000000,,7500000.000000,286310134767.000000,,1132947480.000000,66838732223.000000,217564191.000000,18027656.000000,68207271550.000000,354517406317.000000,,,15024420555.000000,4999956905.000000,1906981499.000000,4241769326.000000,,1796767714.000000,2078945111.000000,15024420555.000000,8784992464.000000,747586255.000000,7340178996.000000,697227213.000000,8784992464.000000,23809413019.000000,,152468000000.000000,153513316842.000000,20131193958.000000,4621372734.000000,,-25890236.000000,330707993298.000000,354517406317.000000,1524680000.000000
12M 2023,,,44792550.000000,99968592985.000000,,,99968592985.000000,36537870863.000000,25444870863.000000,11093000000.000000,36537870863.000000,148549922845.000000,,2114852751.000000,287216031994.000000,,502532611.000000,60075994541.000000,219408117.000000,18027656.000000,60815962925.000000,348031994919.000000,,,34341152046.000000,4999956905.000000,1017461503.000000,24116203834.000000,,756232730.000000,3451297074.000000,34341152046.000000,24963890267.000000,7397558170.000000,16859400011.000000,706932086.000000,24963890267.000000,59305042313.000000,,152468000000.000000,153513316842.000000,-22001283698.000000,4621372733.000000,-26185746.000000,151732475.000000,288726952606.000000,348031994919.000000,1524680000.000000
12M 2024,,,36479586.000000,104404766414.000000,,,104404766414.000000,36537870863.000000,25444870863.000000,11093000000.000000,36537870863.000000,127060713439.000000,,1497362967.000000,269537193269.000000,,243774361.000000,55935670826.000000,219408117.000000,18027656.000000,56416880960.000000,325954074229.000000,,,29629568837.000000,4999956905.000000,243408666.000000,24005299507.000000,,380294530.000000,609229.000000,29629568837.000000,26463890267.000000,8897558170.000000,16859400011.000000,706932086.000000,26463890267.000000,56093459104.000000,,152468000000.000000,153513316842.000000,-40867621032.000000,4595186840.000000,,151732475.000000,269860615125.000000,325954074229.000000,1524680000.000000
