Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,195482025228.000000,-168291837834.000000,27190187394.000000,-16928972804.000000,-5578225808.000000,-11350746996.000000,-16928972804.000000,10261214590.000000,-9031482794.000000,-625092027.000000,1699435910.000000,,-10105826677.000000,-9031482794.000000,1229731796.000000,-367905816.000000,,,-259138226.000000,-259138226.000000,-108767590.000000,-367905816.000000,861825980.000000,-33621883.000000,828204097.000000,,,828204097.000000,861825980.000000,-33621883.000000,828204097.000000,,,,
12M 2009,31173107021.000000,-21290245211.000000,9882861810.000000,-15880867048.000000,-2920282591.000000,-12960584457.000000,-15880867048.000000,-5998005238.000000,-373105964.000000,-631031594.000000,308131648.000000,,-50206018.000000,-373105964.000000,-6371111202.000000,-772453146.000000,,-743689235.000000,-5463780.000000,-749153015.000000,-23300131.000000,-772453146.000000,-7143564348.000000,-19841013.000000,-7163405361.000000,,,-7163405361.000000,-7143564348.000000,-19841013.000000,-7163405361.000000,,,,
12M 2010,44770782701.000000,-27868057074.000000,16902725627.000000,-29363342696.000000,-3640366301.000000,-25722976395.000000,-29363342696.000000,-12460617069.000000,-364602088.000000,-621003266.000000,807586076.000000,-470712422.000000,-80472476.000000,-364602088.000000,-12825219157.000000,-1838142745.000000,,-1885580511.000000,,-1885580511.000000,47437766.000000,-1838142745.000000,-14663361902.000000,-49047264.000000,-14712409166.000000,,,-14712409166.000000,-14663361902.000000,-49047264.000000,-14712409166.000000,,,,
12M 2011,17718809789.000000,-13393646172.000000,4325163617.000000,-30388227242.000000,-6323552665.000000,-24064674577.000000,-30388227242.000000,-26063063625.000000,6431858846.000000,-263293537.000000,,,6695152383.000000,6431858846.000000,-19631204779.000000,-1152761193.000000,,-1170247422.000000,,-1170247422.000000,17486229.000000,-1152761193.000000,-20783965972.000000,,-20783965972.000000,,-20783965972.000000,-20783965972.000000,-20692925420.000000,-91040552.000000,-20783965972.000000,-20783965972.000000,-20692925420.000000,-91040552.000000,-20783965972.000000
12M 2012,13399164622.000000,-33953881037.000000,-20554716415.000000,-24859639307.000000,-2848589265.000000,-22011050042.000000,-24859639307.000000,-45414355722.000000,-11513330215.000000,-13993981635.000000,,,2480651420.000000,-11513330215.000000,-56927685937.000000,-1468487542.000000,,-1490676925.000000,,-1490676925.000000,22189383.000000,-1468487542.000000,-58396173479.000000,,-58396173479.000000,,-58396173479.000000,-58396173479.000000,-58357351624.000000,-38821855.000000,-58396173479.000000,-58396173479.000000,-58357351624.000000,-38821855.000000,-58396173479.000000
12M 2013,11385096413.000000,-33234162081.000000,-21849065668.000000,-21786839820.000000,-4235651247.000000,-17551188573.000000,-21786839820.000000,-43635905488.000000,-14157012161.000000,-15841733089.000000,,,1684720928.000000,-14157012161.000000,-57792917649.000000,-1345659517.000000,,-1357784517.000000,,-1357784517.000000,12125000.000000,-1345659517.000000,-59138577166.000000,,-59138577166.000000,,-59138577166.000000,-59138577166.000000,-59119616846.000000,-18960320.000000,-59138577166.000000,-59138577166.000000,-59119616846.000000,-18960320.000000,-59138577166.000000
12M 2014,107391372309.000000,-54192126335.000000,53199245974.000000,-23148218410.000000,-2891847849.000000,-20256370561.000000,-23148218410.000000,30051027564.000000,-15220430731.000000,-17380911578.000000,,,2160480847.000000,-15220430731.000000,14830596833.000000,-7635670387.000000,,-7635670387.000000,,-7635670387.000000,,-7635670387.000000,7194926446.000000,,7194926446.000000,,7194926446.000000,7194926446.000000,7215354342.000000,-20427896.000000,7194926446.000000,7194926446.000000,7215354342.000000,-20427896.000000,7194926446.000000
12M 2015,60101438265.000000,-44659882968.000000,15441555297.000000,-23587997956.000000,-1608637817.000000,-21979360139.000000,-23587997956.000000,-8146442659.000000,-14641392057.000000,-15945128087.000000,,,1303736030.000000,-14641392057.000000,-22787834716.000000,-5439167997.000000,,-5439167997.000000,,-5439167997.000000,,-5439167997.000000,-28227002713.000000,,-28227002713.000000,585520973.000000,-27641481740.000000,-28227002713.000000,-28213215707.000000,-13787006.000000,-28227002713.000000,-27641481740.000000,-27623328885.000000,-18152855.000000,-27641481740.000000
12M 2016,52413771234.000000,-41335916565.000000,11077854669.000000,-28753879141.000000,-3410190417.000000,-25343688724.000000,-28753879141.000000,-17676024472.000000,-11272264703.000000,-14811716617.000000,,-4721396267.000000,8260848181.000000,-11272264703.000000,-28948289175.000000,,,,,,,,-28948289175.000000,,-28948289175.000000,2135118392.000000,-26813170783.000000,-28948289175.000000,-28978973492.000000,30684317.000000,-28948289175.000000,-26813170783.000000,-26843855100.000000,30684317.000000,-26813170783.000000
12M 2017,43188508734.000000,-40877269369.000000,2311239365.000000,-29703036010.000000,-3720769305.000000,-25982266705.000000,-29703036010.000000,-27391796645.000000,-15941736567.000000,-12594869844.000000,,-5237998587.000000,1891131864.000000,-15941736567.000000,-43333533212.000000,163366883.000000,,,,,,163366883.000000,-43170166329.000000,,-43170166329.000000,-3011794439.000000,-46181960768.000000,-43170166331.000000,-43162387692.000000,-7778639.000000,-43170166331.000000,-46181960770.000000,-46174643382.000000,-7317388.000000,-46181960770.000000
