Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.47,106.23,0.47,106.23,,4 B,4 B,(21 B),272 B
12M 2009,1.46,105.05,1.46,105.05,,,,(3 B),257 B
12M 2010,1.09,106.66,1.09,106.66,,,,(139 B),331 B
12M 2011,1.11,103.63,1.11,103.63,,,,(89 B),271 B
12M 2012,0.93,95.09,0.93,95.09,,,,(30 B),215 B
12M 2013,0.93,86.43,0.93,86.43,2 B,2 B,3 B,(0 B),165 B
12M 2014,1.12,87.49,1.12,87.49,98 B,98 B,196 B,176 B,93 B
12M 2015,1.07,83.82,1.07,83.82,2 B,2 B,4 B,(5 B),144 B
12M 2016,0.88,79.89,0.88,79.89,145 B,145 B,289 B,(6 B),(188 B)
12M 2017,1.03,73.13,1.03,73.13,2 B,2 B,4 B,(3 B),(86 B)
12M 2018,0.90,67.83,0.90,67.83,3 B,,3 B,(2 B),(105 B)
12M 2019,0.90,68.06,0.90,68.06,6 B,,6 B,(58 B),(52 B)
12M 2020,0.80,64.06,0.80,64.06,10 B,,10 B,(18 B),(85 B)
12M 2021,1.48,59.44,1.48,59.44,,,,(23 B),(26 B)
12M 2022,1.58,55.00,1.58,55.00,,,,(8 B),(62 B)
12M 2023,1.00,50.84,1.00,50.84,,,,(4 B),(100 B)
12M 2024,1.11,46.02,1.11,46.02,,,,(3 B),(127 B)
