Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Real Estat,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Persediaan,Aset Pajak Tangguhan,Tanah Untuk Dikembangkan,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,25320881008.000000,99000000000.000000,69208601312.000000,,69208601312.000000,69208601312.000000,392329005.000000,,392329005.000000,392329005.000000,,168813928979.000000,35608648061.000000,398344388365.000000,,,,62836707.000000,108707378078.000000,,416856055766.000000,1712400662.000000,527338671213.000000,925683059578.000000,,,126217697159.000000,,,84922794742.000000,84922794742.000000,,,,15400000.000000,15400000.000000,1827771134.000000,39451731283.000000,,,,,126217697159.000000,159147810671.000000,,131776762899.000000,131776762899.000000,4364880127.000000,,,,23006167645.000000,159147810671.000000,285365507830.000000,,602449495000.000000,33743249153.000000,3815980789.000000,308826806.000000,,640317551748.000000,925683059578.000000,6024494950.000000
12M 2009,,,2515076982.000000,70600000000.000000,69903137307.000000,,69903137307.000000,69903137307.000000,2693845319.000000,,2693845319.000000,2693845319.000000,,146839623723.000000,9550714463.000000,302102397794.000000,,,,39536566.000000,108707378078.000000,,445957709856.000000,4433845077.000000,559138469577.000000,861240867371.000000,,,45588227944.000000,,,31245161377.000000,31245161377.000000,,,,1440865466.000000,1440865466.000000,192807480.000000,12709393621.000000,,,,,45588227944.000000,182472128948.000000,,171302249229.000000,171302249229.000000,,,,,11169879719.000000,182472128948.000000,228060356892.000000,,602449497000.000000,33743249853.000000,-3347424572.000000,335188198.000000,,633180510479.000000,861240867371.000000,6024494970.000000
12M 2010,,,139316778879.000000,,91120961158.000000,6415835000.000000,84705126158.000000,91120961158.000000,1254734294.000000,,1254734294.000000,1254734294.000000,,162151242732.000000,16255004096.000000,410098721159.000000,,,,86974332.000000,108707378078.000000,,495319917581.000000,3331327258.000000,607445597249.000000,1017544318408.000000,,,79567910825.000000,,,47654745971.000000,47654745971.000000,,,,,,3364533400.000000,24354628283.000000,,,,4194003171.000000,79567910825.000000,209006720010.000000,,202822744220.000000,202822744220.000000,,,,,6183975790.000000,209006720010.000000,288574630835.000000,,731502225200.000000,69068728149.000000,-23582501238.000000,384235462.000000,-48403000000.000000,728969687573.000000,1017544318408.000000,6830992252.000000
12M 2011,,,88866456451.000000,,58915089450.000000,2613896299.000000,56301193151.000000,58915089450.000000,1735703251.000000,,1735703251.000000,1735703251.000000,,172302099172.000000,15366368376.000000,337185716700.000000,,216538297.000000,,104460561.000000,108707378078.000000,,528794645610.000000,1479927370.000000,639302949916.000000,976488666616.000000,,,66494868388.000000,,,29971827008.000000,29971827008.000000,,5026293202.000000,,,5026293202.000000,5984361832.000000,24679990073.000000,,,,832396273.000000,66494868388.000000,201808076627.000000,,194602829886.000000,194602829886.000000,,,,,7205246741.000000,201808076627.000000,268302945015.000000,,731502225200.000000,69068728149.000000,-44275426658.000000,293194910.000000,-48403000000.000000,708185721601.000000,976488666616.000000,6830992252.000000
12M 2012,,,30188448096.000000,,56696308346.000000,1208518816.000000,55487789530.000000,56696308346.000000,1231300751.000000,,1231300751.000000,1231300751.000000,,174656226310.000000,13985275479.000000,276757558982.000000,,6159780.000000,,126649944.000000,108707378078.000000,,512536300689.000000,1814313435.000000,623190801926.000000,899948360908.000000,,,62119313697.000000,,,30310957980.000000,30310957980.000000,,,100000000.000000,713393039.000000,813393039.000000,8622380073.000000,19720224016.000000,,,,2652358589.000000,62119313697.000000,188039499089.000000,,173559662726.000000,173559662726.000000,,,,,14479836363.000000,188039499089.000000,250158812786.000000,,731502225200.000000,69068728149.000000,-102632778282.000000,254373055.000000,-48403000000.000000,649789548122.000000,899948360908.000000,6830992252.000000
12M 2013,,,3428129782.000000,,45176958062.000000,587336066.000000,44589621996.000000,45176958062.000000,1006200566.000000,,1006200566.000000,1006200566.000000,,178325882284.000000,11820398031.000000,239757568725.000000,,,,138774944.000000,108707378078.000000,485623554053.000000,9588861628.000000,1671041418.000000,605729610121.000000,845487178846.000000,,,75153331479.000000,,,29608220729.000000,29608220729.000000,,,193600000.000000,19550038297.000000,19743638297.000000,8466354155.000000,10200127179.000000,,1500000000.000000,1500000000.000000,5634991119.000000,75153331479.000000,179682876411.000000,,167358263565.000000,167358263565.000000,,,,,12324612846.000000,179682876411.000000,254836207890.000000,,731502225200.000000,69068728149.000000,-161752395128.000000,235412735.000000,-48403000000.000000,590650970956.000000,845487178846.000000,6830992252.000000
12M 2014,,,19923251682.000000,,30847312810.000000,596950762.000000,30250362048.000000,30847312810.000000,1106504612.000000,,1106504612.000000,1106504612.000000,,172753880125.000000,16326646139.000000,240957595368.000000,,,,138774944.000000,108707378078.000000,469601414972.000000,8237446084.000000,1550433897.000000,588235447975.000000,829193043343.000000,,,147664480103.000000,,,30277723723.000000,30277723723.000000,,,,3012325800.000000,3012325800.000000,9069536541.000000,529692017.000000,,98031120000.000000,98031120000.000000,6744082022.000000,147664480103.000000,83682665838.000000,,67454165020.000000,67454165020.000000,,,,,16228500818.000000,83682665838.000000,231347145941.000000,,731502225200.000000,69068728149.000000,-154537040786.000000,214984839.000000,-48403000000.000000,597845897402.000000,829193043343.000000,6830992252.000000
12M 2015,,,8650742278.000000,,2866612894.000000,376957549.000000,2489655345.000000,2866612894.000000,66995337.000000,,66995337.000000,66995337.000000,,192996867741.000000,8722837091.000000,213304055341.000000,,,,138774944.000000,,562808596980.000000,7480571790.000000,7429826381.000000,577857770095.000000,791161825436.000000,,,69540984373.000000,,,30204450296.000000,30204450296.000000,,,2903600000.000000,2416595935.000000,5320195935.000000,8875233288.000000,561122016.000000,,1800000000.000000,1800000000.000000,22779982838.000000,69540984373.000000,148863299523.000000,,145584745020.000000,145584745020.000000,,,,,3278554503.000000,148863299523.000000,218404283896.000000,,683099225200.000000,69068728149.000000,-182976498743.000000,193828450.000000,3372258484.000000,572757541540.000000,791161825436.000000,6830992252.000000
12M 2016,,,5921911791.000000,,1516553662.000000,376957549.000000,1139596113.000000,1516553662.000000,514522201.000000,,514522201.000000,514522201.000000,,41189086272.000000,180267099.000000,49322341025.000000,,,163696172021.000000,,,547963106287.000000,6990841854.000000,17123190963.000000,735773311125.000000,785095652150.000000,,,237437805967.000000,,,32150665610.000000,32150665610.000000,,,16181513488.000000,23631727992.000000,39813241480.000000,9329308514.000000,422167554.000000,,144678455020.000000,144678455020.000000,11043967789.000000,237437805967.000000,1713475426.000000,,,,,,,,1713475426.000000,1713475426.000000,239151281393.000000,,683099225200.000000,69068728149.000000,-211955472235.000000,224512767.000000,5507376876.000000,545944370757.000000,785095652150.000000,6830992252.000000
12M 2017,,,6334205342.000000,,2482106250.000000,376957549.000000,2105148701.000000,2482106250.000000,2040886299.000000,2040886299.000000,,2040886299.000000,,40908429137.000000,281907745.000000,52047534773.000000,,,168311066704.000000,163366883.000000,,535492075676.000000,12072121971.000000,15408592692.000000,731447223926.000000,783494758699.000000,,,138154620099.000000,,,34459887515.000000,34459887515.000000,,,16181513488.000000,62905001611.000000,79086515099.000000,6839345717.000000,6425161184.000000,,1800000000.000000,1800000000.000000,9543710584.000000,138154620099.000000,145577267360.000000,,140412455020.000000,140412455020.000000,,,,,5164812340.000000,145577267360.000000,283731887459.000000,,683099225200.000000,69068728149.000000,-255117859927.000000,217195379.000000,2495582437.000000,499762871238.000000,783494758697.000000,6830992252.000000
