Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga Deposito Dan Jasa Giro,Uang Muka Lainnya,Pembayaran Beban Keuangan,Pembayaran Pajak,Beban Usaha,Penerimaan Dari Restitusi,Penerimaan Dan Pengeluaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi Jangka Pendek,Pembayaran Uang Muka Proyek,Uang Muka Pembelian Aset Tetap,Penerimaan Penjualan Aset Tetap,Pencairan Aset Tidak Lancar Lainnya,Penambahan Aset Dalam Penyelesaian,Perolehan Bangunan Dalam Kontruksi,Rugi Yang Terealisasi Atas Pelepasan Investasi Jangka Pendek,Penambahan Properti Investasi,Perolehan Aset Tetap,Penambahan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank,Pengurangan (Penambahan) Piutang Pihak Berelasi,Penerimaan Pelaksanaan Waran,Perolehan Saham Diperoleh Kembali,Setoran Modal Oleh Pemegang Saham,Beban Perolehan Saham Treasury,Pembayaran Biaya Emisi Saham,Agio Saham Waran,Pembayaran Provisi Dan Administrasi Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-65925167599.000000,83378544411.000000,,-5472409689.000000,-136255615283.000000,1654571208.000000,,-55416698.000000,-1102398441.000000,-8072443107.000000,,,-65925167599.000000,-11451111933.000000,1000000000.000000,,,140000000.000000,,,,-10130544954.000000,,-748166318.000000,-1712400661.000000,-11451111933.000000,114237211276.000000,106776762899.000000,,4364880127.000000,3104318250.000000,,,,,,-8750000.000000,114237211276.000000,-53074571125.000000,78395452133.000000,25320881008.000000
12M 2009,-55864837039.000000,17829834088.000000,,-6557734637.000000,-83731419935.000000,308131648.000000,,-14801487.000000,-2646190052.000000,-8489584987.000000,27436928323.000000,,-55864837039.000000,28004784924.000000,28400000000.000000,,,,,,,,,-395215076.000000,,28004784924.000000,34232606205.000000,39525486332.000000,,-4364880127.000000,,,,,,,-928000000.000000,34232606205.000000,-22805804026.000000,25320881008.000000,2515076982.000000
12M 2010,-26951014877.000000,20528249488.000000,,-19033271897.000000,-9326160893.000000,807586076.000000,,-620681266.000000,-216294877.000000,-19090441508.000000,,,-26951014877.000000,60992267252.000000,70600000000.000000,,,,,,,,,-9607732748.000000,,60992267252.000000,143094038690.000000,39197750772.000000,-6556251078.000000,,174058806496.000000,-63606267500.000000,,,,,,143094038690.000000,136801701897.000000,2515076982.000000,139316778879.000000
12M 2011,-6724186233.000000,50788213540.000000,,-62117355295.000000,,715362431.000000,,-263293537.000000,-1829479695.000000,,,5982366323.000000,-6724186233.000000,-35026390027.000000,,,,,,,,,,-35026390027.000000,,-35026390027.000000,-8699746168.000000,65000000000.000000,-73483207871.000000,-216538297.000000,,,,,,,,-8699746168.000000,-50450322428.000000,139316778879.000000,88866456451.000000
12M 2012,-33889529354.000000,23639750124.000000,-44584611888.000000,,,1676450655.000000,,-13789322100.000000,-1635996910.000000,,,804200765.000000,-33889529354.000000,-3751030823.000000,,,,,,,,,,-3751030823.000000,,-3751030823.000000,-21037448178.000000,60000000000.000000,-81247826695.000000,210378517.000000,,,,,,,,-21037448178.000000,-58678008355.000000,88866456451.000000,30188448096.000000
12M 2013,-18524660423.000000,23340844481.000000,-26573833842.000000,,,436495366.000000,,-15484582912.000000,-1491809075.000000,,,1248225559.000000,-18524660423.000000,-3290618334.000000,,,,,,,,,-2999783609.000000,-290834725.000000,,-3290618334.000000,-4945039557.000000,,-5058549338.000000,113509781.000000,,,,,,,,-4945039557.000000,-26760318314.000000,30188448096.000000,3428129782.000000
12M 2014,22728101064.000000,129014853068.000000,,-83579629972.000000,,1517175616.000000,,-17380911578.000000,-7486691301.000000,,,643305231.000000,22728101064.000000,-2666400620.000000,,,,,,,,,-2389074109.000000,-277326511.000000,,-2666400620.000000,-3566578545.000000,-3372978545.000000,,,,,-193600000.000000,,,,,-3566578545.000000,16495121899.000000,3428129782.000000,19923251681.000000
12M 2015,7541984756.000000,93640808122.000000,,-65867798385.000000,,321878124.000000,,-15945128087.000000,-5589632974.000000,,,981857956.000000,7541984756.000000,-3617554160.000000,,,,,,,,,-3011114762.000000,-606439398.000000,,-3617554160.000000,-15196940000.000000,-18100540000.000000,,,,,2903600000.000000,,,,,-15196940000.000000,-11272509404.000000,19923251682.000000,8650742278.000000
12M 2016,-450311005.000000,44212667239.000000,,-33476004066.000000,,268980232.000000,,-14811716617.000000,-4636159697.000000,,,7991921904.000000,-450311005.000000,-8091719532.000000,,,,,-234085005.000000,,,,-7277548072.000000,-580086455.000000,,-8091719532.000000,10571623488.000000,-2706290000.000000,,,,,13277913488.000000,,,,,10571623488.000000,2029592951.000000,3892318840.000000,5921911791.000000
12M 2017,34028240719.000000,115908422983.000000,,-71827409678.000000,,269214984.000000,,-12594869844.000000,-4732818986.000000,,,7005701260.000000,34028240719.000000,-14930792639.000000,,,,,249916180.000000,,,,-7547927137.000000,-7632781682.000000,,-14930792639.000000,-18685154529.000000,-2466000000.000000,,,,,-16219154529.000000,,,,,-18685154529.000000,412293551.000000,5921911791.000000,6334205342.000000
