Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Others,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Derivatif,Liabilitas Akseptasi,Pinjaman Yang Diterima,Utang Pajak,Beban Akrual,Utang Sewa Pembiayaan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,63355728000.000000,468798099000.000000,329516130000.000000,,5326987955000.000000,5863038000.000000,5321124917000.000000,5326987955000.000000,-130567962000.000000,5196419993000.000000,65935957000.000000,46055587000.000000,21442118000.000000,816246235000.000000,7007769847000.000000,,,36102307000.000000,5942777363000.000000,236344625000.000000,5706432738000.000000,5942777363000.000000,380650036000.000000,311141000.000000,19481784000.000000,14945000.000000,8989571000.000000,16938235000.000000,,81785831000.000000,6487051213000.000000,,500000000000.000000,2861342000.000000,17249034000.000000,13992969000.000000,3256065000.000000,17249034000.000000,608258000.000000,520718634000.000000,7007769847000.000000,5000000000.000000
12M 2010,,75961423000.000000,584362798000.000000,1148055884000.000000,,6129035939000.000000,6784264000.000000,6122251675000.000000,6129035939000.000000,-100739901000.000000,6028296038000.000000,64108629000.000000,36731345000.000000,15310048000.000000,715112393000.000000,8667938558000.000000,,,37117934000.000000,7213672462000.000000,20077079000.000000,7193595383000.000000,7213672462000.000000,461953240000.000000,359366000.000000,56971178000.000000,10360000.000000,10141909000.000000,24999391000.000000,,161943772000.000000,7967169612000.000000,,548607854000.000000,118302165000.000000,43202325000.000000,15506000000.000000,27696325000.000000,43202325000.000000,-9343398000.000000,700768946000.000000,8667938558000.000000,5486078541.000000
12M 2011,,64722000000.000000,477737000000.000000,682442000000.000000,,5105398000000.000000,250000000.000000,5105148000000.000000,5105398000000.000000,-161284000000.000000,4944114000000.000000,56106000000.000000,27593000000.000000,40161000000.000000,1006951000000.000000,7299826000000.000000,,,27330000000.000000,6011364000000.000000,106991000000.000000,5904373000000.000000,6011364000000.000000,400607000000.000000,588000000.000000,92420000000.000000,10000000.000000,6999000000.000000,18530000000.000000,,118884000000.000000,6676732000000.000000,,548608000000.000000,12048000000.000000,-55745000000.000000,17940000000.000000,-73685000000.000000,-55745000000.000000,118183000000.000000,623094000000.000000,7299826000000.000000,5486078541.000000
12M 2012,,72192877000.000000,469681274000.000000,992486785000.000000,,5149078125000.000000,234818000.000000,5148843307000.000000,5149078125000.000000,-106013253000.000000,5043064872000.000000,41023350000.000000,22245925000.000000,35159744000.000000,757948632000.000000,7433803459000.000000,,,15753136000.000000,6433765425000.000000,12136873000.000000,6421628552000.000000,6433765425000.000000,132230499000.000000,417182000.000000,31581967000.000000,9909000.000000,6012654000.000000,20590766000.000000,,79602160000.000000,6719963698000.000000,,548607854000.000000,233222815000.000000,-73000424000.000000,17939724000.000000,-90940148000.000000,-73000424000.000000,5009516000.000000,713839761000.000000,7433803459000.000000,5486078541.000000
12M 2013,,72732073000.000000,500453995000.000000,1259242768000.000000,,5516240218000.000000,71510000.000000,5516168708000.000000,5516240218000.000000,-138060816000.000000,5378179402000.000000,25044658000.000000,10439935000.000000,77221445000.000000,842550859000.000000,8165865135000.000000,,,8674720000.000000,6834891271000.000000,19087201000.000000,6815804070000.000000,6834891271000.000000,342812851000.000000,1009167000.000000,103146459000.000000,2242000.000000,7932962000.000000,25514140000.000000,,78003989000.000000,7401987801000.000000,,548607854000.000000,457206670000.000000,-154740823000.000000,17939724000.000000,-172680547000.000000,-154740823000.000000,-87196367000.000000,763877334000.000000,8165865135000.000000,5486078541.000000
12M 2014,,91556000000.000000,596195000000.000000,1538436000000.000000,,6257235000000.000000,70969000000.000000,6186266000000.000000,6257235000000.000000,-128402000000.000000,6128833000000.000000,19016000000.000000,9973000000.000000,85550000000.000000,960705000000.000000,9430264000000.000000,,,21140000000.000000,7734434000000.000000,919220000000.000000,6815214000000.000000,7734434000000.000000,235948000000.000000,112000000.000000,93962000000.000000,,10988000000.000000,44415000000.000000,441000000.000000,54255000000.000000,8195695000000.000000,,1503233000000.000000,6360000000.000000,-209291000000.000000,17940000000.000000,-227231000000.000000,-209291000000.000000,-65733000000.000000,1234569000000.000000,9430264000000.000000,15032327068.000000
12M 2015,,108955000000.000000,812623000000.000000,1335254000000.000000,,7085227000000.000000,57349000000.000000,7027878000000.000000,7085227000000.000000,-37962000000.000000,7047265000000.000000,50041000000.000000,10933000000.000000,63028000000.000000,2708905000000.000000,12137004000000.000000,,,14122000000.000000,9766527000000.000000,947882000000.000000,8818645000000.000000,9766527000000.000000,500705000000.000000,3714000000.000000,21234000000.000000,,13760000000.000000,62865000000.000000,,45873000000.000000,10428800000000.000000,,1912957000000.000000,3555000000.000000,-201091000000.000000,17940000000.000000,-219031000000.000000,-201091000000.000000,-7217000000.000000,1708204000000.000000,12137004000000.000000,19129563072.000000
12M 2016,,144975000000.000000,761639000000.000000,1984523000000.000000,,7994316000000.000000,102129000000.000000,7892187000000.000000,7994316000000.000000,-52521000000.000000,7941795000000.000000,54151000000.000000,19327000000.000000,59075000000.000000,2092064000000.000000,13057549000000.000000,,,32018000000.000000,10339407000000.000000,829042000000.000000,9510365000000.000000,10339407000000.000000,507316000000.000000,3576000000.000000,89276000000.000000,,12727000000.000000,64365000000.000000,,148459000000.000000,11197144000000.000000,,2058147000000.000000,720000000.000000,-191742000000.000000,17940000000.000000,-209682000000.000000,-191742000000.000000,-6720000000.000000,1860405000000.000000,13057549000000.000000,20581465247.000000
12M 2017,,121769000000.000000,603840000000.000000,1117872000000.000000,,7114922000000.000000,98465000000.000000,7016457000000.000000,7114922000000.000000,-331116000000.000000,6783806000000.000000,55113000000.000000,24570000000.000000,276842000000.000000,1722282000000.000000,10706094000000.000000,,,39585000000.000000,9027709000000.000000,584194000000.000000,8443515000000.000000,9027709000000.000000,197257000000.000000,95000000.000000,1522000000.000000,,12462000000.000000,110878000000.000000,,64038000000.000000,9453546000000.000000,,2126147000000.000000,722000000.000000,-876935000000.000000,17940000000.000000,-894875000000.000000,-876935000000.000000,2614000000.000000,1252548000000.000000,10706094000000.000000,21261473347.000000
12M 2018,,173207000000.000000,408893000000.000000,890483000000.000000,,7511633000000.000000,129110000000.000000,7382523000000.000000,7511633000000.000000,-238665000000.000000,7272968000000.000000,48137000000.000000,24565000000.000000,259109000000.000000,1777493000000.000000,10854855000000.000000,,,37937000000.000000,8469956000000.000000,865162000000.000000,7604794000000.000000,8469956000000.000000,740092000000.000000,,36419000000.000000,,10131000000.000000,74608000000.000000,,55722000000.000000,9424865000000.000000,,2178505000000.000000,82722000000.000000,-819914000000.000000,,-819914000000.000000,-819914000000.000000,-11323000000.000000,1429990000000.000000,10854855000000.000000,21785053618.000000
12M 2019,,90074000000.000000,420159000000.000000,359958000000.000000,,7554481000000.000000,200073000000.000000,7354408000000.000000,7554481000000.000000,-206992000000.000000,7347489000000.000000,48316000000.000000,21070000000.000000,243573000000.000000,2077240000000.000000,10607879000000.000000,,,48411000000.000000,8431272000000.000000,535635000000.000000,7895637000000.000000,8431272000000.000000,393715000000.000000,,,,12982000000.000000,89352000000.000000,,72697000000.000000,9048429000000.000000,,2355918000000.000000,-2552000000.000000,-799481000000.000000,,-799481000000.000000,-799481000000.000000,5565000000.000000,1559450000000.000000,10607879000000.000000,25333295263.000000
12M 2020,,95819000000.000000,412221000000.000000,824881000000.000000,,7122033000000.000000,537976000000.000000,6584057000000.000000,7122033000000.000000,-223144000000.000000,6898889000000.000000,40914000000.000000,19446000000.000000,229980000000.000000,3130754000000.000000,11652904000000.000000,,,173797000000.000000,9206851000000.000000,891724000000.000000,8315127000000.000000,9206851000000.000000,490103000000.000000,129000000.000000,,952000000.000000,11577000000.000000,101325000000.000000,,116933000000.000000,10101667000000.000000,,2355918000000.000000,-2552000000.000000,-836243000000.000000,,-836243000000.000000,-836243000000.000000,34114000000.000000,1551237000000.000000,11652904000000.000000,25333295263.000000
