Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Keuntungan Penjualan Efek-Efek,Provisi Dan Komisi Lainnya,Keuntungan Transaksi Mata Uang Asing,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan,Pemulihan Kerugian Atas Aset Non-Produktif,Total Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Kerugian Transaksi Mata Uang Asing,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,829934862000.000000,829934862000.000000,,829934862000.000000,-435035162000.000000,-435035162000.000000,,,-435035162000.000000,394899700000.000000,-351161138000.000000,,42943021000.000000,33259993000.000000,,,1333579000.000000,77536593000.000000,,-50171660000.000000,,,-50171660000.000000,,-140287000.000000,-207168567000.000000,-166285457000.000000,-4931760000.000000,-428697731000.000000,-351161138000.000000,43738562000.000000,-4823882000.000000,318522000.000000,-5142404000.000000,-4823882000.000000,38914680000.000000,-10711389000.000000,28203291000.000000,-9951656000.000000,-9951656000.000000,-9951656000.000000,18251635000.000000,28203291000.000000,28203291000.000000,,28203291000.000000,18251635000.000000,18251635000.000000,,18251635000.000000
12M 2011,823520951000.000000,823520951000.000000,,823520951000.000000,-460866841000.000000,-460866841000.000000,,,-460866841000.000000,362654110000.000000,-483568864000.000000,,29890490000.000000,25351426000.000000,12229129000.000000,341268000.000000,2261789000.000000,70074102000.000000,,-137815212000.000000,,,-137815212000.000000,,,-231495233000.000000,-179802627000.000000,-4529894000.000000,-553642966000.000000,-483568864000.000000,-120914754000.000000,-22378851000.000000,1115204000.000000,-23494055000.000000,-22378851000.000000,-143293605000.000000,29675233000.000000,-113618372000.000000,14270962000.000000,14270962000.000000,14270962000.000000,-99347410000.000000,-113618372000.000000,-113618372000.000000,,-113618372000.000000,-99347410000.000000,-99347410000.000000,,-99347410000.000000
12M 2012,688882757000.000000,688882757000.000000,,688882757000.000000,-331117419000.000000,-331117419000.000000,,,-331117419000.000000,357765338000.000000,-350290205000.000000,,22643920000.000000,22846583000.000000,13354640000.000000,,6529750000.000000,65374893000.000000,,-33459133000.000000,,,-33459133000.000000,,,-201313830000.000000,-180892135000.000000,,-415665098000.000000,-350290205000.000000,7475133000.000000,-1465051000.000000,609708000.000000,-2074759000.000000,-1465051000.000000,6010082000.000000,-4973647000.000000,1036435000.000000,81952000.000000,81952000.000000,81952000.000000,1118387000.000000,1036435000.000000,1036435000.000000,,1036435000.000000,1118387000.000000,1118387000.000000,,1118387000.000000
12M 2013,684302327000.000000,684302327000.000000,,684302327000.000000,-384025818000.000000,-384025818000.000000,,,-384025818000.000000,300276509000.000000,-358088228000.000000,,11004102000.000000,19930014000.000000,31918497000.000000,,16224901000.000000,79077514000.000000,,,-89712104000.000000,-6760715000.000000,-96472819000.000000,-258000000.000000,,-175295509000.000000,-165139414000.000000,,-437165742000.000000,-358088228000.000000,-57811719000.000000,-8729945000.000000,381380000.000000,-9111325000.000000,-8729945000.000000,-66541664000.000000,-15198735000.000000,-81740399000.000000,-92205883000.000000,-92205883000.000000,-92205883000.000000,-173946282000.000000,-81740399000.000000,-81740399000.000000,,-81740399000.000000,-173946282000.000000,-173946282000.000000,,-173946282000.000000
12M 2014,760698000000.000000,747292000000.000000,13406000000.000000,760698000000.000000,-524417000000.000000,-510492000000.000000,,-13925000000.000000,-524417000000.000000,236281000000.000000,-307584000000.000000,,14146000000.000000,12803000000.000000,9956000000.000000,,25985000000.000000,62890000000.000000,,,-42569000000.000000,237000000.000000,-42332000000.000000,,,-146881000000.000000,-157982000000.000000,-23279000000.000000,-370474000000.000000,-307584000000.000000,-71303000000.000000,1270000000.000000,176000000.000000,1094000000.000000,1270000000.000000,-70033000000.000000,15483000000.000000,-54550000000.000000,21463000000.000000,21463000000.000000,21463000000.000000,-33087000000.000000,-54550000000.000000,-54550000000.000000,,-54550000000.000000,-33087000000.000000,-33087000000.000000,,-33087000000.000000
12M 2015,950521000000.000000,935351000000.000000,15170000000.000000,950521000000.000000,-663414000000.000000,-645832000000.000000,,-17582000000.000000,-663414000000.000000,287107000000.000000,-276160000000.000000,,2826000000.000000,16278000000.000000,13039000000.000000,,40011000000.000000,72154000000.000000,,,-5061000000.000000,540000000.000000,-4521000000.000000,,,-150937000000.000000,-165588000000.000000,-27268000000.000000,-348314000000.000000,-276160000000.000000,10947000000.000000,241000000.000000,15000000.000000,226000000.000000,241000000.000000,11188000000.000000,-3010000000.000000,8178000000.000000,59892000000.000000,59892000000.000000,59892000000.000000,68070000000.000000,8178000000.000000,8178000000.000000,,8178000000.000000,68070000000.000000,68070000000.000000,,68070000000.000000
12M 2016,1060551000000.000000,1040498000000.000000,20053000000.000000,1060551000000.000000,-693697000000.000000,-673671000000.000000,,-20026000000.000000,-693697000000.000000,366854000000.000000,-314096000000.000000,,8904000000.000000,19185000000.000000,22939000000.000000,,74387000000.000000,125415000000.000000,,,-39880000000.000000,10001000000.000000,-29879000000.000000,,,-179549000000.000000,-194298000000.000000,-35785000000.000000,-439511000000.000000,-314096000000.000000,52758000000.000000,-39623000000.000000,307000000.000000,-39930000000.000000,-39623000000.000000,13135000000.000000,-3786000000.000000,9349000000.000000,497000000.000000,497000000.000000,497000000.000000,9846000000.000000,9349000000.000000,9349000000.000000,,9349000000.000000,9846000000.000000,9846000000.000000,,9846000000.000000
12M 2017,1021547000000.000000,993639000000.000000,27908000000.000000,1021547000000.000000,-676858000000.000000,-656070000000.000000,,-20788000000.000000,-676858000000.000000,344689000000.000000,-1261689000000.000000,,18806000000.000000,35134000000.000000,8437000000.000000,,53022000000.000000,115399000000.000000,,,-826180000000.000000,-13996000000.000000,-840176000000.000000,,,-253088000000.000000,-228264000000.000000,-55560000000.000000,-1377088000000.000000,-1261689000000.000000,-917000000000.000000,10930000000.000000,16274000000.000000,-5344000000.000000,10930000000.000000,-906070000000.000000,220877000000.000000,-685193000000.000000,9334000000.000000,9334000000.000000,9334000000.000000,-675859000000.000000,-685193000000.000000,-685193000000.000000,,-685193000000.000000,-675859000000.000000,-675859000000.000000,,-675859000000.000000
12M 2018,960256000000.000000,920171000000.000000,40085000000.000000,960256000000.000000,-572785000000.000000,-556290000000.000000,,-16495000000.000000,-572785000000.000000,387471000000.000000,-307274000000.000000,,3285000000.000000,46295000000.000000,5680000000.000000,,182537000000.000000,237797000000.000000,,,-34333000000.000000,,-34333000000.000000,,,-237197000000.000000,-224922000000.000000,-48619000000.000000,-545071000000.000000,-307274000000.000000,80197000000.000000,-797000000.000000,547000000.000000,-1344000000.000000,-797000000.000000,79400000000.000000,-22379000000.000000,57021000000.000000,-13937000000.000000,-13937000000.000000,-13937000000.000000,43084000000.000000,57021000000.000000,57021000000.000000,,57021000000.000000,43084000000.000000,43084000000.000000,,43084000000.000000
12M 2019,1071032000000.000000,1009512000000.000000,61520000000.000000,1071032000000.000000,-667529000000.000000,-649696000000.000000,,-17833000000.000000,-667529000000.000000,403503000000.000000,-339722000000.000000,,5360000000.000000,59650000000.000000,9774000000.000000,,142340000000.000000,217124000000.000000,,,-56907000000.000000,-656000000.000000,-57563000000.000000,,,-247434000000.000000,-202824000000.000000,-49025000000.000000,-556846000000.000000,-339722000000.000000,63781000000.000000,-33442000000.000000,210000000.000000,-33652000000.000000,-33442000000.000000,30339000000.000000,-9906000000.000000,20433000000.000000,16888000000.000000,16888000000.000000,16888000000.000000,37321000000.000000,20433000000.000000,20433000000.000000,,20433000000.000000,37321000000.000000,37321000000.000000,,37321000000.000000
12M 2020,969784000000.000000,915776000000.000000,54008000000.000000,969784000000.000000,-601249000000.000000,-584417000000.000000,,-16832000000.000000,-601249000000.000000,368535000000.000000,-345839000000.000000,,11961000000.000000,48142000000.000000,19365000000.000000,,128059000000.000000,207527000000.000000,,,-55229000000.000000,,-55229000000.000000,,,-253416000000.000000,-198333000000.000000,-46388000000.000000,-553366000000.000000,-345839000000.000000,22696000000.000000,-6742000000.000000,109000000.000000,-6851000000.000000,-6742000000.000000,15954000000.000000,-5540000000.000000,10414000000.000000,28549000000.000000,28549000000.000000,28549000000.000000,38963000000.000000,10414000000.000000,10414000000.000000,,10414000000.000000,38963000000.000000,38963000000.000000,,38963000000.000000
12M 2021,979937000000.000000,928006000000.000000,51931000000.000000,979937000000.000000,-572424000000.000000,-552431000000.000000,,-19993000000.000000,-572424000000.000000,407513000000.000000,-382182000000.000000,,22435000000.000000,41464000000.000000,9699000000.000000,,95763000000.000000,169361000000.000000,,,-71805000000.000000,,-71805000000.000000,,,-249757000000.000000,-202544000000.000000,-27437000000.000000,-551543000000.000000,-382182000000.000000,25331000000.000000,-2784000000.000000,51000000.000000,-2835000000.000000,-2784000000.000000,22547000000.000000,-9679000000.000000,12868000000.000000,-10755000000.000000,-10755000000.000000,-10755000000.000000,2113000000.000000,12868000000.000000,12868000000.000000,,12868000000.000000,2113000000.000000,2113000000.000000,,2113000000.000000
12M 2022,1154346000000.000000,1096070000000.000000,58276000000.000000,1154346000000.000000,-506619000000.000000,-482935000000.000000,,-23684000000.000000,-506619000000.000000,647727000000.000000,-494620000000.000000,,4398000000.000000,39329000000.000000,8897000000.000000,,86305000000.000000,138929000000.000000,,,-113815000000.000000,,-113815000000.000000,,,-252134000000.000000,-219069000000.000000,-48531000000.000000,-633549000000.000000,-494620000000.000000,153107000000.000000,954000000.000000,75000000.000000,879000000.000000,954000000.000000,154061000000.000000,-101556000000.000000,52505000000.000000,-9625000000.000000,-9625000000.000000,-9625000000.000000,42880000000.000000,52505000000.000000,52505000000.000000,,52505000000.000000,42880000000.000000,42880000000.000000,,42880000000.000000
12M 2023,1313041000000.000000,1254012000000.000000,59029000000.000000,1313041000000.000000,-708329000000.000000,-682153000000.000000,,-26176000000.000000,-708329000000.000000,604712000000.000000,-499693000000.000000,,15880000000.000000,38947000000.000000,8774000000.000000,,53743000000.000000,117344000000.000000,,,-96563000000.000000,,-96563000000.000000,,,-239099000000.000000,-227808000000.000000,-53567000000.000000,-617037000000.000000,-499693000000.000000,105019000000.000000,16423000000.000000,376000000.000000,16047000000.000000,16423000000.000000,121442000000.000000,-43526000000.000000,77916000000.000000,-2160000000.000000,-2160000000.000000,-2160000000.000000,75756000000.000000,77916000000.000000,77916000000.000000,,77916000000.000000,75756000000.000000,75756000000.000000,,75756000000.000000
12M 2024,1397432000000.000000,1345935000000.000000,51497000000.000000,1397432000000.000000,-876939000000.000000,-848848000000.000000,,-28091000000.000000,-876939000000.000000,520493000000.000000,-444847000000.000000,,22782000000.000000,35450000000.000000,775000000.000000,,50871000000.000000,109878000000.000000,,,-41773000000.000000,,-41773000000.000000,,,-242065000000.000000,-212655000000.000000,-58232000000.000000,-554725000000.000000,-444847000000.000000,75646000000.000000,18150000000.000000,412000000.000000,17738000000.000000,18150000000.000000,93796000000.000000,-18946000000.000000,74850000000.000000,-1164000000.000000,-1164000000.000000,-1164000000.000000,73686000000.000000,74850000000.000000,74850000000.000000,,74850000000.000000,73686000000.000000,73686000000.000000,,73686000000.000000
