Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi",Pembayaran Bunga,Penerimaan Pendapatan Operasional Lainnya,Pembayaran Gaji Dan Tunjangan Karyawan,Pembayaran Beban Operasional Lainnya,Penerimaan (Pembayaran) Pendapatan/Beban Non-Operasional,Penerimaan Pendapatan Non Operasional,Pembayaran Beban Non-Operasional,Total Penerimaan (Pembayaran) Pendapatan/Beban Non-Operasional,Pembayaran Pajak,Penurunan (Kenaikan) Dalam Aset Operasi:,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek Yang Diperdagangkan,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Kredit Yang Diberikan,Agunan Yang Diambil Alih,Tagihan Derivatif,Tagihan Akseptasi,Aset Iain-Iain,Total Penurunan (Kenaikan) Dalam Aset Operasi:,Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Liabilitas Segera,Simpanan,Simpanan Dari Bank Lain,Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Liabilitas Akseptasi,Liabilitas Deposito,Liabilitas Derivatif,Liabilitas Iain-Iain,Total Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan (Pembelian) Dari Investasi Keuangan,Penjualan Investasi Keuangan,Pembelian Investasi Keuangan,Total Penjualan (Pembelian) Dari Investasi Keuangan,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Penjualan Efek-Efek Yang Diukur Pada Biaya Perolehan Diamortisasi,Perolehan Aset Tak Berwujud,Penerimaan Efek Dimiliki Hingga Jatuh Tempo,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham,Uang Muka Setoran Modal,Penerbitan Obligasi Wajib Konversi,"Pelaksanaan Put & Waran Iv, V",Pembayaran Biaya Emisi Obligasi Wajib Konversi,Pembayaran Dividen,Penerimaan Pinjaman Yang Diterima,Pembayaran Pinjaman Yang Diterima,Biaya Emisi Saham,Penambahan Dana Cadangan Modal,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,681124550000.000000,846976973000.000000,-426974005000.000000,34453285000.000000,-159507248000.000000,-157437505000.000000,-10074164000.000000,,,-10074164000.000000,-10239222000.000000,,-752953000.000000,92485042000.000000,,-802047984000.000000,-113571230000.000000,-244778000.000000,-37489394000.000000,31495133000.000000,-830126164000.000000,,,1270895099000.000000,81303204000.000000,,37489394000.000000,,48225000.000000,4316678000.000000,1394052600000.000000,681124550000.000000,52085906000.000000,83759310000.000000,,,83759310000.000000,320782000.000000,-31994186000.000000,,,,,52085906000.000000,202069147000.000000,57794739000.000000,,150000000000.000000,,-3471007000.000000,-2250000000.000000,,-4585000.000000,,,202069147000.000000,,935279603000.000000,929529423000.000000,,1864809026000.000000
12M 2011,-300229887000.000000,831843303000.000000,-467335788000.000000,40183612000.000000,-186806395000.000000,-218806834000.000000,-9732457000.000000,,,-9732457000.000000,,,23260797000.000000,-28366795000.000000,,1023638364000.000000,48083003000.000000,121633000.000000,-35448611000.000000,-51239074000.000000,980049317000.000000,,,-1202308647000.000000,-61346052000.000000,,35448611000.000000,,228752000.000000,-41647309000.000000,-1269624645000.000000,-300229887000.000000,-236765095000.000000,-224041231000.000000,,,-224041231000.000000,2204060000.000000,-14927924000.000000,,,,,-236765095000.000000,-3621264000.000000,,,,,,-3620812000.000000,,-452000.000000,,,-3621264000.000000,,-540616246000.000000,1864809026000.000000,,1324192780000.000000
12M 2012,167750404000.000000,691203253000.000000,-329057097000.000000,33562824000.000000,-173332783000.000000,-132887008000.000000,2509316000.000000,,,2509316000.000000,,,22163000000.000000,28366795000.000000,,-145182220000.000000,37671532000.000000,-74043000.000000,60837822000.000000,-4393560000.000000,-610674000.000000,,,422401610000.000000,-268376689000.000000,,-60837822000.000000,,-170935000.000000,-16653591000.000000,76362573000.000000,167750404000.000000,105680035000.000000,117054178000.000000,,,117054178000.000000,3829402000.000000,-15203545000.000000,,,,,105680035000.000000,100000000000.000000,,,,,,,,,,100000000000.000000,100000000000.000000,,373430439000.000000,1324192780000.000000,,1697623219000.000000
12M 2013,221893999000.000000,683350261000.000000,-379102444000.000000,66007731000.000000,-159580239000.000000,-129273615000.000000,-7303644000.000000,,,-7303644000.000000,,,,-39948000000.000000,,-425186566000.000000,10897386000.000000,-1032019000.000000,-71564492000.000000,-4807033000.000000,-531640724000.000000,,,401125846000.000000,210582352000.000000,,71564492000.000000,,591984000.000000,-4428001000.000000,679436673000.000000,221893999000.000000,-223512992000.000000,,142106000000.000000,-361239863000.000000,-219133863000.000000,475214000.000000,-4854343000.000000,,,,,-223512992000.000000,214992333000.000000,215000000000.000000,,,,,,,-7667000.000000,,,214992333000.000000,,213373340000.000000,1697623219000.000000,,1910996559000.000000
12M 2014,24929000000.000000,758326000000.000000,-522486000000.000000,48744000000.000000,-166051000000.000000,-135655000000.000000,1095000000.000000,,,1095000000.000000,,,,31371000000.000000,,-796134000000.000000,,1151000000.000000,9184000000.000000,-14319000000.000000,-768747000000.000000,,22646000000.000000,899543000000.000000,-106865000000.000000,,-9184000000.000000,,-897000000.000000,4460000000.000000,809703000000.000000,24929000000.000000,6101000000.000000,,35437000000.000000,-17075000000.000000,18362000000.000000,899000000.000000,-13160000000.000000,,,,,6101000000.000000,487406000000.000000,489625000000.000000,,,,,,,-2000000.000000,-2217000000.000000,,487406000000.000000,,518436000000.000000,1910997000000.000000,,2429433000000.000000
12M 2015,1047411000000.000000,931830000000.000000,-652103000000.000000,74674000000.000000,-179066000000.000000,-151677000000.000000,,339000000.000000,-751000000.000000,-412000000.000000,,,-116973000000.000000,-205264000000.000000,,-925673000000.000000,,-7550000000.000000,72728000000.000000,-21822000000.000000,-1204554000000.000000,,3162000000.000000,2032093000000.000000,264757000000.000000,,-72728000000.000000,,3602000000.000000,-2167000000.000000,2228719000000.000000,1047411000000.000000,-477430000000.000000,,65380000000.000000,-502276000000.000000,-436896000000.000000,617000000.000000,-41385000000.000000,,,-4766000000.000000,5000000000.000000,-477430000000.000000,406919000000.000000,409724000000.000000,,,,,,,,-2805000000.000000,,406919000000.000000,,976900000000.000000,2429433000000.000000,,3406333000000.000000
12M 2016,-99324000000.000000,1053354000000.000000,-700503000000.000000,123055000000.000000,-195300000000.000000,-183297000000.000000,,435000000.000000,-424000000.000000,11000000.000000,,,-28951000000.000000,180963000000.000000,,-934372000000.000000,,3399000000.000000,-68042000000.000000,-105893000000.000000,-952896000000.000000,,17891000000.000000,572880000000.000000,6611000000.000000,89941000000.000000,68042000000.000000,,-138000000.000000,1025000000.000000,756252000000.000000,-99324000000.000000,-411681000000.000000,,1116851000000.000000,-1496864000000.000000,-380013000000.000000,328000000.000000,-19450000000.000000,,,-12546000000.000000,,-411681000000.000000,142355000000.000000,145190000000.000000,,,,,,,,-2835000000.000000,,142355000000.000000,,-368650000000.000000,3406333000000.000000,,3037683000000.000000
12M 2017,-1992694000000.000000,1043099000000.000000,-677207000000.000000,92290000000.000000,-231499000000.000000,-284446000000.000000,,524000000.000000,-5320000000.000000,-4796000000.000000,,,-390613000000.000000,-96598000000.000000,,331791000000.000000,,4822000000.000000,87754000000.000000,-72742000000.000000,-135586000000.000000,,7567000000.000000,-1311698000000.000000,-310059000000.000000,-89941000000.000000,-87754000000.000000,,-3481000000.000000,817000000.000000,-1794549000000.000000,-1992694000000.000000,376738000000.000000,,1348693000000.000000,-963112000000.000000,385581000000.000000,331000000.000000,-16188000000.000000,18413000000.000000,,-11399000000.000000,,376738000000.000000,68002000000.000000,68002000000.000000,,,,,,,,,,68002000000.000000,,-1547954000000.000000,3037683000000.000000,9778000000.000000,1499507000000.000000
12M 2018,-17181000000.000000,950231000000.000000,-577961000000.000000,245261000000.000000,-254662000000.000000,-270362000000.000000,,1275000000.000000,-2514000000.000000,-1239000000.000000,,,501638000000.000000,48350000000.000000,,-523860000000.000000,,-1062000000.000000,-34897000000.000000,-118008000000.000000,-127839000000.000000,,-1648000000.000000,-557753000000.000000,542835000000.000000,,34897000000.000000,,-95000000.000000,1154000000.000000,19390000000.000000,-17181000000.000000,83129000000.000000,,592647000000.000000,-491500000000.000000,101147000000.000000,967000000.000000,-8857000000.000000,,,-10128000000.000000,,83129000000.000000,134358000000.000000,134358000000.000000,,,,,,,,,,134358000000.000000,,200306000000.000000,1499507000000.000000,-4239000000.000000,1695574000000.000000
12M 2019,-791881000000.000000,1065433000000.000000,-665934000000.000000,226561000000.000000,-201951000000.000000,-250109000000.000000,,1176000000.000000,-35408000000.000000,-34232000000.000000,,,34899000000.000000,-24602000000.000000,,-130967000000.000000,,736000000.000000,36419000000.000000,-451824000000.000000,-535339000000.000000,,10474000000.000000,-38684000000.000000,-346377000000.000000,,-36419000000.000000,,,14696000000.000000,-396310000000.000000,-791881000000.000000,-20625000000.000000,,391756000000.000000,-388234000000.000000,3522000000.000000,303000000.000000,-20267000000.000000,,,-4183000000.000000,,-20625000000.000000,92139000000.000000,95413000000.000000,,,,,,,,-3274000000.000000,,92139000000.000000,,-720367000000.000000,1695574000000.000000,-10510000000.000000,964697000000.000000
