Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2009,,,,,,,,,,,,,,,0.0
12M 2010,,,,,,,,,12.76,,0.11,,,,0.0
12M 2011,,,,,,,,,13.7,29.36,0.1,0.23,,,0.0
12M 2012,,,,,,,,,14.18,15.84,0.09,0.1,,,0.0
12M 2013,,,,,,,,,20.72,24.46,0.09,0.09,,,0.0
12M 2014,,,,,,,,,34.53,37.27,0.09,0.07,,,0.0
12M 2015,,,,,,,,,27.53,26.52,0.09,0.08,,,0.0
12M 2016,,,,,,,,,20.36,20.62,0.08,0.08,,,0.0
12M 2017,,,,,,,,,18.7,18.97,0.09,0.09,,,0.0
12M 2018,,,,,,,,,18.6,20.09,0.09,0.09,,,0.0
12M 2019,,,,,,,,,22.21,22.51,0.1,0.1,,,0.0
12M 2020,,,,,,,,,21.74,22.57,0.09,0.09,,,0.0
12M 2021,,,,,,,,,27.17,31.45,0.08,0.07,,,0.0
12M 2022,,,,,,,,,36.72,36.47,0.07,0.07,,,0.0
12M 2023,,,,,,,,,2.54,1.33,0.08,0.07,,,0.0
12M 2024,,,,,,,,,1.39,1.4,0.07,0.07,,,0.0
