Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,250.25,0.00,250.25,290 B,179 B,468 B,(118 B),(207 B)
12M 2010,10.57,851.30,10.57,851.30,5 B,47 B,52 B,(978 B),942 B
12M 2011,6.07,1128.95,6.07,1128.95,2 B,,2 B,"(1,659 B)","1,796 B"
12M 2012,4.80,1251.17,4.80,1251.17,,,,"(1,570 B)","2,209 B"
12M 2013,1.93,1426.34,1.93,1426.34,,,,"(2,212 B)","2,467 B"
12M 2014,1.25,1323.41,1.25,1323.41,,,,"(2,504 B)","2,518 B"
12M 2015,0.49,1388.11,0.49,1388.11,,,,"(2,700 B)","2,660 B"
12M 2016,1.53,1401.93,1.53,1401.93,,,,"(3,104 B)","2,892 B"
12M 2017,1.30,1579.97,1.30,1579.97,,,,"(3,609 B)","3,482 B"
12M 2018,0.87,1617.77,0.88,1596.99,,,,"(3,134 B)","3,513 B"
12M 2019,0.82,1615.21,0.83,1595.26,,,,"(3,149 B)","3,574 B"
12M 2020,1.54,1929.86,1.56,1909.61,16 B,17 B,33 B,"(2,945 B)","3,169 B"
12M 2021,4.17,2476.63,4.20,2456.14,254 B,"1,180 B","1,434 B",(699 B),"2,385 B"
12M 2022,1.91,846.99,1.92,842.51,17 B,18 B,35 B,"(5,742 B)","4,577 B"
12M 2023,1.32,1011.68,1.32,1011.68,"1,105 B","2,110 B","3,215 B",789 B,"2,709 B"
12M 2024,0.97,1069.34,1.22,849.06,1 B,"3,592 B","3,593 B","1,680 B","5,791 B"
