Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi Dan Pengendalian Bersama Entitas,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Others,Total Operasi Yang Dihentikan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,4602758000000.000000,-2938264000000.000000,1664494000000.000000,-442257000000.000000,-341016000000.000000,-101241000000.000000,-442257000000.000000,1222237000000.000000,-9008000000.000000,7186000000.000000,-50384000000.000000,6358000000.000000,16748000000.000000,28368000000.000000,,-17284000000.000000,-9008000000.000000,1213229000000.000000,-299860000000.000000,,,,-299860000000.000000,913369000000.000000,,,,-145896000000.000000,767473000000.000000,,,,,767473000000.000000,913369000000.000000,-145896000000.000000,767473000000.000000,,,,
12M 2010,4486422000000.000000,-2909766000000.000000,1576656000000.000000,-433900000000.000000,-320681000000.000000,-113219000000.000000,-433900000000.000000,1142756000000.000000,84603000000.000000,5543000000.000000,-69710000000.000000,131914000000.000000,14897000000.000000,,,1959000000.000000,84603000000.000000,1227359000000.000000,-246153000000.000000,,,,-246153000000.000000,981206000000.000000,,,,-157266000000.000000,823940000000.000000,,,,,823940000000.000000,981206000000.000000,-157266000000.000000,823940000000.000000,,,,
12M 2011,7296631000000.000000,-4322420000000.000000,2974211000000.000000,-755099000000.000000,-513116000000.000000,-241983000000.000000,-755099000000.000000,2219112000000.000000,99223000000.000000,,-46803000000.000000,111728000000.000000,30765000000.000000,,,3533000000.000000,99223000000.000000,2318335000000.000000,-539351000000.000000,,,,-539351000000.000000,1778984000000.000000,,,,,1778984000000.000000,-69668000000.000000,-69668000000.000000,-69668000000.000000,1709316000000.000000,1778984000000.000000,1464247000000.000000,314737000000.000000,1778984000000.000000,1709316000000.000000,1394579000000.000000,314737000000.000000,1709316000000.000000
12M 2012,1043301146.000000,-724315930.000000,318985216.000000,-107491635.000000,-85472130.000000,-22019505.000000,-107491635.000000,211493581.000000,1516132.000000,4381946.000000,-3300651.000000,2875485.000000,2971815.000000,,,-5412463.000000,1516132.000000,213009713.000000,-51339588.000000,,,,-51339588.000000,161670125.000000,,,,,161670125.000000,-5407150.000000,-5407150.000000,-5407150.000000,156262975.000000,161670125.000000,131618785.000000,30051340.000000,161670125.000000,156262975.000000,126298188.000000,29964787.000000,156262975.000000
12M 2013,837079750.000000,-661509141.000000,175570609.000000,-106811549.000000,-80179803.000000,-26631746.000000,-106811549.000000,68759060.000000,-5684939.000000,4280848.000000,-3361593.000000,-5117231.000000,,,,-1486963.000000,-5684939.000000,63074121.000000,-13494021.000000,,,,-13494021.000000,49580100.000000,,,,,49580100.000000,-6291779.000000,-6291779.000000,-6291779.000000,43288321.000000,49580100.000000,41847983.000000,7732117.000000,49580100.000000,43288321.000000,35499561.000000,7788760.000000,43288321.000000
12M 2014,477643910.000000,-390742079.000000,86901831.000000,-65849204.000000,-42154541.000000,-23694663.000000,-65849204.000000,21052627.000000,-13690962.000000,6379626.000000,-3106551.000000,-3688713.000000,,,,-13275324.000000,-13690962.000000,7361665.000000,-4755712.000000,,,,-4755712.000000,2605953.000000,,,,,2605953.000000,1282807.000000,1282807.000000,1282807.000000,3888760.000000,2605953.000000,410792.000000,2195161.000000,2605953.000000,3888760.000000,1673020.000000,2215740.000000,3888760.000000
12M 2015,249328849.000000,-203488721.000000,45840128.000000,-45265864.000000,-22921470.000000,-22344394.000000,-45265864.000000,574264.000000,-18147690.000000,3773984.000000,-2286150.000000,-4366584.000000,,,,-15268940.000000,-18147690.000000,-17573426.000000,-1423403.000000,-1306636.000000,-116767.000000,,-1423403.000000,-18996829.000000,,,,,-18996829.000000,6724086.000000,,6724086.000000,-12272743.000000,-18996829.000000,-19245125.000000,248296.000000,-18996829.000000,-12272743.000000,-12449245.000000,176502.000000,-12272743.000000
12M 2016,217121593.000000,-149133192.000000,67988401.000000,-35727619.000000,-15961028.000000,-19766591.000000,-35727619.000000,32260782.000000,-2752916.000000,3069083.000000,-1574383.000000,-3148944.000000,,,,-1098672.000000,-2752916.000000,29507866.000000,-11528123.000000,-11411985.000000,-116138.000000,,-11528123.000000,17979743.000000,,,,,17979743.000000,-119363.000000,-119363.000000,-119363.000000,17860380.000000,17979743.000000,13349751.000000,4629992.000000,17979743.000000,17860380.000000,13272300.000000,4588080.000000,17860380.000000
12M 2017,325599861.000000,-213713213.000000,111886648.000000,-39803437.000000,-18722532.000000,-21080905.000000,-39803437.000000,72083211.000000,1108689.000000,3727291.000000,-1608826.000000,-473025.000000,,,,-536751.000000,1108689.000000,73191900.000000,-17443899.000000,-17282967.000000,-160932.000000,,-17443899.000000,55748001.000000,,,,,55748001.000000,-768925.000000,-768925.000000,-768925.000000,54979076.000000,55748001.000000,45278605.000000,10469396.000000,55748001.000000,54979076.000000,44431120.000000,10547956.000000,54979076.000000
12M 2018,336707790.000000,-235228423.000000,101479367.000000,-50439748.000000,-21590121.000000,-28849627.000000,-50439748.000000,51039619.000000,-2848150.000000,4902549.000000,-2162616.000000,-810268.000000,,,-178940.000000,-4598875.000000,-2848150.000000,48191469.000000,-7986047.000000,,,,-7986047.000000,40205422.000000,,,,,40205422.000000,1509642.000000,1509642.000000,1509642.000000,41715064.000000,40205422.000000,31809219.000000,8396203.000000,40205422.000000,41715064.000000,33235057.000000,8480007.000000,41715064.000000
