Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok Dan Karyawan,Direksi Dan Karyawan,Total Pembayaran Kas Kepada:,Pembayaran Royalti Ke Pemerintah,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Hasil Penjualan Aset Tetap,Penambahan Aset Eksplorasi Dan Evaluasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembelian Aset Keuangan Lainnya,Pembayaran Biaya Docking,Penempatan Dana Untuk Jaminan Reklamasi Dan Penutupan Tambang,Penerimaan Liabilitas Kontrak Dari Pihak Ketiga,Penempatan Investasi Keuangan,Investasi Pada Entitas Asosiasi,Pembayaran Biaya Labuh,Perolehan Investasi Keuangan,Pembayaran Tagihan Pajak Bumi Dan Bangunan,Perolehan Aset Tidak Lancar Lainnya,Penempatan Deposito Berjangka,Penambahan Kas Dan Setara Kas Dari Kombinasi Bisnis,Akuisisi Entitas Asosiasi,Penerimaan Dividen,Pembayaran Uang Muka Kepada Pihak Ketiga,Akuisisi Entitas Anak Setelah Dikurang Kas Yang Diperoleh,Pelepasan Investasi Pada Anak Perusahaan,Penerimaan Pembayaran Piutang Kepada Pihak Berelasi,Penambahan Investasi Saham,Penerimaan Hasil Investasi Tersedia Untuk Dijual,Piutang Dan Utang Pihak Berelasi - Bersih,Pembayaran Utang Pembelian Aset Tetap,Arus Kas Keluar Bersih Pada Saat Akuisisi Entitas Anak,Pembayaran Uang Muka Investasi,Pembayaran Uang Muka Jangka Panjang,Pembayaran Dana Untuk Jaminan,Uang Muka Setoran Modal Pemegang Saham Nonpengendali Pada Entitas Anak,Setoran Modal Kepada Entitas Anak,Setoran Modal Dari Kepentingan Non-Pengendali Kepada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Piutang Dan Utang Kepada Pihak Yang Mempunyai Hubungan Istimewa-Bersih,Penerimaan Dari Pelaksanaan Opsi Saham Karyawan Dan Manajemen,Penambahan Piutang Lain-Lain Pada Pihak Berelasi,Penerimaan Piutang Dari Pihak Berelasi,Penambahan Utang Lain-Lain Dari Pihak Ketiga,Penambahan Piutang Lain-Lain Dari Pihak Ketiga,Pelunasan Piutang Lainlain- Dari Pihak Ketiga,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Ketiga,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Piutang Kepada Pihak Berelasi,Pembayaran Arrangement Fee,Pembayaran Dividen:,Perusahaan,Entitas Anak Kepada Kepentingan Nonpengendali,Total Pembayaran Dividen:,Pembayaran Pinjaman Kepada Pihak Ketiga,Pembayaran Utang Bank - Jangka Panjang,Penjualan Saham Treasury,Perolehan Saham Treasury,Penerimaan Pembayaran Utang Jangka Panjang Dari Entitas Asosiasi,Pembayaran Dividen Interim Dan Final,Penerimaan Setoran Modal,Pembayaran Utang Bank,Pembayaran Biaya Emisi Saham,Penambahan Utang Bank,Pembelian Saham Diperoleh Kembali,Penambahan Utang Bank - Jangka Panjang,Utang Kepada Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengaruh Perubahan Kurs Mata Uang Asing,Kas Dan Setara Kas Akhir Periode
12M 2009,1155981000000.000000,4745979000000.000000,,-3475100000000.000000,,-3475100000000.000000,,-81652000000.000000,,-33246000000.000000,1155981000000.000000,-330764000000.000000,7186000000.000000,275000000.000000,-40554000000.000000,-149563000000.000000,-64734000000.000000,,,,,,,,,,,,,,,,,43103000000.000000,,-126477000000.000000,,,,,,,,,,,-330764000000.000000,-378716000000.000000,-118608000000.000000,,,,,,,,,-13880000000.000000,,,,,,,,-137420000000.000000,,,,-158126000000.000000,,-164747000000.000000,,189440000000.000000,,24625000000.000000,,-378716000000.000000,446501000000.000000,153166000000.000000,-13046000000.000000,586621000000.000000
12M 2010,703962000000.000000,4304838000000.000000,,-3117986000000.000000,,-3117986000000.000000,,-430115000000.000000,,-52775000000.000000,703962000000.000000,-387277000000.000000,5543000000.000000,2585000000.000000,-24667000000.000000,-342180000000.000000,-75834000000.000000,,,,,,,,,,,,,,44903000000.000000,,,,,-3900000000.000000,6273000000.000000,,,,,,,,,,-387277000000.000000,170149000000.000000,79856000000.000000,,,,,,,,,-7394000000.000000,,,,,,,,-879440000000.000000,,,,-460877000000.000000,1040000000000.000000,-557608000000.000000,-26345000000.000000,279290000000.000000,,702667000000.000000,,170149000000.000000,486834000000.000000,586621000000.000000,-43863000000.000000,1029592000000.000000
12M 2011,1514761000000.000000,7188363000000.000000,,-4481962000000.000000,,-4481962000000.000000,-793815000000.000000,-364465000000.000000,,-33360000000.000000,1514761000000.000000,-111117000000.000000,2948000000.000000,664000000.000000,-12978000000.000000,-118968000000.000000,-14156000000.000000,,-5493000000.000000,,,,,,,,,-7254000000.000000,,,44120000000.000000,,,,,,,,,,,,,,,,-111117000000.000000,-764039000000.000000,,399000000.000000,,,,,,,,-4986000000.000000,,,,-659070000000.000000,-55427000000.000000,-714497000000.000000,,-44955000000.000000,,,,,,,,,,,,-764039000000.000000,639605000000.000000,1029592000000.000000,-8390000000.000000,1660807000000.000000
12M 2012,112098013.000000,1039185196.000000,,-743093254.000000,-11213084.000000,-754306338.000000,-94720168.000000,-75525027.000000,,-2535650.000000,112098013.000000,-16611899.000000,4381946.000000,42890.000000,-493409.000000,-16763703.000000,-1292013.000000,-1260133.000000,-1227477.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16611899.000000,-116314049.000000,,2236064.000000,,,,,,,,-226942.000000,,-2295000.000000,,-108450026.000000,-7578145.000000,-116028171.000000,,,,,,,,,,,,,,-116314049.000000,-20827935.000000,183150400.000000,,162322465.000000
12M 2013,115656869.000000,851786978.000000,,-599165191.000000,-14810941.000000,-613976132.000000,-80666644.000000,-38890740.000000,,-2596593.000000,115656869.000000,-20012871.000000,4280848.000000,282674.000000,-911205.000000,-2019055.000000,,-17975013.000000,-1785183.000000,,,,,,,,,,,,,,,,,,,,,-1981985.000000,,-135835.000000,-14718.000000,,,246601.000000,-20012871.000000,-76608184.000000,,45769.000000,,,,,,,,,,,,-69013824.000000,-7810108.000000,-76823932.000000,,,,,,,,,,,,,169979.000000,-76608184.000000,19035814.000000,162322465.000000,,181358279.000000
12M 2014,50461825.000000,497967786.000000,,-370585652.000000,-13750228.000000,-384335880.000000,-52009015.000000,-8819515.000000,,-2341551.000000,50461825.000000,1068347.000000,6379626.000000,341645.000000,-2190588.000000,-1055255.000000,,,-1057481.000000,-924106.000000,,,,,,,-97345.000000,,,,,,,,,,,,,,,-328149.000000,,,,,1068347.000000,-31583154.000000,,,,,,,,,,,,-1650000.000000,,-24964140.000000,-5513009.000000,-30477149.000000,,,,,,,,,,,,,543995.000000,-31583154.000000,19947018.000000,181358279.000000,,201305297.000000
12M 2015,12356699.000000,271094224.000000,,-239767698.000000,-11138500.000000,-250906198.000000,-22386284.000000,-3711324.000000,20002431.000000,-1736150.000000,12356699.000000,-12889554.000000,3773984.000000,81997.000000,-5153709.000000,-523946.000000,,,-2010395.000000,-610202.000000,,,,,,-3348797.000000,-13500.000000,,,,,,,,,,-4838758.000000,,,,,-246228.000000,,,,,-12889554.000000,-5059571.000000,,,,,,,,,,,,,,,-3104016.000000,-3104016.000000,,,,,,,,,,,-1885426.000000,,-70129.000000,-5059571.000000,-5592426.000000,201305297.000000,,195712871.000000
12M 2016,44915644.000000,203303400.000000,,-130660452.000000,-11273114.000000,-141933566.000000,-19083129.000000,-1387670.000000,5040992.000000,-1024383.000000,44915644.000000,-4676930.000000,3069083.000000,70175.000000,-4713924.000000,-418921.000000,,,-986226.000000,133777.000000,,,,,,-2145754.000000,-191839.000000,,,,,,,,506699.000000,,,,,,,,,,,,-4676930.000000,-4931842.000000,,,,,,,,,,,,,,,-2388185.000000,-2388185.000000,,,,,,,,,,,-2560860.000000,,17203.000000,-4931842.000000,35306872.000000,195712871.000000,,231019743.000000
12M 2017,54109071.000000,324199718.000000,,-210113655.000000,-11331690.000000,-221445345.000000,-34490972.000000,-13823598.000000,2103094.000000,-2433826.000000,54109071.000000,-8124270.000000,3727291.000000,36377.000000,-8753776.000000,-869152.000000,,,-314587.000000,-653166.000000,,,,,,,,,,,,,,,,,,,,,-1297257.000000,,,,,,-8124270.000000,-10651432.000000,,,,,,,,,,,,,,,-3326102.000000,-3326102.000000,,,,,,,,,,,-11234121.000000,,3908791.000000,-10651432.000000,35333369.000000,231019743.000000,,266353112.000000
12M 2018,24904263.000000,326787533.000000,,-222400328.000000,-16508625.000000,-238908953.000000,-33340572.000000,-27863986.000000,,-1769759.000000,24904263.000000,-12256231.000000,4902549.000000,84214.000000,-6205249.000000,-4760162.000000,,,-486309.000000,224646.000000,,,,,,,,,,,,,-6015920.000000,,,,,,,,,,,,,,-12256231.000000,-62559148.000000,,,,,,,,,,,,,,-45000000.000000,-2385956.000000,-47385956.000000,-10413643.000000,,,,,,,,,,-1491454.000000,,-3268095.000000,-62559148.000000,-49911116.000000,266353112.000000,,216441996.000000
