Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Piutang Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi Dan Entitas Pengendalian Bersama,Goodwill,Aset Tetap,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Biaya Pengupasan Tanah Yang Ditangguhkan,Properti Pertambangan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Wesel Bayar,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Jangka Panjang Dari Pihak Berelasi,Wesel Bayar,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,586621000000.000000,287963000000.000000,125458000000.000000,162505000000.000000,287963000000.000000,2577000000.000000,,,2577000000.000000,188867000000.000000,32526000000.000000,1098554000000.000000,,98698000000.000000,,98698000000.000000,98698000000.000000,,,,621720000000.000000,251196000000.000000,,,218746000000.000000,1190360000000.000000,2288914000000.000000,,,1305546000000.000000,281988000000.000000,,124473000000.000000,381421000000.000000,505894000000.000000,134000000.000000,,,134000000.000000,268418000000.000000,41579000000.000000,,,7603000000.000000,7603000000.000000,,199930000000.000000,1305546000000.000000,187311000000.000000,1452000000.000000,,,,,7363000000.000000,170788000000.000000,178151000000.000000,,450000000.000000,,7258000000.000000,187311000000.000000,1492857000000.000000,,250000000000.000000,,375627000000.000000,,375627000000.000000,375627000000.000000,133022000000.000000,,758649000000.000000,2251506000000.000000,2500000000.000000
12M 2010,,,1029592000000.000000,467027000000.000000,177077000000.000000,289950000000.000000,467027000000.000000,1920000000.000000,,,1920000000.000000,296910000000.000000,12929000000.000000,1808378000000.000000,,13206000000.000000,,13206000000.000000,13206000000.000000,20908000000.000000,,,1011109000000.000000,260337000000.000000,,,356236000000.000000,1661796000000.000000,3470174000000.000000,,,866081000000.000000,,,236432000000.000000,455148000000.000000,691580000000.000000,346000000.000000,,,346000000.000000,84630000000.000000,80011000000.000000,,,5003000000.000000,5003000000.000000,,4511000000.000000,866081000000.000000,59203000000.000000,1161000000.000000,,,,,2041000000.000000,44832000000.000000,46873000000.000000,,,,11169000000.000000,59203000000.000000,925284000000.000000,,270000000000.000000,977941000000.000000,974086000000.000000,5000000000.000000,969086000000.000000,974086000000.000000,246384000000.000000,76479000000.000000,2544890000000.000000,3470174000000.000000,2700000000.000000
12M 2011,,,1660807000000.000000,571145000000.000000,36379000000.000000,534766000000.000000,571145000000.000000,1360000000.000000,,,1360000000.000000,626515000000.000000,6646000000.000000,2866473000000.000000,,13319000000.000000,,13319000000.000000,13319000000.000000,34585000000.000000,176241000000.000000,,1077768000000.000000,259305000000.000000,41236000000.000000,,176221000000.000000,1778675000000.000000,4645148000000.000000,,,1070554000000.000000,,,159248000000.000000,512266000000.000000,671514000000.000000,6482000000.000000,,,6482000000.000000,275247000000.000000,113124000000.000000,,,2058000000.000000,2058000000.000000,,2129000000.000000,1070554000000.000000,17613000000.000000,,,,,,,,,,,,17613000000.000000,17613000000.000000,1088167000000.000000,,270007000000.000000,978533000000.000000,1779263000000.000000,15000000000.000000,1764263000000.000000,1779263000000.000000,508737000000.000000,20441000000.000000,3556981000000.000000,4645148000000.000000,2700067500.000000
12M 2012,,,162322465.000000,67100612.000000,6987172.000000,60113440.000000,67100612.000000,1137539.000000,,,1137539.000000,101901929.000000,3118220.000000,335580765.000000,,1468750.000000,,1468750.000000,1468750.000000,4112841.000000,22341194.000000,,122573604.000000,25975661.000000,17255837.000000,,9330649.000000,203058536.000000,538639301.000000,,,107154190.000000,,,24525117.000000,59477472.000000,84002589.000000,1388232.000000,,,1388232.000000,5551868.000000,15091549.000000,,,,,,1119952.000000,107154190.000000,2845672.000000,,,,,,,,,,,,2845672.000000,2845672.000000,109999862.000000,,28876375.000000,112704463.000000,211649930.000000,2787485.000000,208862445.000000,211649930.000000,78835116.000000,-3426445.000000,428639439.000000,538639301.000000,2703545000.000000
12M 2013,,,181358279.000000,52393384.000000,7652149.000000,44741235.000000,52393384.000000,463149.000000,,,463149.000000,28244340.000000,22199695.000000,284658847.000000,,1468750.000000,,1468750.000000,1468750.000000,5601946.000000,16278347.000000,,116051338.000000,26617335.000000,7793894.000000,2229559.000000,19921121.000000,195962290.000000,480621137.000000,,,82438100.000000,,,8915566.000000,57470995.000000,66386561.000000,1720217.000000,,,1720217.000000,1767372.000000,11993219.000000,,,,,,570731.000000,82438100.000000,3207446.000000,,,,,,,,,,,,3207446.000000,3207446.000000,85645546.000000,,28877151.000000,112772500.000000,183619735.000000,3287485.000000,180332250.000000,183619735.000000,78835355.000000,-9129150.000000,394975591.000000,480621137.000000,2703620000.000000
12M 2014,,,201305297.000000,32069508.000000,7202382.000000,24867126.000000,32069508.000000,178403.000000,,,178403.000000,16873804.000000,30508281.000000,280935293.000000,,1468750.000000,,1468750.000000,1468750.000000,5034842.000000,12530074.000000,,106572802.000000,27538881.000000,,2229559.000000,7796657.000000,163171565.000000,444106858.000000,,,78548349.000000,,,12476738.000000,57306833.000000,69783571.000000,1778111.000000,,,1778111.000000,1670613.000000,3650842.000000,,,,,,1665212.000000,78548349.000000,3589825.000000,,,,,,,,,,,,3589825.000000,3589825.000000,82138174.000000,,28877151.000000,112772500.000000,154162725.000000,3537485.000000,150625240.000000,154162725.000000,74370343.000000,-8214035.000000,361968684.000000,444106858.000000,2703620000.000000
12M 2015,,,195712871.000000,10361395.000000,1946339.000000,8415056.000000,10361395.000000,136998.000000,,,136998.000000,7665070.000000,11573698.000000,225450032.000000,,1468750.000000,,1468750.000000,1468750.000000,4932414.000000,8031986.000000,,98437287.000000,31395547.000000,,2229559.000000,8708430.000000,155203973.000000,380654005.000000,,,32609650.000000,,,6868376.000000,17552842.000000,24421218.000000,1608371.000000,,,1608371.000000,897508.000000,4252660.000000,,,,,,1429893.000000,32609650.000000,4614692.000000,,,,,,,,,,,,4614692.000000,4614692.000000,37224342.000000,,28877151.000000,112772500.000000,134843853.000000,3537485.000000,131306368.000000,134843853.000000,71379326.000000,-4443167.000000,343429663.000000,380654005.000000,2703620000.000000
12M 2016,,,231019743.000000,24179588.000000,20579691.000000,3599897.000000,24179588.000000,218471.000000,,,218471.000000,8066496.000000,4689721.000000,268174019.000000,,,,,,3201185.000000,5838985.000000,,88996624.000000,34840680.000000,,2229559.000000,10084801.000000,145191834.000000,413365853.000000,,,52932232.000000,,,14713430.000000,20740643.000000,35454073.000000,1518247.000000,,,1518247.000000,8324008.000000,5618964.000000,,,,,,2016940.000000,52932232.000000,5003300.000000,,,,,,,,,,,,5003300.000000,5003300.000000,57935532.000000,,28877151.000000,112772500.000000,148193604.000000,3587485.000000,144606119.000000,148193604.000000,73330518.000000,-7743452.000000,355430321.000000,413365853.000000,2703620000.000000
12M 2017,,,266353112.000000,25579731.000000,19833075.000000,5746656.000000,25579731.000000,846223.000000,,,846223.000000,11616739.000000,10403985.000000,314799790.000000,,,,,,2285520.000000,5399243.000000,,80501053.000000,41005877.000000,167891.000000,2229559.000000,13054138.000000,144643281.000000,459443071.000000,,,57754920.000000,,,7370602.000000,23995390.000000,31365992.000000,1395614.000000,,,1395614.000000,12772072.000000,4141963.000000,,,,,,8079279.000000,57754920.000000,5827429.000000,,,,,,,,,,,,5827429.000000,5827429.000000,63582349.000000,,28877151.000000,112772500.000000,193472209.000000,3687485.000000,189784724.000000,193472209.000000,80563920.000000,-19825058.000000,395860722.000000,459443071.000000,2703620000.000000
12M 2018,,,216441996.000000,35499988.000000,6142775.000000,29357213.000000,35499988.000000,828350.000000,777281.000000,51069.000000,828350.000000,35258447.000000,22732568.000000,310761349.000000,,,,,,1901922.000000,,3880012.000000,82159276.000000,,,54828230.000000,14458406.000000,157227846.000000,467989195.000000,,,68153325.000000,,,13081654.000000,28429028.000000,41510682.000000,,1327570.000000,1325051.000000,2652621.000000,5196528.000000,14331057.000000,,,,,,4462437.000000,68153325.000000,11349079.000000,,,,,,,,,,,,11349079.000000,11349079.000000,79502404.000000,,28877151.000000,112772500.000000,179642343.000000,3787485.000000,175854858.000000,179642343.000000,86446386.000000,-19251589.000000,388486791.000000,467989195.000000,2703620000.000000
