Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Goodwill,Investasi Jangka Panjang,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Kewajiban Lembaga Keuangan Non Bank,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Obligasi Konversi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,15191747680.000000,15622633225.000000,15622633225.000000,15622633225.000000,8949980233.000000,,8949980233.000000,8949980233.000000,,8849128367.000000,48613489505.000000,,17204582214.000000,56791004239.000000,966451248.000000,521801939.000000,,,75483839640.000000,124097329145.000000,,,14034744180.000000,,6122292528.000000,,6122292528.000000,,498342001.000000,,498342001.000000,17644727.000000,7334615742.000000,,,61849182.000000,,,61849182.000000,,14034744180.000000,17852190720.000000,,64783730.000000,13921601997.000000,,13986385727.000000,,3865804993.000000,17852190720.000000,31886934900.000000,,19912100000.000000,47979760983.000000,22814629923.000000,,22814629923.000000,22814629923.000000,273048831.000000,1230854508.000000,92210394245.000000,124097329145.000000,199121.000000
12M 2019,,,6502336819.000000,49511450554.000000,49511450554.000000,49511450554.000000,9370264343.000000,83402426.000000,9286861917.000000,9370264343.000000,3633029617.000000,229279000.000000,69246360333.000000,,35820268623.000000,58770347734.000000,1156562822.000000,1181983233.000000,,,96929162412.000000,166175522745.000000,,,57690515405.000000,,11977998174.000000,,11977998174.000000,,314640499.000000,13379370177.000000,13694010676.000000,212160856.000000,15087346521.000000,,,692810159.000000,16026189019.000000,,16718999178.000000,,57690515405.000000,6906076532.000000,,2041085904.000000,,,2041085904.000000,,4864990628.000000,6906076532.000000,64596591937.000000,,19912100000.000000,47979760983.000000,27550699257.000000,,27550699257.000000,27550699257.000000,4356277969.000000,1780092599.000000,101578930808.000000,166175522745.000000,199121.000000
12M 2020,,,6968119626.000000,79815598617.000000,79815598617.000000,79815598617.000000,9843391243.000000,36754794.000000,9806636449.000000,9843391243.000000,3931380061.000000,54073713.000000,100612563260.000000,,26291654686.000000,62024415227.000000,2445040764.000000,1181983233.000000,,3338595746.000000,95281689656.000000,195894252916.000000,,,64266084640.000000,,17147541274.000000,,17147541274.000000,,778684270.000000,12490288896.000000,13268973166.000000,6038130719.000000,21616018201.000000,,,628026433.000000,4971705563.000000,595689284.000000,6195421280.000000,,64266084640.000000,11186941025.000000,,1413059472.000000,,2827192988.000000,4240252460.000000,,6946688565.000000,11186941025.000000,75453025665.000000,,20741800000.000000,58350060983.000000,34843538984.000000,,34843538984.000000,34843538984.000000,5613527216.000000,892300068.000000,120441227251.000000,195894252916.000000,207418.000000
12M 2021,,,18997738018.000000,105779896568.000000,105779896568.000000,105779896568.000000,10758405394.000000,3487922794.000000,7270482600.000000,10758405394.000000,4853423676.000000,26375114.000000,140415838770.000000,,16363149669.000000,81980911875.000000,3106402278.000000,1181983233.000000,,17225162811.000000,119857609866.000000,260273448636.000000,,,101737678761.000000,,23840971934.000000,,23840971934.000000,,770067527.000000,418858306.000000,1188925833.000000,22807448124.000000,42594433706.000000,3333333333.000000,,628026432.000000,,1020571374.000000,1648597806.000000,6323968025.000000,101737678761.000000,8215932376.000000,,785033040.000000,,1806621614.000000,2591654654.000000,,5624277722.000000,8215932376.000000,109953611137.000000,,46741800000.000000,58619392576.000000,31002906252.000000,,31002906252.000000,31002906252.000000,11239456877.000000,2716281794.000000,150319837499.000000,260273448636.000000,9348360000.000000
12M 2022,,,119074865224.000000,294711458032.000000,294711458032.000000,294711458032.000000,22529367446.000000,17156046460.000000,5373320986.000000,22529367446.000000,1423200191.000000,96720402545.000000,534459293438.000000,,136010912214.000000,169758347118.000000,7514915209.000000,1181983233.000000,,36225267012.000000,350691424786.000000,885150718224.000000,,,212947433071.000000,,32394172156.000000,,32394172156.000000,,2351017467.000000,4246752.000000,2355264219.000000,16431213942.000000,76577433099.000000,,,1379922340.000000,,6200719349.000000,7580641689.000000,77608707966.000000,212947433071.000000,45756799275.000000,,1508827137.000000,,29838512609.000000,31347339746.000000,82331377.000000,14327128152.000000,45756799275.000000,258704232346.000000,,59649618530.000000,463845434603.000000,72385482823.000000,500000000.000000,71885482823.000000,72385482823.000000,32070961500.000000,-1505011578.000000,626446485878.000000,885150718224.000000,11929923706.000000
12M 2023,,,123371807984.000000,397854159544.000000,397854159544.000000,397854159544.000000,5803422149.000000,5803422149.000000,,5803422149.000000,2624058493.000000,74166427113.000000,603819875283.000000,,104420131521.000000,375382245728.000000,11281608977.000000,1181983233.000000,,30569232099.000000,522835201558.000000,1126655076841.000000,,,342982125328.000000,,158500646225.000000,,158500646225.000000,,2242591466.000000,,2242591466.000000,32259054965.000000,130979379997.000000,,,955911247.000000,,7557245071.000000,8513156318.000000,10487296357.000000,342982125328.000000,68509406418.000000,,552915889.000000,,24137302501.000000,24690218390.000000,,43819188028.000000,68509406418.000000,411491531746.000000,,59693111970.000000,465437294507.000000,141402766851.000000,11929923706.000000,129472843145.000000,141402766851.000000,50256302486.000000,-1625930719.000000,715163545095.000000,1126655076841.000000,11938622394.000000
12M 2024,,,118495570926.000000,552281176256.000000,552281176256.000000,552281176256.000000,4641432050.000000,4641432050.000000,,4641432050.000000,1590365151.000000,118616247188.000000,795624791571.000000,,74998188565.000000,538477141900.000000,9715061743.000000,1181983233.000000,,19833576730.000000,644205952171.000000,1439830743742.000000,,,483184976156.000000,,217201557351.000000,,217201557351.000000,,4326490603.000000,,4326490603.000000,49996333909.000000,198338696556.000000,,,566398714.000000,,6797135345.000000,7363534059.000000,5958363678.000000,483184976156.000000,148960482727.000000,,,,14742752109.000000,14742752109.000000,,134217730618.000000,148960482727.000000,632145458883.000000,,59693111970.000000,465437294507.000000,215323756933.000000,12000000000.000000,203323756933.000000,215323756933.000000,64649044297.000000,2582077152.000000,807685284859.000000,1439830743742.000000,11938622394.000000
