Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pendapatan Keuangan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Keuangan,Pembayaran Pajak,"Penerimaan (Pembayaran) Beban Penjualan, Umum Dan Administrasi, Dan Kegiatan Operasi Lainnya",Penerimaan Dari (Pembayaran Untuk) Kegiatan Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Pembelian Aset Takberwujud,Investasi Pada Saham,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Pinjaman Dari Pihak Berelasi,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Pinjaman Dari Lembaga Keuangan Nonbank,Pembayaran Liabilitas Sewa,Pembayaran Pinjaman Kepada Lembaga Keuangan Non-Bank,Pembayaran Utang Pembiayaan,Pembayaran Utang Sewa,Akuisisi Kepentingan Pada Entitas Anak Dari Kepentingan Nonpengendali,Peningkatan Modal Saham,Penerimaan Setoran Modal Dari Penerbitan Saham Baru Melalui Penawaran Umum Saham Perdana,Tambahan Modal Disetor Entitas Anak,Penerbitan Saham Baru Melalui Penawaran Umum Perdana Saham,Tambahan Modal Disetor Melalui Pelaksanaan Waran,Penerbitan Saham Melalui Pelaksanaan Waran,Beban Emisi Saham,Pembayaran Utang Lain-Lain Dari Pihak Berelasi,Penerimaan Pinjaman Dari Lembaga Keuangan Non-Bank,Penerimaan Dari Obligasi Konversi,Pembayaran Pinjaman Bank Jangka Pendek,Pelunasan Obligasi Konversi,Penambahan Bagian Kepemilikan Pada Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Akuisisi Entitas Anak,Pelepasan Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2018,12418579403.000000,114247067891.000000,610543938.000000,-74909734492.000000,-4059352042.000000,-460636981.000000,-476541847.000000,-22532767064.000000,,12418579403.000000,-70246519785.000000,-35644327389.000000,,,,,-34602192396.000000,-70246519785.000000,69212329712.000000,,,,,,-53806730.000000,,,71654000000.000000,,,,,,,,,15000000000.000000,-13458863558.000000,-3800000000.000000,-129000000.000000,69212329712.000000,11384389330.000000,5952798077.000000,778344539.000000,-2923784266.000000,15191747680.000000
12M 2019,-423064460.000000,214896355419.000000,369226184.000000,-175365191145.000000,-19430374312.000000,-741422982.000000,-370658417.000000,-19780999207.000000,,-423064460.000000,-24806510097.000000,-21667696520.000000,,,,,-3138813577.000000,-24806510097.000000,15798733327.000000,13379370177.000000,,,,,-650736850.000000,,3070100000.000000,,,,,,,,,,,,,,15798733327.000000,-9430841230.000000,15191747680.000000,741430369.000000,,6502336819.000000
12M 2020,8771385422.000000,408016186535.000000,622443149.000000,-367743506705.000000,-22997905977.000000,-1167374117.000000,-1838846512.000000,-6119610951.000000,,8771385422.000000,-5773711176.000000,-1015560819.000000,,,,,-4758150357.000000,-5773711176.000000,-2531891439.000000,-889081281.000000,,,,,-692810158.000000,-950000000.000000,,,,,,,,,,,,,,,-2531891439.000000,465782807.000000,6502336819.000000,,,6968119626.000000
12M 2021,43417218078.000000,592374613321.000000,454797764.000000,-513035058448.000000,-17789742277.000000,-611886140.000000,-1200134189.000000,-16775371953.000000,,43417218078.000000,-21258976000.000000,-359686000.000000,,,,,-20899290000.000000,-21258976000.000000,-10128623686.000000,,,-666666667.000000,-762499996.000000,,-628026433.000000,,,,,5332000000.000000,,,,,-12071430590.000000,4000000000.000000,,,-5332000000.000000,,-10128623686.000000,12029618392.000000,6968119626.000000,,,18997738018.000000
12M 2022,-97597999695.000000,1583550854377.000000,2708012411.000000,-1547371033490.000000,-49995613523.000000,-847738559.000000,-25293968046.000000,-60348512865.000000,,-97597999695.000000,-228569295669.000000,-135503924943.000000,,-4265467267.000000,-89376000.000000,,-88710527459.000000,-228569295669.000000,426244422570.000000,,,-3333333333.000000,-1648466668.000000,,-628026432.000000,,,,419040237000.000000,14135000000.000000,12853995000.000000,1969941198.000000,53823530.000000,-15784136171.000000,-414611554.000000,,,,,,426244422570.000000,100077127206.000000,18997738018.000000,,,119074865224.000000
12M 2023,201718635982.000000,2325385662101.000000,2543759836.000000,-1949386006056.000000,-77735741439.000000,-3543708339.000000,-2105449834.000000,-93439880287.000000,,201718635982.000000,-236066858074.000000,-963242301.000000,63302153.000000,,-30453530000.000000,,-204713387926.000000,-236066858074.000000,38645164852.000000,,23699730000.000000,,-5990019399.000000,,-1379922341.000000,,,,,18684270000.000000,,1591859904.000000,43493440.000000,,-4246752.000000,2000000000.000000,,,,,38645164852.000000,4296942760.000000,119074865224.000000,,,123371807984.000000
12M 2024,63738797981.000000,2477444235938.000000,2391167411.000000,-2248467281335.000000,-67415558799.000000,-3170589627.000000,-745382341.000000,-97095081686.000000,797288420.000000,63738797981.000000,-160098361388.000000,-4630350053.000000,20007708.000000,,-34307461605.000000,,-121180557438.000000,-160098361388.000000,91483326349.000000,,89932370000.000000,,-6561245229.000000,-2000000000.000000,-942428422.000000,,,,,9054630000.000000,,,,,,2000000000.000000,,,,,91483326349.000000,-4876237058.000000,123371807984.000000,,,118495570926.000000
