Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Bunga,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2022,46180261927.000000,-39970588363.000000,6209673564.000000,-5664186486.000000,-5664186486.000000,,-5664186486.000000,545487078.000000,9828341.000000,16446803.000000,-6618462.000000,9828341.000000,555315419.000000,-378782343.000000,,,-378782343.000000,176533076.000000,,176533076.000000,176533076.000000,176596296.000000,-63220.000000,176533076.000000,176533076.000000,176596296.000000,-63220.000000,176533076.000000
12M 2023,140731732038.000000,-125620099708.000000,15111632330.000000,-14238505104.000000,-13526456369.000000,-712048735.000000,-14238505104.000000,873127226.000000,-88913838.000000,2893820.000000,-91807658.000000,-88913838.000000,784213388.000000,-265938907.000000,,,-265938907.000000,518274481.000000,-367238306.000000,151036175.000000,518274481.000000,518413822.000000,-139341.000000,518274481.000000,151036175.000000,151175516.000000,-139341.000000,151036175.000000
12M 2024,94004122884.000000,-74880453838.000000,19123669046.000000,-11407278398.000000,-11698225408.000000,290947010.000000,-11407278398.000000,7716390648.000000,-937427366.000000,195817485.000000,-1133244851.000000,-937427366.000000,6778963282.000000,-2043534352.000000,,,-2043534352.000000,4735428930.000000,31336927.000000,4766765857.000000,4735428930.000000,4735298558.000000,130372.000000,4735428930.000000,4766765857.000000,4766638449.000000,127408.000000,4766765857.000000
