Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Kenaikan Piutang Lain-Lain Pihak Berelasi,Penurunan Piutang Lain-Lain,Akuisisi Entitas Anak,Perolehan Aset Berwujud,Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Modal Saham,Setoran Modal Saham,Tambahan Modal Disetor,Penerimaan Dari Konversi Waran,Penerimaan Pinjaman Jangka Pendek,Penerimaan (Pembayaran) Dari Pihak Berelasi,Penerimaan Dari Pihak Berelasi,Kenaikan Utang Lain-Lain Pihak Berelasi,Pembayaran Kepada Pihak Ketiga,Pembayaran Pokok Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2022,-895257149.000000,36628041927.000000,-25500173605.000000,-11971943812.000000,-61010000.000000,16446803.000000,-6618462.000000,,-895257149.000000,-47782974858.000000,,,,,,-47782974858.000000,-47782974858.000000,51924433387.000000,,50520000000.000000,,,,,,1764433387.000000,,-360000000.000000,51924433387.000000,3246201380.000000,97281936.000000,3343483316.000000
12M 2023,-109879254751.000000,70997566531.000000,-133821089427.000000,-46625543025.000000,-341274992.000000,2893820.000000,-91807658.000000,,-109879254751.000000,-10643027633.000000,,,,,,-10643027633.000000,-10643027633.000000,127394195497.000000,,12780000000.000000,112830620000.000000,2099790.000000,,,,2056705065.000000,,-275229358.000000,127394195497.000000,6871913113.000000,3343483316.000000,10215396429.000000
12M 2024,21579615545.000000,118849840566.000000,-60085185001.000000,-34797242907.000000,-1450369747.000000,195817485.000000,-1133244851.000000,,21579615545.000000,-18095163561.000000,-17343258386.000000,,-8703931263.000000,,8400000000.000000,-447973912.000000,-18095163561.000000,19837628968.000000,,,,6941642490.000000,10995248823.000000,,,1900737655.000000,,,19837628968.000000,23322080952.000000,10215396429.000000,33537477381.000000
