Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,435324684827.000000,-324157854719.000000,111166830108.000000,-55882829357.000000,-19272682024.000000,-36610147333.000000,-55882829357.000000,55284000751.000000,24201974794.000000,23207062056.000000,-17927047217.000000,96300000.000000,20219604650.000000,,-1393944695.000000,24201974794.000000,79485975545.000000,-20591322094.000000,,,-19183322900.000000,-19183322900.000000,-1407999194.000000,-20591322094.000000,58894653451.000000,-79744914.000000,58814908537.000000,,,,,58814908537.000000,58894653451.000000,-79744914.000000,58814908537.000000,,,,
12M 2009,403627361250.000000,-241598561345.000000,162028799905.000000,-51387593913.000000,-14156596290.000000,-37230997623.000000,-51387593913.000000,110641205992.000000,7169727289.000000,26838922169.000000,-26228525041.000000,208167843.000000,1915688611.000000,,4435473707.000000,7169727289.000000,117810933281.000000,-23633577821.000000,,-22833308062.000000,-800269759.000000,-23633577821.000000,,-23633577821.000000,94177355460.000000,-156806411.000000,94020549049.000000,,,,,94020549049.000000,94177355460.000000,-156806411.000000,94020549049.000000,,,,
12M 2010,765213105542.000000,-349046060909.000000,416167044633.000000,-73088401771.000000,-26522970362.000000,-46565431409.000000,-73088401771.000000,343078642862.000000,-12896649929.000000,28379373699.000000,-32295093461.000000,390000000.000000,-268724366.000000,,-9102205801.000000,-12896649929.000000,330181992933.000000,-39286694058.000000,,-38260655277.000000,-1026038781.000000,-39286694058.000000,,-39286694058.000000,290895298875.000000,-411486743.000000,290483812132.000000,,,,,290483812132.000000,290895298875.000000,-411486743.000000,290483812132.000000,,,,
12M 2011,1381046263518.000000,-566655685963.000000,814390577555.000000,-120770120237.000000,-38177947063.000000,-82592173174.000000,-120770120237.000000,693620457318.000000,-22477255543.000000,33985110375.000000,-62443270221.000000,565000000.000000,-858368389.000000,,6274272692.000000,-22477255543.000000,671143201775.000000,-68406592318.000000,,-68004355001.000000,-402237317.000000,-68406592318.000000,,-68406592318.000000,602736609457.000000,,602736609457.000000,,,,602736609457.000000,602736609457.000000,601653801295.000000,1082808162.000000,602736609457.000000,602736609457.000000,601653801295.000000,1082808162.000000,602736609457.000000
12M 2012,2446413889000.000000,-979517327000.000000,1466896562000.000000,-212883528000.000000,-68458021000.000000,-144425507000.000000,-212883528000.000000,1254013034000.000000,90181553000.000000,55245514000.000000,-138867189000.000000,-76799000.000000,-2734166000.000000,,176614193000.000000,90181553000.000000,1344194587000.000000,-128103048000.000000,,-122388089000.000000,-1659835000.000000,-124047924000.000000,-4055124000.000000,-128103048000.000000,1216091539000.000000,,1216091539000.000000,,,,1216091539000.000000,1216091539000.000000,1192715925000.000000,23375614000.000000,1216091539000.000000,1216091539000.000000,1192715925000.000000,23375614000.000000,1216091539000.000000
12M 2013,3684239761000.000000,-1846814417000.000000,1837425344000.000000,-304204325000.000000,-99492820000.000000,-204711505000.000000,-304204325000.000000,1533221019000.000000,-451445190000.000000,31250720000.000000,-119687257000.000000,68735000.000000,-279679384000.000000,,-83398004000.000000,-451445190000.000000,1081775829000.000000,-192199233000.000000,,-185581028000.000000,-832139000.000000,-186413167000.000000,-5786066000.000000,-192199233000.000000,889576596000.000000,,889576596000.000000,,,,889576596000.000000,889576596000.000000,876785386000.000000,12791210000.000000,889576596000.000000,889576596000.000000,876785386000.000000,12791210000.000000,889576596000.000000
12M 2014,3630914079000.000000,-1324195855000.000000,2306718224000.000000,-398952587000.000000,-152995419000.000000,-245957168000.000000,-398952587000.000000,1907765637000.000000,-521998983000.000000,48460885000.000000,-195037673000.000000,35874000.000000,-138448770000.000000,,-237009299000.000000,-521998983000.000000,1385766654000.000000,-208811531000.000000,,-182538225000.000000,-7089894000.000000,-189628119000.000000,-19183412000.000000,-208811531000.000000,1176955123000.000000,,1176955123000.000000,,,,1176955123000.000000,1176955123000.000000,1097417967000.000000,79537156000.000000,1176955123000.000000,1176955123000.000000,1097417967000.000000,79537156000.000000,1176955123000.000000
12M 2015,2783700318000.000000,-727637014000.000000,2056063304000.000000,-428348210000.000000,-121811707000.000000,-306536503000.000000,-428348210000.000000,1627715094000.000000,-868757800000.000000,38052016000.000000,-158904136000.000000,119148000.000000,-438178336000.000000,-142770592000.000000,-167075900000.000000,-868757800000.000000,758957294000.000000,-74669541000.000000,,,,,,-74669541000.000000,684287753000.000000,,684287753000.000000,2197198000.000000,2197198000.000000,2197198000.000000,686484951000.000000,684287753000.000000,596515405000.000000,87772348000.000000,684287753000.000000,686484951000.000000,598742905000.000000,87742046000.000000,686484951000.000000
12M 2016,2715688780000.000000,-1250829709000.000000,1464859071000.000000,-368412170000.000000,-78390227000.000000,-290021943000.000000,-368412170000.000000,1096446901000.000000,-505093492000.000000,53143753000.000000,-225606812000.000000,134000.000000,157368649000.000000,-132139369000.000000,-357859847000.000000,-505093492000.000000,591353409000.000000,-81110130000.000000,,,,,,-81110130000.000000,510243279000.000000,,510243279000.000000,10406083000.000000,10406083000.000000,10406083000.000000,520649362000.000000,510243279000.000000,508780523000.000000,1462756000.000000,510243279000.000000,520649362000.000000,519100092000.000000,1549270000.000000,520649362000.000000
12M 2017,3917107098000.000000,-1541083916000.000000,2376023182000.000000,-390491880000.000000,-93508181000.000000,-296983699000.000000,-390491880000.000000,1985531302000.000000,-540866871000.000000,42715169000.000000,-411526204000.000000,,-31776255000.000000,,-140279581000.000000,-540866871000.000000,1444664431000.000000,-59475254000.000000,,,,,,-59475254000.000000,1385189177000.000000,,1385189177000.000000,-7239427000.000000,,-7239427000.000000,1377949750000.000000,1385189177000.000000,1379979809000.000000,5209368000.000000,1385189177000.000000,1377949750000.000000,1372802958000.000000,5146792000.000000,1377949750000.000000
12M 2018,3975258160000.000000,-1531274814000.000000,2443983346000.000000,-466037421000.000000,-138813367000.000000,-327224054000.000000,-466037421000.000000,1977945925000.000000,-942672997000.000000,19128723000.000000,-442404865000.000000,3800000.000000,-316835466000.000000,-119629336000.000000,-82935853000.000000,-942672997000.000000,1035272928000.000000,-64686328000.000000,,,,,,-64686328000.000000,970586600000.000000,,970586600000.000000,8078928000.000000,,8078928000.000000,978665528000.000000,970586600000.000000,970096143000.000000,490457000.000000,970586600000.000000,978665528000.000000,978088811000.000000,576717000.000000,978665528000.000000
12M 2019,3475677175000.000000,-1278972605000.000000,2196704570000.000000,-504809969000.000000,-158605981000.000000,-346203988000.000000,-504809969000.000000,1691894601000.000000,-580565165000.000000,29384781000.000000,-595400737000.000000,27163000.000000,209672361000.000000,-91726953000.000000,-132521780000.000000,-580565165000.000000,1111329436000.000000,-98382124000.000000,,,,,,-98382124000.000000,1012947312000.000000,,1012947312000.000000,-2084806000.000000,,-2084806000.000000,1010862506000.000000,1012947312000.000000,1011628134000.000000,1319178000.000000,1012947312000.000000,1010862506000.000000,1009588865000.000000,1273641000.000000,1010862506000.000000
12M 2020,1413251961000.000000,-816694800000.000000,596557161000.000000,-423776830000.000000,-98704856000.000000,-325071974000.000000,-423776830000.000000,172780331000.000000,-1132809701000.000000,25966199000.000000,-742801578000.000000,,-197793136000.000000,-36792489000.000000,-181388697000.000000,-1132809701000.000000,-960029370000.000000,-76588495000.000000,,,,,,-76588495000.000000,-1036617865000.000000,,-1036617865000.000000,-2159178000.000000,,-2159178000.000000,-1038777043000.000000,-1036617865000.000000,-1027706333000.000000,-8911532000.000000,-1036617865000.000000,-1038777043000.000000,-1029797847000.000000,-8979196000.000000,-1038777043000.000000
12M 2021,2847323717000.000000,-1338109667000.000000,1509214050000.000000,-399441007000.000000,-89673273000.000000,-309767734000.000000,-399441007000.000000,1109773043000.000000,-951293556000.000000,14831511000.000000,-817917145000.000000,,-62519275000.000000,-71581151000.000000,-14107496000.000000,-951293556000.000000,158479487000.000000,-15550696000.000000,,,,,,-15550696000.000000,142928791000.000000,,142928791000.000000,7014535000.000000,,7014535000.000000,149943326000.000000,142928791000.000000,145693623000.000000,-2764832000.000000,142928791000.000000,149943326000.000000,152605281000.000000,-2661955000.000000,149943326000.000000
12M 2022,4493531259000.000000,-1862391479000.000000,2631139780000.000000,-491403009000.000000,-136124196000.000000,-355278813000.000000,-491403009000.000000,2139736771000.000000,-1033593660000.000000,22167014000.000000,-871302561000.000000,,-409899028000.000000,-115758739000.000000,341199654000.000000,-1033593660000.000000,1106143111000.000000,-7778174000.000000,,,,,,-7778174000.000000,1098364937000.000000,,1098364937000.000000,-289533000.000000,,-289533000.000000,1098075404000.000000,1098364937000.000000,1086115392000.000000,12249545000.000000,1098364937000.000000,1098075404000.000000,1085759380000.000000,12316024000.000000,1098075404000.000000
12M 2023,3956015546000.000000,-1809824844000.000000,2146190702000.000000,-478997203000.000000,-134177275000.000000,-344819928000.000000,-478997203000.000000,1667193499000.000000,-999248642000.000000,31214653000.000000,-960793221000.000000,,37477132000.000000,-99229283000.000000,-7917923000.000000,-999248642000.000000,667944857000.000000,-30305003000.000000,,,,,,-30305003000.000000,637639854000.000000,,637639854000.000000,1429748000.000000,,1429748000.000000,639069602000.000000,637639854000.000000,632327844000.000000,5312010000.000000,637639854000.000000,639069602000.000000,633705130000.000000,5364472000.000000,639069602000.000000
12M 2024,3433337156000.000000,-1657008147000.000000,1776329009000.000000,-536439739000.000000,-163258605000.000000,-373181134000.000000,-536439739000.000000,1239889270000.000000,-1160091880000.000000,25231573000.000000,-815977744000.000000,,-141144892000.000000,-90444831000.000000,-137755986000.000000,-1160091880000.000000,79797390000.000000,-14660833000.000000,,,,,,-14660833000.000000,65136557000.000000,,65136557000.000000,642270000.000000,,642270000.000000,65778827000.000000,65136557000.000000,55216151000.000000,9920406000.000000,65136557000.000000,65778827000.000000,55807057000.000000,9971770000.000000,65778827000.000000
