Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.49,102.45,0.49,102.45,724 B,,724 B,408 B,633 B
12M 2009,0.97,107.90,0.97,107.90,804 B,,804 B,373 B,815 B
12M 2010,2.39,123.62,2.39,123.62,669 B,,669 B,(63 B),803 B
12M 2011,3.00,153.28,3.00,153.28,554 B,,554 B,(291 B),462 B
12M 2012,2.58,232.49,2.58,232.49,457 B,"1,949 B","2,406 B",765 B,743 B
12M 2013,1.64,262.51,1.64,262.51,,"4,587 B","4,587 B","3,696 B",(919 B)
12M 2014,1.80,311.36,1.80,311.36,,"6,606 B","6,606 B","5,725 B",385 B
12M 2015,1.04,328.48,1.04,328.48,154 B,"7,291 B","7,445 B","6,807 B","(1,054 B)"
12M 2016,0.98,360.45,0.98,360.45,645 B,"6,992 B","7,637 B","6,447 B",(352 B)
12M 2017,0.83,430.82,0.83,430.82,869 B,"7,194 B","8,063 B","7,345 B",(826 B)
12M 2018,0.65,480.60,0.65,480.60,851 B,"7,309 B","8,159 B","7,700 B",(775 B)
12M 2019,0.45,531.98,0.45,531.98,494 B,"7,614 B","8,108 B","6,900 B",597 B
12M 2020,0.51,472.62,0.51,472.62,897 B,"7,183 B","8,081 B","7,456 B","(1,042 B)"
12M 2021,0.34,480.38,0.34,480.38,"1,265 B","6,821 B","8,087 B","7,096 B",(599 B)
12M 2022,0.30,535.64,0.30,535.64,442 B,"6,388 B","6,831 B","5,392 B",(82 B)
12M 2023,0.29,567.89,0.29,567.89,"1,111 B","5,699 B","6,810 B","5,634 B",(783 B)
12M 2024,0.23,570.73,0.23,570.73,"1,176 B","5,450 B","6,626 B","5,969 B",(872 B)
