Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk:,Direksi Dan Karyawan,Kontraktor Dan Pemasok,Total Pembayaran Kas Untuk:,Penerimaan Bunga,Pembayaran Pajak,(Pembayaran)/Penerimaan Dari Pihak Lain Yang Bukan Pelanggan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Jangka Pendek,Penempatan Dana Cadangan Pembayaran Bunga,Penempatan Pada Portfolio Pendapatan Tetap,Penambahan Tanah Untuk Dikembangkan,Penambahan Kas Dan Setara Kas Dari Entitas Yang Baru,Penambahan Properti Investasi,Penjualan Properti Investasi,Kenaikan/Penurunan Jaminan Kpr,Penambahan Aset Keuangan Lancar Lainnya,(Kenaikan)/Penurunan Aset Keuangan Yang Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Tanah,Penambahan Investasi Pada Entitas Anak,Uang Muka Investasi,Penjualan Aset Tetap,(Kenaikan)/Penurunan Deposito Berjangka,(Kenaikan)/Penurunan Deposito Berjangka Dan Rekening Koran Yang Dijadikan Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Utang Bank,Penarikan Utang Bank,Pembayaran Bunga,Penerimaan Utang Bank,(Kenaikan)/Penurunan Deposito Berjangka,Peningkatan Modal Disetor,Agio Saham,Penempatan Dana Cadangan Pembayaran Bunga,Penerbitan Obligasi - Bersih,(Kenaikan)/Penurunan Piutang Pihak Berelasi,Aset Pengampunan Pajak,Penerimaan Manfaat Lindung Nilai,Penurunan Manfaat Lindung Nilai,Penempatan Liabilitas Lainnya,Penambahan Uang Muka Setoran Modal Pada Entitas Anak Oleh Kepentingan Non Pengendali,Kenaikan/(Penurunan) Utang Pihak Berelasi,Penyelesaian (Penempatan) Transaksi Derivatif,Pembelian Kembali Obligasi,Beban Pembelian Kembali Obligasi,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Pada Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Dari Entitas Anak Baru Pada Saat Akuisisi,Kas Dan Bank Pada Akhir Periode
12M 2008,56686359444.000000,464229237334.000000,,-21108219120.000000,-310968940418.000000,-332077159538.000000,23207009303.000000,-99957773344.000000,1285045689.000000,56686359444.000000,-86208830809.000000,5000000000.000000,,,-74727592120.000000,,,,,,,-22897349373.000000,-1776785948.000000,,,96300000.000000,8096596632.000000,,-86208830809.000000,-9332352714.000000,-9312800000.000000,,,,,,,,,-1012009655.000000,,,,,,992456941.000000,,,,,,-9332352714.000000,-38854824079.000000,354843749321.000000,,,315988925242.000000
12M 2009,126231731326.000000,698823977597.000000,,-25421661383.000000,-453460418379.000000,-478882079762.000000,21933285004.000000,-102500080740.000000,-13143370773.000000,126231731326.000000,-156840256743.000000,6816413193.000000,,,-659416245.000000,,,,,,,-18564061520.000000,-1699650000.000000,,,494800000.000000,-73228342171.000000,-70000000000.000000,-156840256743.000000,145212799431.000000,80207069836.000000,,,,,73429188800.000000,7342918880.000000,,,1290204201.000000,,,,,,-14844080380.000000,,,,,-2212501906.000000,145212799431.000000,114604274014.000000,315988925242.000000,,,430593199256.000000
12M 2010,796865491375.000000,1600216831869.000000,,-26508821675.000000,-776864561085.000000,-803373382760.000000,28379373699.000000,-82834717078.000000,54477385645.000000,796865491375.000000,-356565680879.000000,-30000000000.000000,,,-7034747991.000000,,,,,,,-99755085303.000000,-64964458578.000000,,-167000000000.000000,390000000.000000,-28201389007.000000,40000000000.000000,-356565680879.000000,-138536233562.000000,-134796081158.000000,,,,,,,,,362195983.000000,,,,,,5500000000.000000,,,,,-9602348387.000000,-138536233562.000000,301763576934.000000,430593199256.000000,,,732356776190.000000
12M 2011,1419007133264.000000,2320710864770.000000,,-38745678890.000000,-721764551325.000000,-760510230215.000000,33985110375.000000,-113337557549.000000,-61841054117.000000,1419007133264.000000,-1111444632730.000000,,,,-25540911290.000000,178688539.000000,-20484542113.000000,,,,,-199221299561.000000,-755175530871.000000,,,565000000.000000,-111766037434.000000,,-1111444632730.000000,-195012924033.000000,-114946428628.000000,,-68491118847.000000,,30000000000.000000,,,,,-8079431949.000000,,,,,,38500000000.000000,,,,,-71995944609.000000,-195012924033.000000,112549576501.000000,732356776190.000000,,,844906352691.000000
12M 2012,2030764133000.000000,3556405332000.000000,,-74298696000.000000,-1327990984000.000000,-1402289680000.000000,55245514000.000000,-170564852000.000000,-8032181000.000000,2030764133000.000000,-3278048080000.000000,30015702000.000000,,,-360324081000.000000,,-58653059000.000000,,,-77953858000.000000,,-173300366000.000000,-1993438346000.000000,-530447544000.000000,,2095083000.000000,-116041611000.000000,,-3278048080000.000000,2038778546000.000000,241431083000.000000,,-145973068000.000000,,,178631000000.000000,579076226000.000000,,1305841873000.000000,222327000.000000,,,,,,,,,,,-120450895000.000000,2038778546000.000000,791494599000.000000,844906353000.000000,,4914567000.000000,1641315519000.000000
12M 2013,2337050459000.000000,3888682267000.000000,,-90441516000.000000,-1278184097000.000000,-1368625613000.000000,31250720000.000000,-183874845000.000000,-30382070000.000000,2337050459000.000000,-3948081399000.000000,,,,-467735106000.000000,,-58358863000.000000,,,,,-125020505000.000000,-2909656787000.000000,-50000000.000000,-312000000000.000000,628476000.000000,-75888614000.000000,,-3948081399000.000000,859896808000.000000,-750658241000.000000,,-292888615000.000000,,,,,,2183074472000.000000,7250605000.000000,,,,,,,,,,,-286881413000.000000,859896808000.000000,-751134132000.000000,1641315519000.000000,,,890181387000.000000
12M 2014,653035948000.000000,2953193088000.000000,,-111233377000.000000,-2000624410000.000000,-2111857787000.000000,48460885000.000000,-180404554000.000000,-56355684000.000000,653035948000.000000,-1769489234000.000000,,-43703328000.000000,-350430000000.000000,-1123444676000.000000,,-26849282000.000000,,,98147448000.000000,,-179007269000.000000,-212062391000.000000,,,654698000.000000,67205566000.000000,,-1769489234000.000000,1107025790000.000000,185000000000.000000,,-443465407000.000000,,,,,,2659771054000.000000,-887000000.000000,,,,,,-39300000000.000000,,-1116546974000.000000,,,-137545883000.000000,1107025790000.000000,-9427496000.000000,890181387000.000000,,,880753891000.000000
12M 2015,552017180000.000000,2716600422000.000000,,-173222908000.000000,-1799645436000.000000,-1972868344000.000000,38052016000.000000,-241735218000.000000,11968304000.000000,552017180000.000000,-49890714000.000000,,40467267000.000000,388972021000.000000,-344766821000.000000,,-2811086000.000000,,,,,-147360313000.000000,-64223335000.000000,,,120000000.000000,79711553000.000000,,-49890714000.000000,-744492038000.000000,919499345000.000000,,-591520190000.000000,,,,,-15040688000.000000,,-900000000.000000,,,,,,-3960000000.000000,,-915024622000.000000,,,-137545883000.000000,-744492038000.000000,-242365572000.000000,880753891000.000000,,,638388319000.000000
12M 2016,1482024047000.000000,3867297312000.000000,,-159504596000.000000,-2051357625000.000000,-2210862221000.000000,53143753000.000000,-208026747000.000000,-19528050000.000000,1482024047000.000000,-377030118000.000000,,-41414914000.000000,,-34300718000.000000,,-1440564000.000000,,,,,-80124735000.000000,-273549335000.000000,,,3625000.000000,53796523000.000000,,-377030118000.000000,-553923325000.000000,362358463000.000000,,-751219217000.000000,,,,,-7133784000.000000,3114766924000.000000,-176000000.000000,,,,,,-38500000000.000000,,-3234019711000.000000,,,,-553923325000.000000,551070604000.000000,638388319000.000000,,,1189458923000.000000
12M 2017,1825950802000.000000,3446212658000.000000,,-183706655000.000000,-1288318124000.000000,-1472024779000.000000,42715169000.000000,-178265786000.000000,-12686460000.000000,1825950802000.000000,-1482370545000.000000,,-35908336000.000000,,-631441537000.000000,,-3162797000.000000,,,,,-91082250000.000000,-732891732000.000000,,,450000000.000000,11666107000.000000,,-1482370545000.000000,-815944425000.000000,-288740487000.000000,,-599127544000.000000,,,,,-8439179000.000000,,,,,,,,-99992105000.000000,95870387000.000000,,,113958621000.000000,-29474118000.000000,-815944425000.000000,-472364168000.000000,1189458923000.000000,991689000.000000,,718086444000.000000
12M 2018,1369684549000.000000,2968102791000.000000,,-198386866000.000000,-1257286242000.000000,-1455673108000.000000,19128723000.000000,-155104363000.000000,-6769494000.000000,1369684549000.000000,-696771358000.000000,,3550879000.000000,,-231217472000.000000,,-24873756000.000000,,,,,-149111236000.000000,-323206496000.000000,,,3800000.000000,28082923000.000000,,-696771358000.000000,-938772517000.000000,-434622385000.000000,,-579633815000.000000,63000000000.000000,,,,9968683000.000000,,900000000.000000,,,,,,1615000000.000000,,,,,,-938772517000.000000,-265859326000.000000,718086444000.000000,6782092000.000000,,459009210000.000000
12M 2019,1690471159000.000000,3383000401000.000000,,-247212092000.000000,-1272086699000.000000,-1519298791000.000000,29384781000.000000,-159699097000.000000,-42916135000.000000,1690471159000.000000,-594108835000.000000,,-43731637000.000000,,-130866510000.000000,,-63535818000.000000,,,,,-31550693000.000000,-292264485000.000000,,,40908000.000000,-32200600000.000000,,-594108835000.000000,-329709599000.000000,-425363232000.000000,,-684782575000.000000,,,,,-1043848000.000000,4137303702000.000000,,,,,10764050000.000000,,,,,-3366587696000.000000,,,-329709599000.000000,766652725000.000000,459009210000.000000,-16989429000.000000,,1208672506000.000000
12M 2020,334317194000.000000,2017499041000.000000,,-249209324000.000000,-1310846420000.000000,-1560055744000.000000,25966199000.000000,-145651372000.000000,-3440930000.000000,334317194000.000000,-147889223000.000000,,-14979994000.000000,,-17812270000.000000,,-16119416000.000000,,,,,-12083375000.000000,-103059108000.000000,,,,16164940000.000000,,-147889223000.000000,-815828953000.000000,-234659210000.000000,700000000000.000000,-712366402000.000000,,,,,18082871000.000000,,7531519000.000000,,397579158000.000000,,,,,,,-991996889000.000000,,,-815828953000.000000,-629400982000.000000,1208672506000.000000,45404394000.000000,,624675918000.000000
12M 2021,1614167598000.000000,3265120031000.000000,,-252062078000.000000,-1262689747000.000000,-1514751825000.000000,14831511000.000000,-147554907000.000000,-3477212000.000000,1614167598000.000000,-363365649000.000000,,-111188958000.000000,,-20105199000.000000,,-13875716000.000000,,,,,-10890950000.000000,-113234195000.000000,,,11430000.000000,-94082061000.000000,,-363365649000.000000,-889756599000.000000,-238855721000.000000,500000000000.000000,-584597802000.000000,,,,,-11139445000.000000,,16000000.000000,,,,,,,,,-555179631000.000000,,,-889756599000.000000,361045350000.000000,624675918000.000000,5312018000.000000,,991033286000.000000
12M 2022,2486489945000.000000,4494209880000.000000,,-295884381000.000000,-1587918517000.000000,-1883802898000.000000,22167014000.000000,-151553218000.000000,5469167000.000000,2486489945000.000000,-610462376000.000000,,-99857016000.000000,,-12672657000.000000,,-4109130000.000000,,,,,-55514243000.000000,-279032895000.000000,,,1395600000.000000,-160672035000.000000,,-610462376000.000000,-1466199136000.000000,-183348888000.000000,1723750000000.000000,-689279007000.000000,,,,,-24954429000.000000,,,,366431604000.000000,,,3457925000.000000,,,,-2662256341000.000000,,,-1466199136000.000000,409828433000.000000,991033286000.000000,37262173000.000000,,1438123892000.000000
12M 2023,1021655345000.000000,3266676861000.000000,,-301628270000.000000,-1833417684000.000000,-2135045954000.000000,31214653000.000000,-139952172000.000000,-1238043000.000000,1021655345000.000000,-301279163000.000000,,22935380000.000000,,-25907488000.000000,,-35435344000.000000,,,,,-72569518000.000000,-233169457000.000000,,,1180943000.000000,41686321000.000000,,-301279163000.000000,-976808442000.000000,-226590908000.000000,,-721798801000.000000,,,,,24146658000.000000,,,,,,,2445650000.000000,,,,-55011041000.000000,,,-976808442000.000000,-256432260000.000000,1438123892000.000000,-5596122000.000000,,1176095510000.000000
