Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Pihak Berelasi,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Persediaan,Tanah Untuk Dikembangkan,Aset Tetap,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Obligasi,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Bank Jangka Panjang,Utang Obligasi,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,315988925242.000000,41862522098.000000,7249079423.000000,13516820248.000000,11864420064.000000,1652400184.000000,13516820248.000000,,2947880676.000000,1532865892928.000000,6232152179.000000,1920663272794.000000,,,,1100512618426.000000,34673169895.000000,,687679525.000000,1135873467846.000000,3056536740640.000000,,,1288033357875.000000,723762597250.000000,,52518610610.000000,,52518610610.000000,,10803857874.000000,16228378356.000000,27032236230.000000,13436057203.000000,7441581450.000000,191031715364.000000,,,,,272810559768.000000,1288033357875.000000,6112355041.000000,,,,,6112355041.000000,6112355041.000000,1294145712916.000000,,1712881000000.000000,6074250753.000000,75583459875.000000,,75583459875.000000,75583459875.000000,7547833401.000000,-39695516305.000000,1762391027724.000000,3056536740640.000000,17128810000.000000
12M 2009,,,430593199256.000000,115090864269.000000,,22232213550.000000,21870017567.000000,362195983.000000,22232213550.000000,,3280028606.000000,1841950096119.000000,19802115517.000000,2432948517317.000000,,,,1003667239253.000000,50899850756.000000,,72449320925.000000,1127016410934.000000,3559964928251.000000,,,1617465009250.000000,803969667086.000000,,19063163642.000000,,19063163642.000000,,9341765118.000000,4879248269.000000,14221013387.000000,21756639552.000000,4254116981.000000,176187634984.000000,,,,,578012773618.000000,1617465009250.000000,7371930043.000000,,,,,7371930043.000000,7371930043.000000,1624836939293.000000,,1786310188800.000000,13417169633.000000,167391507018.000000,,167391507018.000000,167391507018.000000,7704639812.000000,-39695516305.000000,1935127988958.000000,3559964928251.000000,17863101888.000000
12M 2010,,,732356776190.000000,143292253276.000000,28826942066.000000,11339451980.000000,11339451980.000000,,11339451980.000000,,3353353519.000000,2186131292579.000000,59767838300.000000,3165067907910.000000,,,,952422211168.000000,148063359247.000000,,322432994515.000000,1422918564930.000000,4587986472840.000000,,,2361863175095.000000,669173585928.000000,,25470322118.000000,741816833.000000,26212138951.000000,,21621746855.000000,58957486568.000000,80579233423.000000,10478455141.000000,3053701788.000000,181687634984.000000,,,,,1390678424880.000000,2361863175095.000000,9702358300.000000,,,,,9702358300.000000,9702358300.000000,2371565533395.000000,,1786310188800.000000,13417169633.000000,448272970763.000000,,448272970763.000000,448272970763.000000,8116126554.000000,-39695516305.000000,2216420939445.000000,4587986472840.000000,17863101888.000000
12M 2011,,,844906352691.000000,255058290710.000000,30015702229.000000,16070308962.000000,7990877013.000000,8079431949.000000,16070308962.000000,,13605005656.000000,2395213061781.000000,115274986041.000000,3670143708070.000000,,,,1162111122458.000000,341513657163.000000,27460570383.000000,806319033111.000000,2337404383115.000000,6007548091185.000000,,,3208058462773.000000,554227157300.000000,,34910971246.000000,607726248.000000,35518697494.000000,,37881470323.000000,16189771042.000000,54071241365.000000,27600261113.000000,3129606477.000000,220187634984.000000,,,,,2313323864040.000000,3208058462773.000000,12617714032.000000,,,,,12617714032.000000,12617714032.000000,3220676176805.000000,,1786310188800.000000,13417169633.000000,977938471449.000000,,977938471449.000000,977938471449.000000,48901600803.000000,-39695516305.000000,2786871914380.000000,6007548091185.000000,17863101888.000000
12M 2012,,,1641315519000.000000,371099902000.000000,,16909014000.000000,8930409000.000000,7978605000.000000,16909014000.000000,,12812188000.000000,1661094319000.000000,202515289000.000000,3905746231000.000000,,,1250185572000.000000,3388171425000.000000,708120733000.000000,663061963000.000000,1031131320000.000000,7040671013000.000000,10946417244000.000000,,,3162986085000.000000,5450000000.000000,,35257449000.000000,,35257449000.000000,,198762482000.000000,7056881000.000000,205819363000.000000,65299030000.000000,53510997000.000000,224147635000.000000,,,226000000000.000000,226000000000.000000,2347501611000.000000,3162986085000.000000,3051556425000.000000,4055124000.000000,564208241000.000000,1384625852000.000000,,1098667208000.000000,3051556425000.000000,6214542510000.000000,,1964941189000.000000,592493396000.000000,2050203501000.000000,,2050203501000.000000,2050203501000.000000,163576166000.000000,-39339518000.000000,4731874734000.000000,10946417244000.000000,19649411888.000000
12M 2013,,,890181387000.000000,446988516000.000000,,82481154000.000000,70856154000.000000,11625000000.000000,82481154000.000000,728000000.000000,13094287000.000000,937152522000.000000,429494864000.000000,2800120730000.000000,,,2300277682000.000000,5845339454000.000000,801677933000.000000,1086712858000.000000,1593953910000.000000,11627961837000.000000,14428082567000.000000,,,3718655115000.000000,,,162923566000.000000,2165181000.000000,165088747000.000000,,214592986000.000000,10098588000.000000,224691574000.000000,67572322000.000000,133048147000.000000,224147635000.000000,,,,,2904106690000.000000,3718655115000.000000,5377642758000.000000,9841190000.000000,45000000000.000000,4541541021000.000000,,781260547000.000000,5377642758000.000000,9096297873000.000000,,1964941189000.000000,592493396000.000000,2640107474000.000000,,2640107474000.000000,2640107474000.000000,173582153000.000000,-39339518000.000000,5331784694000.000000,14428082567000.000000,19649411888.000000
12M 2014,,,880753891000.000000,379782950000.000000,,129963540000.000000,125561646000.000000,4401894000.000000,129963540000.000000,1615000000.000000,60618103000.000000,930601753000.000000,804755918000.000000,3188091155000.000000,,,2820880669000.000000,7366638018000.000000,957762275000.000000,1078645714000.000000,1512349123000.000000,13736275799000.000000,16924366954000.000000,,,2803110232000.000000,,,143482347000.000000,17105078000.000000,160587425000.000000,,248822224000.000000,10247865000.000000,259070089000.000000,36366447000.000000,245528827000.000000,184847635000.000000,,,,,1916709809000.000000,2803110232000.000000,7750062788000.000000,29024602000.000000,230000000000.000000,6376187102000.000000,,1114851084000.000000,7750062788000.000000,10553173020000.000000,,1964941189000.000000,592493396000.000000,3599979558000.000000,2000000000.000000,3597979558000.000000,3599979558000.000000,253119309000.000000,-39339518000.000000,6371193934000.000000,16924366954000.000000,19649411888.000000
12M 2015,,,638388319000.000000,300071397000.000000,,119787944000.000000,117787380000.000000,2000564000.000000,119787944000.000000,2515000000.000000,30821165000.000000,1156083239000.000000,451250495000.000000,2698917559000.000000,,,4394110055000.000000,8480756343000.000000,1097189789000.000000,1042474035000.000000,996422345000.000000,16010952567000.000000,18709870126000.000000,,,3752467213000.000000,,,1030861687000.000000,2159212000.000000,1033020899000.000000,,244682275000.000000,10247865000.000000,254930140000.000000,49885428000.000000,246896279000.000000,180887635000.000000,,,77239587000.000000,77239587000.000000,1909607245000.000000,3752467213000.000000,8354993251000.000000,13688835000.000000,1072259758000.000000,6218261186000.000000,,1050783472000.000000,8354993251000.000000,12107460464000.000000,,1964941189000.000000,592493396000.000000,4061176580000.000000,4000000000.000000,4057176580000.000000,4061176580000.000000,147958724000.000000,-164160227000.000000,6602409662000.000000,18709870126000.000000,19649411888.000000
12M 2016,,,1189458923000.000000,246274874000.000000,,178069874000.000000,178047235000.000000,22639000.000000,178069874000.000000,2691000000.000000,18600280000.000000,1208483784000.000000,238730516000.000000,3082309251000.000000,,,4781874341000.000000,9169626393000.000000,1148604050000.000000,1007923565000.000000,995793082000.000000,17103821431000.000000,20186130682000.000000,,,3434222096000.000000,,,345657177000.000000,1961079000.000000,347618256000.000000,,273602075000.000000,10247865000.000000,283849940000.000000,111327899000.000000,160107108000.000000,142387635000.000000,,,322587574000.000000,322587574000.000000,2066343684000.000000,3434222096000.000000,9564063505000.000000,10136843000.000000,669675700000.000000,6321930900000.000000,,2562320062000.000000,9564063505000.000000,12998285601000.000000,,1964941189000.000000,637207927000.000000,4580276672000.000000,5000000000.000000,4575276672000.000000,4580276672000.000000,105174743000.000000,-99755450000.000000,7187845081000.000000,20186130682000.000000,19649411888.000000
12M 2017,,,718086444000.000000,,,210269322000.000000,200701605000.000000,9567717000.000000,210269322000.000000,1076000000.000000,21899607000.000000,960844008000.000000,405782901000.000000,2317958282000.000000,,,4541580553000.000000,10415617965000.000000,1225363874000.000000,1037453281000.000000,1190456532000.000000,18410472205000.000000,20728430487000.000000,,,3143479123000.000000,,,198274290000.000000,2974794000.000000,201249084000.000000,,353843069000.000000,9078395000.000000,362921464000.000000,44341667000.000000,163055026000.000000,41950000000.000000,,,434622386000.000000,434622386000.000000,1895339496000.000000,3143479123000.000000,9012259784000.000000,8088809000.000000,788494935000.000000,6405680614000.000000,,1809995426000.000000,9012259784000.000000,12155738907000.000000,,1964941189000.000000,676623405000.000000,5923605512000.000000,6000000000.000000,5917605512000.000000,5923605512000.000000,107276924000.000000,-99755450000.000000,8572691580000.000000,20728430487000.000000,19649411888.000000
