Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,307869644966.000000,-156957054249.000000,150912590717.000000,-108433469069.000000,-108410384005.000000,-23085064.000000,-108433469069.000000,42479121648.000000,3116008165.000000,2165960516.000000,-10945414.000000,614737619.000000,873138797.000000,-526883353.000000,3116008165.000000,45595129813.000000,-15741381532.000000,-15334536000.000000,-406845532.000000,-15741381532.000000,29853748281.000000,-5912780328.000000,23940967953.000000,,,,,23940967953.000000,29853748281.000000,-5912780328.000000,23940967953.000000,,,,
12M 2009,340462501331.000000,-162259727375.000000,178202773956.000000,-134976515810.000000,-133855256662.000000,-1121259148.000000,-134976515810.000000,43226258146.000000,6226809499.000000,1713591370.000000,-176210187.000000,8024827145.000000,-2944419474.000000,-390979355.000000,6226809499.000000,49453067645.000000,-14633531127.000000,-14663739000.000000,30207873.000000,-14633531127.000000,34819536518.000000,-4474889355.000000,30344647163.000000,,,,,30344647163.000000,34819536518.000000,-4474889355.000000,30344647163.000000,,,,
12M 2010,423343474244.000000,-193750094317.000000,229593379927.000000,-181629763703.000000,-181963689460.000000,333925757.000000,-181629763703.000000,47963616224.000000,-604757007.000000,1785921727.000000,-1059915912.000000,363409383.000000,-912422021.000000,-781750184.000000,-604757007.000000,47358859217.000000,-13526618755.000000,-14376147500.000000,849528745.000000,-13526618755.000000,33832240462.000000,-5678547685.000000,28153692777.000000,,,,,28153692777.000000,33832240462.000000,-5678547685.000000,28153692777.000000,,,,
12M 2011,465313644815.000000,-203342679439.000000,261970965376.000000,-207403071754.000000,-208639540133.000000,1236468379.000000,-207403071754.000000,54567893622.000000,-4033510349.000000,1609234253.000000,-4190106863.000000,211330655.000000,-1455155725.000000,-208812669.000000,-4033510349.000000,50534383273.000000,-14159334370.000000,-15734603250.000000,1575268880.000000,-14159334370.000000,36375048903.000000,,36375048903.000000,,,,36375048903.000000,36375048903.000000,30021501205.000000,6353547698.000000,36375048903.000000,36375048903.000000,30021501205.000000,6353547698.000000,36375048903.000000
12M 2012,560033423985.000000,-260676552940.000000,299356871045.000000,-233750597193.000000,-234868601234.000000,1118004041.000000,-233750597193.000000,65606273852.000000,-3069557213.000000,1371028952.000000,-4440586165.000000,,,,-3069557213.000000,62536716639.000000,-15896005652.000000,-19228908498.000000,3332902846.000000,-15896005652.000000,46640710987.000000,,46640710987.000000,,,,46640710987.000000,46640710987.000000,40655581627.000000,5985129360.000000,46640710987.000000,46640710987.000000,40655581627.000000,5985129360.000000,46640710987.000000
12M 2013,591342580167.000000,-279056999918.000000,312285580249.000000,-244224062423.000000,-239026430585.000000,-5197631838.000000,-244224062423.000000,68061517826.000000,-3483344966.000000,789080112.000000,-4272425078.000000,,,,-3483344966.000000,64578172860.000000,-18736982050.000000,-18066823500.000000,-670158550.000000,-18736982050.000000,45841190810.000000,,45841190810.000000,69244692448.000000,,69244692448.000000,115085883258.000000,45841190810.000000,40044210651.000000,5796980159.000000,45841190810.000000,115085883258.000000,95624577425.000000,19461305833.000000,115085883258.000000
12M 2014,528357952839.000000,-228594135386.000000,299763817453.000000,-237817809479.000000,-243716363520.000000,5898554041.000000,-237817809479.000000,61946007974.000000,-5304687995.000000,954630170.000000,-6259318165.000000,,,,-5304687995.000000,56641319979.000000,-14587801658.000000,-16373450300.000000,1785648642.000000,-14587801658.000000,42053518321.000000,,42053518321.000000,,,,42053518321.000000,42053518321.000000,38612493028.000000,3441025293.000000,42053518321.000000,42053518321.000000,38612493028.000000,3441025293.000000,42053518321.000000
12M 2015,555215582347.000000,-255591183350.000000,299624398997.000000,-254575724377.000000,-263898829238.000000,9323104861.000000,-254575724377.000000,45048674620.000000,-7392670707.000000,995350589.000000,-8388021296.000000,,,,-7392670707.000000,37656003913.000000,-11364662974.000000,-11364662974.000000,,-11364662974.000000,26291340939.000000,,26291340939.000000,39881575538.000000,,39881575538.000000,66172916477.000000,26291340939.000000,23344376122.000000,2946964817.000000,26291340939.000000,66172916477.000000,63128786390.000000,3044130087.000000,66172916477.000000
12M 2016,641282717147.000000,-290273623935.000000,351009093212.000000,-294362839084.000000,-306664638997.000000,12301799913.000000,-294362839084.000000,56646254128.000000,-12205151804.000000,1462459750.000000,-13667611554.000000,,,,-12205151804.000000,44441102324.000000,-20201533509.000000,-20201533509.000000,,-20201533509.000000,24239568815.000000,,24239568815.000000,-2316892982.000000,,-2316892982.000000,21922675833.000000,24239568815.000000,20749016873.000000,3490551942.000000,24239568815.000000,21922675833.000000,18640494523.000000,3282181310.000000,21922675833.000000
12M 2017,570153318185.000000,-256598187621.000000,313555130564.000000,-197685223642.000000,-291675969024.000000,93990745382.000000,-197685223642.000000,115869906922.000000,-14438326408.000000,939392476.000000,-15377718884.000000,,,,-14438326408.000000,101431580514.000000,-34808469161.000000,-34808469161.000000,,-34808469161.000000,66623111353.000000,,66623111353.000000,-527177113.000000,,-527177113.000000,66095934240.000000,66623111353.000000,66627067011.000000,-3955658.000000,66623111353.000000,66095934240.000000,66099870880.000000,-3936640.000000,66095934240.000000
