Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Pembiayaan Konsumen,Utang Lain Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lain Jangka Panjang,Utang Pembelian Aset Tetap,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,42284570730.000000,,55648681194.000000,49643891856.000000,6004789338.000000,55648681194.000000,1866906919.000000,62668785206.000000,,36741156870.000000,199210100919.000000,,5961996505.000000,,5961996505.000000,5961996505.000000,3910577772.000000,37995368811.000000,,,21551050432.000000,69418993520.000000,268629094439.000000,,,29724230689.000000,3114920822.000000,,11617262995.000000,1903985114.000000,13521248109.000000,7164735437.000000,,1272710355.000000,,1272710355.000000,2520841377.000000,,,447136270.000000,,,541112763.000000,988249033.000000,1141525556.000000,29724230689.000000,6266469119.000000,,,,325710969.000000,,61935503.000000,,387646472.000000,5878822647.000000,6266469119.000000,35990699808.000000,,60000000000.000000,36165302317.000000,112624701499.000000,,112624701499.000000,112624701499.000000,24048490815.000000,-200100000.000000,232638394631.000000,268629094439.000000,600000000.000000
12M 2009,,,58641089712.000000,,56406722718.000000,50649889780.000000,5756832938.000000,56406722718.000000,897936146.000000,58474189788.000000,,66878110943.000000,241298049307.000000,,4811628325.000000,,4811628325.000000,4811628325.000000,3940785645.000000,40654908248.000000,,,600863235.000000,50008185453.000000,291306234760.000000,,,33464164019.000000,3976335360.000000,,13932653154.000000,63297900.000000,13995951054.000000,4055625284.000000,,5503139972.000000,,5503139972.000000,4561675145.000000,,,669750256.000000,,,398596503.000000,1068346759.000000,303090445.000000,33464164019.000000,5869969592.000000,,,,306287602.000000,,240132393.000000,,546419995.000000,5323549597.000000,5869969592.000000,39334133611.000000,,60000000000.000000,36133582317.000000,131036188662.000000,,131036188662.000000,131036188662.000000,25135030170.000000,-332700000.000000,251972101149.000000,291306234760.000000,600000000.000000
12M 2010,,,43559028163.000000,,91549414453.000000,83483494442.000000,8065920011.000000,91549414453.000000,5634592701.000000,70974699714.000000,,17173163117.000000,228890898148.000000,,,,,,4790314390.000000,112266395746.000000,,,25883274568.000000,142939984704.000000,371830882852.000000,,,67406658206.000000,29990580998.000000,,1550020706.000000,7206332003.000000,8756352709.000000,3845968743.000000,,8577771839.000000,,8577771839.000000,7768001899.000000,,6493551948.000000,946723057.000000,,,201550797.000000,7641825802.000000,826156216.000000,67406658206.000000,18719465676.000000,,10489440060.000000,,612927818.000000,,,,11102367878.000000,7617097798.000000,18719465676.000000,86126123882.000000,,60000000000.000000,36133582317.000000,147256421440.000000,,147256421440.000000,147256421440.000000,28127819209.000000,14186936004.000000,285704758970.000000,371830882852.000000,600000000.000000
12M 2011,,,35850629547.000000,,102038369601.000000,94228228443.000000,7810141158.000000,102038369601.000000,2567102624.000000,81067865042.000000,,17916426110.000000,239440392924.000000,,,,,,6365583270.000000,162939538384.000000,,,23855459530.000000,193160581184.000000,432600974108.000000,,,89399669274.000000,34426355052.000000,,2862116059.000000,16042868757.000000,18904984816.000000,5001315855.000000,,12058584756.000000,,12058584756.000000,5055668392.000000,,11486133333.000000,1616903323.000000,,,,13103036656.000000,849723747.000000,89399669274.000000,37045150143.000000,,23173778214.000000,,1806518065.000000,,,,24980296279.000000,12064853864.000000,37045150143.000000,126444819417.000000,,60000000000.000000,36133582317.000000,162957770645.000000,,162957770645.000000,162957770645.000000,32877865725.000000,14186936004.000000,306156154691.000000,432600974108.000000,600000000.000000
12M 2012,,,51012808028.000000,,150406972175.000000,13645870757.000000,136761101418.000000,150406972175.000000,656662800.000000,84547476906.000000,,19100703725.000000,305724623634.000000,,,,,,9698486117.000000,143446668150.000000,,,10460355963.000000,163605510230.000000,469330133864.000000,,,92682791723.000000,17127125393.000000,,25089978799.000000,5523638606.000000,30613617405.000000,9701918875.000000,9935865050.000000,,,9935865050.000000,10959606978.000000,,12283102155.000000,,1299906566.000000,,,13583008721.000000,761649301.000000,92682791723.000000,37476361461.000000,,19169405643.000000,,,756366911.000000,,,19925772554.000000,17550588907.000000,37476361461.000000,130159153184.000000,,60000000000.000000,36133582317.000000,191679892272.000000,,191679892272.000000,191679892272.000000,37170570087.000000,14186936004.000000,339170980680.000000,469330133864.000000,600000000.000000
12M 2013,,,49865135531.000000,,170265733831.000000,155378394127.000000,14887339704.000000,170265733831.000000,887024750.000000,102200175423.000000,,23868118154.000000,347086187689.000000,,,,,,9028327567.000000,263856135436.000000,,,8767514338.000000,281651977341.000000,628738165030.000000,,,100105589330.000000,34634305414.000000,,19284204743.000000,64411117.000000,19348615860.000000,6872117639.000000,22468132594.000000,,,22468132594.000000,5286420535.000000,,8575410075.000000,,691019610.000000,,,9266429685.000000,2229567603.000000,100105589330.000000,33230138792.000000,,14109506755.000000,,,62610084.000000,,,14172116839.000000,19058021953.000000,33230138792.000000,133335728122.000000,,60000000000.000000,36133582317.000000,222774007923.000000,,222774007923.000000,222774007923.000000,54513599941.000000,121981246727.000000,495402436908.000000,628738165030.000000,600000000.000000
12M 2014,,,71314734050.000000,,160896300121.000000,158283818465.000000,2612481656.000000,160896300121.000000,3390483412.000000,126184567178.000000,,23485691065.000000,385271775826.000000,,,,,,10813976209.000000,257250118944.000000,,,10842324767.000000,278906419920.000000,664178195746.000000,,,103341470870.000000,49282545788.000000,,16953886485.000000,699051247.000000,17652937732.000000,4995221044.000000,14857268672.000000,,,14857268672.000000,7227618320.000000,,8886064541.000000,,402473418.000000,,,9288537959.000000,37341355.000000,103341470870.000000,29347499647.000000,,5424242215.000000,,,642932360.000000,,,6067174575.000000,23280325072.000000,29347499647.000000,132688970517.000000,,60000000000.000000,36133582317.000000,255419770951.000000,,255419770951.000000,255419770951.000000,57954625234.000000,121981246727.000000,531489225229.000000,664178195746.000000,600000000.000000
12M 2015,,,76703294776.000000,8500000000.000000,154412892402.000000,148139480699.000000,6273411703.000000,154412892402.000000,6460468003.000000,140658371218.000000,,21848932309.000000,408583958708.000000,,,,,,11251488519.000000,309697023994.000000,,,31989363726.000000,352937876239.000000,761521834947.000000,,,138413403294.000000,102919938096.000000,,9566579228.000000,6127190786.000000,15693770014.000000,4897435543.000000,3763824812.000000,,,3763824812.000000,4221798988.000000,,5189154987.000000,,1695275472.000000,,,6884430459.000000,32205382.000000,138413403294.000000,39136176172.000000,,5010822320.000000,,,2266012287.000000,,,7276834607.000000,31859341565.000000,39136176172.000000,177549579466.000000,,60000000000.000000,36133582317.000000,270919362288.000000,,270919362288.000000,270919362288.000000,55328135760.000000,161591175116.000000,583972255481.000000,761521834947.000000,600000000.000000
12M 2016,,,94500704213.000000,8500000000.000000,168250953868.000000,163519260872.000000,4731692996.000000,168250953868.000000,8164985530.000000,149212258707.000000,,39975767003.000000,468604669321.000000,,,,,,13920742326.000000,341290606549.000000,,,24796101643.000000,380007450518.000000,848612119839.000000,,,196254984230.000000,137863745291.000000,,17629356943.000000,7185573.000000,17636542516.000000,9038528743.000000,,21456483714.000000,1211850465.000000,22668334179.000000,3547611026.000000,,3334444256.000000,,2111822834.000000,,,5446267090.000000,53955385.000000,196254984230.000000,51543787392.000000,,12826942664.000000,,,1512301152.000000,,,14339243816.000000,37204543576.000000,51543787392.000000,247798771622.000000,,60000000000.000000,35781367917.000000,291668379161.000000,12000000000.000000,279668379161.000000,291668379161.000000,54005948373.000000,159357652766.000000,600813348217.000000,848612119839.000000,600000000.000000
12M 2017,,,120124871544.000000,8500000000.000000,171020930553.000000,170442699745.000000,578230808.000000,171020930553.000000,8233353736.000000,144760743018.000000,,17584904403.000000,470224803254.000000,,,,,,10215817879.000000,308308335780.000000,,,74433485389.000000,392957639048.000000,863182442302.000000,,,213075407025.000000,124213515120.000000,,5452907113.000000,31675236271.000000,37128143384.000000,30281881702.000000,,13740207117.000000,1386079571.000000,15126286688.000000,2851356267.000000,,1927039092.000000,,1514575170.000000,,,3441614262.000000,32609602.000000,213075407025.000000,42724821926.000000,,10190683802.000000,,,1325995933.000000,,,11516679735.000000,31208142191.000000,42724821926.000000,255800228951.000000,,60000000000.000000,35781367917.000000,364627804897.000000,12000000000.000000,352627804897.000000,364627804897.000000,-5592790.000000,146978633327.000000,607382213351.000000,863182442302.000000,600000000.000000
