Period,Arus Kas Dari Aktivitas Operasi,Penerimaan (Pembayaran) Kas Dari (Untuk) :,Pelanggan,Total Penerimaan (Pembayaran) Kas Dari (Untuk) :,Penerimaan Sewa,Pembayaran Kas Kepada Pemasok,Pembayaran Beban-Beban,Penerimaan Bunga,Pembayaran Bunga,Penerima Hasil Pemeriksaan Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penurunan (Peningkatan) Aset Lain-Lain,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Penjualan - Aset Tetap,Penurunan Modal Pada Entitas Anak,Peningkatan Wesel Tagih,Peningkatan Surat Berharga,Penempatan Deposito,Deposito Berjangka,Penambahan Aset Dalam Penyelesaian,Penerimaan Hasil Penjualan Investasi Pada Entitas Anak,Pengurangan (Penambahan) Investasi Pada Entitas Anak,Peningkatan Investasi Pada Entitas Asosiasi,Perolehan Investasi Saham,Pendapatan Dividen Atas Investasi Saham,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dividen Dari Non Pengendali,Goodwill Atas Transaksi Akuisisi,Uang Muka Penyertaan Saham,Rugi Penjualan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Dividen Kepada Kepentingan Non Pengendali,Pembayaran Dividen Dari Entitas Anak Ke Kepentingan Non-Pengendali,Setoran Modal Saham Dari Non Pengendali,Penurunan Modal Dari Nonpengendali,Penambahan (Pengurangan) Utang Bank,Penambahan (Pengurangan) Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Total Penambahan (Pengurangan) Utang Bank,Kepentingan Non Pengendali Dari Aset Bersih Entitas Anak Yang Baru Didirikan,Kepentingan Non Pengendali Dari Entitas Anak Yang Dijual,Pembayaran Angsuran Sewa Guna Usaha,Hutang Pembiayaan Dan Pembelian Aset Tetap,Tambahan Modal Disetor,Perolehan Kembali Saham Berdedar,Penerimaan Pelunasan (Peningkatan) Piutang Hubungan Istimewa,Uang Muka Penyertaan Saham Dari Non Pengendali,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Peningkatan (Penurunan) Bersih Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas Dari Operasi Yang Dihentikan,"Kas Dan Setara Kas, Awal Tahun",Kas Dan Setara Kas Akhir Tahun Dari Operasi Yang Dihentikan,Dampak Perubahan Selisih Kurs Terhadap Kas Dan Setara Kas,Entitas Yang Diakuisisi,"Kas Dan Setara Kas, Akhir Tahun"
12M 2008,35932703877.000000,,313406065696.000000,313406065696.000000,,-163256988249.000000,-98033946070.000000,2162551505.000000,-221784276.000000,,-18123194729.000000,35932703877.000000,-35823071640.000000,-20714418452.000000,776300121.000000,-600497729.000000,-15284455580.000000,,,,,,,,,,,,,,,,,,-35823071640.000000,-21224447350.000000,,,-12000000000.000000,,-3214750000.000000,,,-538144138.000000,,,,-538144138.000000,,,,-1641586212.000000,-129867000.000000,-200100000.000000,-3500000000.000000,,,-21224447350.000000,-21114815113.000000,,63399385843.000000,,,,42284570730.000000
12M 2009,43389273024.000000,,366783683876.000000,366783683876.000000,,-187740603203.000000,-121047529724.000000,1723855261.000000,-416856209.000000,799608589.000000,-16712885566.000000,43389273024.000000,-10567724781.000000,-8880010358.000000,28301069142.000000,571102558.000000,-27559886123.000000,,,,-3000000000.000000,,,,,,,,,,,,,,-10567724781.000000,-16465029261.000000,,,-11933460000.000000,,-3388350000.000000,,,895255690.000000,,,,895255690.000000,,,,-1352402951.000000,-31720000.000000,-132600000.000000,-521752000.000000,,,-16465029261.000000,16356518982.000000,,42284570730.000000,,,,58641089712.000000
12M 2010,-813252032.000000,,405548391883.000000,405548391883.000000,,-227363777955.000000,-166897252014.000000,1720620821.000000,-1175059561.000000,1807814397.000000,-14453989603.000000,-813252032.000000,-39325019955.000000,-24856881900.000000,456921884.000000,-17196337439.000000,,,,,2271277500.000000,,,,,,,,,,,,,,-39325019955.000000,25056210438.000000,,,-11933460000.000000,,-3130050000.000000,,,40893806188.000000,,,,40893806188.000000,,,,-774085750.000000,,,,,,25056210438.000000,-15082061549.000000,,58641089712.000000,,,,43559028163.000000
12M 2011,46143809345.000000,,337139467364.000000,337139467364.000000,,-79499002894.000000,-194845560081.000000,1609234253.000000,-4398919532.000000,,-13861409765.000000,46143809345.000000,-60609045874.000000,-61549017408.000000,866701499.000000,2027815035.000000,-1954545000.000000,,,,,,,,,,,,,,,,,,-60609045874.000000,7756837913.000000,,,-14320152000.000000,,-1603501182.000000,,,22018271380.000000,,,,22018271380.000000,,,,1662219715.000000,,,,,,7756837913.000000,-6708398616.000000,,43559028163.000000,,,,36850629547.000000
12M 2012,39279711264.000000,,511576746965.000000,511576746965.000000,,-243997709342.000000,-205850251059.000000,1371028952.000000,-4440586165.000000,,-19379518087.000000,39279711264.000000,11829912283.000000,-22775479663.000000,33671155799.000000,,,,,934236147.000000,,,,,,,,,,,,,,,11829912283.000000,-36148266317.000000,-2015747911.000000,,-11933460000.000000,,-1692424998.000000,,,-20506633408.000000,,,,-20506633408.000000,,,,,,,,,,-36148266317.000000,14961357230.000000,,35850629547.000000,,200821251.000000,,51012808028.000000
12M 2013,16321539241.000000,,572951736813.000000,572951736813.000000,,-298603443798.000000,-234845909500.000000,789080112.000000,-4272425078.000000,,-19697499308.000000,16321539241.000000,-15065553505.000000,-15492411684.000000,426858179.000000,,,,,,,,,,,,,,,,,,,,-15065553505.000000,-3631425709.000000,-1302643783.000000,,-8950095000.000000,,-2118275979.000000,,,,17507180021.000000,,-8767590968.000000,8739589053.000000,,,,,,,,,,-3631425709.000000,-2375439973.000000,,51012808028.000000,,1227767476.000000,,49865135531.000000
12M 2014,39235010935.000000,,535535160301.000000,535535160301.000000,,-238357201233.000000,-233781976802.000000,954630170.000000,-6259318165.000000,,-18856283336.000000,39235010935.000000,-17902319653.000000,-20100874199.000000,1398554546.000000,,,,,800000000.000000,,,,,,,,,,,,,,,-17902319653.000000,-70698616.000000,-377598916.000000,,-5966730000.000000,,,,,,14648240374.000000,,-8374610074.000000,6273630300.000000,,,,,,,,,,-70698616.000000,21261992666.000000,,49865135531.000000,,187605853.000000,,71314734050.000000
12M 2015,-6221799203.000000,,561693854093.000000,561693854093.000000,,-256787582561.000000,-289931845890.000000,995350589.000000,-8388021296.000000,,-13803554138.000000,-6221799203.000000,-27146541601.000000,-27989379291.000000,842837690.000000,,,,,,,,,,,,,,,,,,,,-27146541601.000000,35810984288.000000,-2899118019.000000,,-5966730000.000000,,-4851230552.000000,,,,53637392308.000000,4504735093.000000,-8615064542.000000,49527062859.000000,1000000.000000,,,,,,,,,35810984288.000000,2442643484.000000,,71314734050.000000,,,,73757377534.000000
12M 2016,45991870765.000000,,627466405684.000000,627466405684.000000,,-280958751026.000000,-277077295394.000000,1462459750.000000,-13667611554.000000,,-11233336695.000000,45991870765.000000,-60747933874.000000,-52276400192.000000,504466318.000000,,,,,,,,,,,,,-8976000000.000000,,,,,,,-60747933874.000000,33333469938.000000,-2490163773.000000,,,,-4606702033.000000,,,,34943807195.000000,11720000000.000000,-5758590387.000000,40905216808.000000,,,,,130801850.000000,-608016250.000000,,2333336.000000,,33333469938.000000,18577406829.000000,,76703294776.000000,,-779997392.000000,,94500704213.000000
12M 2017,5049117127.000000,,562165224903.000000,562165224903.000000,,-257494207636.000000,-274064027590.000000,939392476.000000,-15377718884.000000,,-11119546142.000000,5049117127.000000,109420341270.000000,-26081931257.000000,729472527.000000,,,,,,,,,,117436000000.000000,-17290000000.000000,,,34626800000.000000,,,,,,109420341270.000000,-26944119292.000000,-3293638456.000000,,-5954230000.000000,-25305.000000,,,,,-13650230171.000000,2430943901.000000,-6474607927.000000,-17693894197.000000,2000.000000,,,,,,,-2333334.000000,,-26944119292.000000,87525339105.000000,,32555664509.000000,,43867930.000000,,120124871544.000000
