Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2016,0.00,109.71,0.00,109.71,40 B,1 B,41 B,27 B,65 B
12M 2017,10.85,138.30,10.85,138.30,41 B,0 B,41 B,36 B,(26 B)
12M 2018,2.73,115.94,2.73,115.94,22 B,2 B,25 B,21 B,(106 B)
12M 2019,0.78,110.30,0.79,109.30,18 B,0 B,18 B,8 B,(189 B)
12M 2020,0.62,104.63,0.62,104.10,16 B,16 B,32 B,27 B,196 B
12M 2021,1.34,112.28,1.35,112.20,6 B,16 B,22 B,14 B,212 B
12M 2022,0.59,121.43,0.59,121.41,7 B,9 B,17 B,3 B,205 B
12M 2023,0.42,122.56,0.42,122.18,10 B,17 B,27 B,21 B,215 B
12M 2024,0.58,127.81,0.58,127.54,9 B,20 B,29 B,27 B,229 B
