Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Lainnya Untuk Beban Operasi,Pembayaran Kas Kepada Pihak Ketiga Lainnya,Penghasilan Bunga,Pembayaran Beban Dan Biaya Bank,Pengembalian(Penempatan) Uang Jaminan,Pembayaran Beban Keuangan,Pembayaran Uang Muka Pembelian Tanah,Pembayaran Atas Pengampunan Pajak,Pembayaran Uang Muka Subkontraktor,Pembayaran Kas Atas Denda Pajak,Penerimaan Dari Estimasi Taksiran Tagihan Pajak,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operasi,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Uang Muka Pembelian Aset Tetap,Pembayaran Uang Muka Unit Bisnis Hotel,Penambahan Properti Investasi,Penerimaan Pembayaran Piutang Dari Pihak Berelasi,Pembayaran Pemberian Piutang Kepada Pihak Berelasi,Pembayaran Investasi Pada Entitas Asosiasi,Penerimaan Dari Penjualan Aset Tidak Berwujud,Penambahan Aset Tidak Berwujud,Perolehan Aset Hak Guna,Penerimaan Dividen Tunai,"Uang Muka Dan Pinjaman Diberikan Kepada Pihak Lain, Selain Institusi Keuangan",Pembayaran Uang Muka Perangkat Lunak,Pembayaran Untuk Perolehan Tanah Dalam Pengembangan,Pelepasan Entitas Anak,Akuisisi Entitas Anak,Pembayaran Uang Muka Pembelian Tanah,Pembayaran Uang Muka Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Total Penerimaan (Pembayaran) Pinjaman Bank Jangka Pendek,Penerimaan (Pembayaran) Pinjaman Bank Jangka Panjang,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Total Penerimaan (Pembayaran) Pinjaman Bank Jangka Panjang,Penerimaan (Pembayaran) Kepada Pihak Berelasi,Penerimaan Pinjaman Tanpa Agunan,Penerimaan Setoran Modal Entitas Induk,Penerimaan Setoran Modal Dari Pemegang Saham Nonpengendali Entitas Anak,Penerimaan Pinjaman Lainnya,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Dividen Tunai,Penerimaan Melalui Pengampunan Pajak,Pembayaran Biaya Emisi Saham,Penerimaan Dari Penerbitan Saham Biasa,Pembayaran Deviden,Penerimaan Dari Pihak Ketiga,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,-56450890979.000000,32612137603.000000,-4150808363.000000,-27965781426.000000,,-9288693828.000000,1769507373.000000,-3218678805.000000,,,-45554247746.000000,-41549010.000000,,,,,-612776777.000000,-56450890979.000000,-40998285398.000000,-263963124.000000,627677726.000000,,,,,,-27862000000.000000,,,,,,,,,,,-13500000000.000000,-40998285398.000000,102415664334.000000,,54529630917.000000,-14973097481.000000,39556533436.000000,,,,,-40294843697.000000,,107500000000.000000,,,-294607200.000000,,577450487.000000,,,-4628868692.000000,,,,,102415664334.000000,4966487957.000000,8848145218.000000,-382860.000000,13814250315.000000
12M 2017,-112650246824.000000,76879859209.000000,-10575942784.000000,-155898942828.000000,,-15548026716.000000,474251239.000000,-136426487.000000,,,-5841160139.000000,,,,,,-2003858318.000000,-112650246824.000000,-16074232989.000000,-11054771099.000000,4471860.000000,,-5000000000.000000,,,,,,,,1500000000.000000,,-1523933750.000000,,,,,,-16074232989.000000,120136157428.000000,,12943466564.000000,-12577875000.000000,365591564.000000,,,,,16879988259.000000,,,44600000000.000000,,-294607200.000000,,,-3514815195.000000,,,,,62100000000.000000,,120136157428.000000,-8588322385.000000,13814250315.000000,-247136.000000,5225680794.000000
12M 2018,-27110019264.000000,66321502676.000000,-13597502132.000000,-58050893763.000000,,-12094929285.000000,221906004.000000,-6232424253.000000,,,,,-3303944277.000000,,,,-373734234.000000,-27110019264.000000,-32193290125.000000,-497663875.000000,,,,,,,,,-2397133750.000000,,300000000.000000,,,,,,-29598492500.000000,,-32193290125.000000,57737093209.000000,,45000000000.000000,-17922125000.000000,27077875000.000000,,,,,8630284785.000000,,,22500000000.000000,,-471066576.000000,,,,,,,,,,57737093209.000000,-1566216180.000000,5225680794.000000,,3659464614.000000
12M 2019,-67203994339.000000,99156446776.000000,-11549040546.000000,-131501044141.000000,,-12235211362.000000,,-9854957287.000000,,,,,,,,,-1220187779.000000,-67203994339.000000,-9033377055.000000,-465296450.000000,510174229.000000,,,,,,,,,,,,,,,,-9078254834.000000,,-9033377055.000000,82440753373.000000,,,-4750000000.000000,-4750000000.000000,,,,,87560798874.000000,,,,,-370045501.000000,,,,,,,,,,82440753373.000000,6203381979.000000,3659464614.000000,,9862846593.000000
12M 2020,-3335785150.000000,79146839093.000000,-6992551775.000000,-35901804278.000000,,-32173893971.000000,,-3340747048.000000,,,,,-2840889214.000000,-1848913053.000000,951244336.000000,,-335069240.000000,-3335785150.000000,-2680155381.000000,-25262884.000000,2374069254.000000,,,,,,,,,,,,,,-4419697688.000000,1249472339.000000,-1858736402.000000,,-2680155381.000000,844985798.000000,,,2393316353.000000,2393316353.000000,,,-2800490775.000000,-2800490775.000000,1467913020.000000,,,,,-215752800.000000,,,,,,,,,,844985798.000000,-5170954733.000000,9862846593.000000,,4691891860.000000
12M 2021,28119004452.000000,74464736088.000000,-7840188077.000000,-26217661288.000000,,-7790368887.000000,69993768.000000,-3079618889.000000,,,,,-1861493003.000000,,576003988.000000,,-202399248.000000,28119004452.000000,1103217976.000000,-1443031288.000000,71770364.000000,,,,,,,,-3600000.000000,,2478078900.000000,,,,,,,,1103217976.000000,-26535190729.000000,,,-2704191881.000000,-2704191881.000000,,17000000000.000000,-21415522092.000000,-4415522092.000000,-18078158600.000000,,,,,-387318156.000000,,,,,-950000000.000000,,,,,-26535190729.000000,2687031699.000000,4691891860.000000,,7378923559.000000
12M 2022,-1237250389.000000,88836271388.000000,-7076660498.000000,-62587971758.000000,,-14732846284.000000,140970768.000000,-1913626552.000000,,,,,-3680297311.000000,,,,-223090142.000000,-1237250389.000000,-1674257347.000000,-1003458992.000000,,,,,,,,,-27300000.000000,-643498355.000000,,,,,,,,,-1674257347.000000,9706189318.000000,,,-554293200.000000,-554293200.000000,,5500000000.000000,-3700000000.000000,1800000000.000000,8740149364.000000,,,,,-279666846.000000,,,,,,,,,,9706189318.000000,6794681582.000000,7378923559.000000,,14173605141.000000
12M 2023,3299571664.000000,65494828328.000000,-9324991998.000000,-41072768013.000000,,-8589426826.000000,215358426.000000,-2246978309.000000,,,,,-935097332.000000,,,,-241352612.000000,3299571664.000000,-2855309319.000000,-2679140635.000000,,,,,,,,,-481800000.000000,-60368684.000000,366000000.000000,,,,,,,,-2855309319.000000,-7964304821.000000,,7433862908.000000,-8648511075.000000,-1214648167.000000,,12595262481.000000,,12595262481.000000,-18775141100.000000,,,,,-569778035.000000,,,,,,,,,,-7964304821.000000,-7520042476.000000,14173605141.000000,,6653562665.000000
12M 2024,8544187443.000000,79016788788.000000,-10343607132.000000,-24520974601.000000,,-32932187259.000000,188281743.000000,-2211381752.000000,,,,,,,,,-652732344.000000,8544187443.000000,-2538960570.000000,-4581085441.000000,1720000000.000000,,,,,,,,,,322124871.000000,,,,,,,,-2538960570.000000,-11102953556.000000,,8978500000.000000,-39209725831.000000,-30231225831.000000,,36985205540.000000,-5004676813.000000,31980528727.000000,-12280929636.000000,,,,,-571326816.000000,,,,,,,,,,-11102953556.000000,-5097726683.000000,6653562665.000000,,1555835982.000000
