Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3319345016000.000000,3319345016000.000000,3319345016000.000000,-1400765638000.000000,-1400765638000.000000,-1400765638000.000000,1918579378000.000000,-581242618000.000000,-581242618000.000000,-581242618000.000000,1337336760000.000000,-391514500000.000000,285998880000.000000,-720096500000.000000,,42583120000.000000,-391514500000.000000,945822260000.000000,-223921974000.000000,-185862713000.000000,-38059261000.000000,-223921974000.000000,721900286000.000000,,-14102307000.000000,707797979000.000000,,,707797979000.000000,707797979000.000000,,707797979000.000000,,,,
12M 2009,3631483330000.000000,3631483330000.000000,3631483330000.000000,-1527984259000.000000,-1527984259000.000000,-1527984259000.000000,2103499071000.000000,-647795080000.000000,-647795080000.000000,-647795080000.000000,1455703991000.000000,-361810360000.000000,296532463000.000000,-742024439000.000000,,83681616000.000000,-361810360000.000000,1093893631000.000000,-211681919000.000000,-190616135000.000000,-21065784000.000000,-211681919000.000000,882211712000.000000,124988958000.000000,-14507112000.000000,992693558000.000000,,,992693558000.000000,992693558000.000000,,992693558000.000000,,,,
12M 2010,4306105746000.000000,4306105746000.000000,4306105746000.000000,-1646626492000.000000,-1646626492000.000000,-1646626492000.000000,2659479254000.000000,-743765630000.000000,-743765630000.000000,-743765630000.000000,1915713624000.000000,-439364270000.000000,231792246000.000000,-763845131000.000000,,92688615000.000000,-439364270000.000000,1476349354000.000000,-291853546000.000000,-298101591000.000000,6248045000.000000,-291853546000.000000,1184495808000.000000,,8990861000.000000,1193486669000.000000,,,1193486669000.000000,1193486669000.000000,,1193486669000.000000,,,,
12M 2011,4843229958000.000000,4843229958000.000000,4843229958000.000000,-1801122716000.000000,-1801122716000.000000,-1801122716000.000000,3042107242000.000000,-877961527000.000000,-877961527000.000000,-877961527000.000000,2164145715000.000000,-437671041000.000000,230788590000.000000,-740400368000.000000,,71940737000.000000,-437671041000.000000,1726474674000.000000,-407650700000.000000,-321409750000.000000,-86240950000.000000,-407650700000.000000,1318823974000.000000,,,1318823974000.000000,2758078000.000000,1321582052000.000000,1318823973000.000000,1339461968000.000000,-20637995000.000000,1318823973000.000000,1321582052000.000000,1342220047000.000000,-20637995000.000000,1321582052000.000000
12M 2012,8926750527000.000000,8926750527000.000000,8926750527000.000000,-5460543898000.000000,-5460543898000.000000,-5460543898000.000000,3466206629000.000000,-974916052000.000000,-974916052000.000000,-974916052000.000000,2491290577000.000000,-436033875000.000000,,-916145910000.000000,-3833305000.000000,483945340000.000000,-436033875000.000000,2055256702000.000000,-519444502000.000000,,,-519444502000.000000,1535812200000.000000,,,1535812200000.000000,534016000.000000,1536346216000.000000,1535812200000.000000,1602090230000.000000,-66278030000.000000,1535812200000.000000,1536346216000.000000,1602624246000.000000,-66278030000.000000,1536346216000.000000
12M 2013,9786470812000.000000,9786470812000.000000,9786470812000.000000,-6720203446000.000000,-6720203446000.000000,-6720203446000.000000,3066267366000.000000,-1087820721000.000000,-1087820721000.000000,-1087820721000.000000,1978446645000.000000,-263791503000.000000,,-944219190000.000000,-4302810000.000000,684730497000.000000,-263791503000.000000,1714655142000.000000,-476834608000.000000,,,-476834608000.000000,1237820534000.000000,,,1237820534000.000000,-1193835000.000000,1236626699000.000000,1237820534000.000000,1336316735000.000000,-98496201000.000000,1237820534000.000000,1236626699000.000000,1335122900000.000000,-98496201000.000000,1236626699000.000000
12M 2014,8592217357000.000000,8592217357000.000000,8592217357000.000000,-5237967805000.000000,-5237967805000.000000,-5237967805000.000000,3354249552000.000000,-1160585462000.000000,-1160585462000.000000,-1160585462000.000000,2193664090000.000000,-371690297000.000000,,-1215320255000.000000,-6741959000.000000,850371917000.000000,-371690297000.000000,1821973793000.000000,-606642066000.000000,,,-606642066000.000000,1215331727000.000000,,,1215331727000.000000,515602000.000000,1215847329000.000000,1215331727000.000000,1403428453000.000000,-188096726000.000000,1215331727000.000000,1215847329000.000000,1403944055000.000000,-188096726000.000000,1215847329000.000000
12M 2015,9848242050000.000000,9848242050000.000000,9848242050000.000000,-5720422089000.000000,-5720422089000.000000,-5720422089000.000000,4127819961000.000000,-893258848000.000000,-893258848000.000000,-893258848000.000000,3234561113000.000000,-1166256880000.000000,,-1405042942000.000000,,238786062000.000000,-1166256880000.000000,2068304233000.000000,-749103687000.000000,-585399690000.000000,-163703997000.000000,-749103687000.000000,1319200546000.000000,,,1319200546000.000000,-16822501000.000000,1302378045000.000000,1319200546000.000000,1466381586000.000000,-147181040000.000000,1319200546000.000000,1302378045000.000000,1449326765000.000000,-146948720000.000000,1302378045000.000000
12M 2016,16661402998000.000000,16661402998000.000000,16661402998000.000000,-11805011676000.000000,-11805011676000.000000,-11805011676000.000000,4856391322000.000000,-949000963000.000000,-949000963000.000000,-949000963000.000000,3907390359000.000000,-1257711105000.000000,202677257000.000000,-1509003370000.000000,,48615008000.000000,-1257711105000.000000,2649679254000.000000,-846624798000.000000,-725155873000.000000,-121468925000.000000,-846624798000.000000,1803054456000.000000,,,1803054456000.000000,-118829199000.000000,1684225257000.000000,1803054456000.000000,1889312724000.000000,-86258268000.000000,1803054456000.000000,1684225257000.000000,1770726017000.000000,-86500760000.000000,1684225257000.000000
12M 2017,35092196191000.000000,35092196191000.000000,35092196191000.000000,-29784309367000.000000,-29784309367000.000000,-29784309367000.000000,5307886824000.000000,-1152466396000.000000,-1152466396000.000000,-1152466396000.000000,4155420428000.000000,-904967968000.000000,283955306000.000000,-1268870415000.000000,,79947141000.000000,-904967968000.000000,3250452460000.000000,-1156796398000.000000,-1011221468000.000000,-145574930000.000000,-1156796398000.000000,2093656062000.000000,,,2093656062000.000000,-212470880000.000000,1881185182000.000000,2093656062000.000000,2200256364000.000000,-106600302000.000000,2093656062000.000000,1881185182000.000000,1988011074000.000000,-106825892000.000000,1881185182000.000000
