Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Pendapatan Tol,Penerimaan Pendapatan Lainnya,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Pembayaran Kepada Karyawan,Pembayaran Beban Kerjasama Operasi,Pembayaran Pajak,Pembayaran Biaya Pelapisan Ulang,Penerimaan Restitusi Pajak,Pengalihan Hak Atas Pendapatan Tol,Pembayaran Bunga,Penerimaan Bunga,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Dampak Kombinasi Bisnis,Pencairan (Penempatan) Investasi Jangka Pendek - Bersih,Penjualan (Penambahan) Investasi Jangka Panjang,Penambahan Investasi Jangka Pendek,Perolehan Aset Tetap,Penerimaan Atas Penjualan Aset Tetap,Peroiehan Aset Tetap Jalan Tol,Peroiehan Aset Tetap Selain Jalan Tol,Total Penerimaan Atas Penjualan Aset Tetap,Pembayaran Biaya Pelapisan Ulang,Perolehan Aset Hak Pengusahaan Jalan Tol,Penambahan Aset Tidak Berwujud,Penambahan Properti Investasi,Penambahan Aset Tidak Lancar Lainnya,Penambahan Piutang Talang Tanah Kepada Pemerintah,Penerimaan Atas Pelepasan Investasi Entitas Anak,Penerimaan Atas Pelepasan Instrumen Keuangan,Pencairan Dana Yang Dibatasi Penggunaannya,Penambahan Uang Muka Setoran Modal Investasi Asosiasi Dan Ventura Bersama,Penambahan Investasi Asosiasi Dan Ventura Bersama,Penerimaan (Pemberian) Pinjaman Kepada Entitas Asosiasi Dan Ventura Bersama,Penambahan Uang Muka Setoran Modal Aset Keuangan,Penambahan Investasi Aset Keuangan,Penerimaan Dividen Atas Aset Keuangan,Penerimaan Dividen Dari Entitas Asosiasi,Penurunan (Kenaikan) Aset Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Penerimaan Setoran Modal,Pelunasan Utang Bank,Utang Surat Berharga Komersial,Penerbitan Utang Lembaga Keuangan Bukan Bank,Pembayaran Utang Lembaga Keuangan Bukan Bank,Pembayaran Penarikan Saham,Penerimaan Penempatan Saham,Penerbitan Utang Obligasi,Pelunasan Utang Obligasi,Penerimaan Utang Obligasi,Penerimaan Dari Tambahan Penerbitan Saham Dientitas Anak Oleh Pihak Nonpengendali,Pencairan (Penempatan) Dana Ditetapkan Penggunaannya - Bersih,Pembayaran Liabilitas Sewa Guna,Pembayaran Utang Bantuan Pemerintah,Penerimaan Utang Bantuan Pemerintah,Pembayaran Dividen Dan Pkbl,Pembayaran Deviden,Pembayaran Pkbl,Pembayaran Dividen Kepada Pihak Nonpengendali,Total Pembayaran Dividen Dan Pkbl,Penerimaan Bantuan Pembebasan Tanah,Pembayaran Liabilitas Pembebasan Tanah,Penjualan Dari Saham Treasuri,Penerimaan Pinjaman Dari Pemegang Saham Minoritas,Pengalihan Hak Atas Pendapatan Tol,Setoran Modal Hak Minoritas Pada Anak Perusahaan,Penerimaan Atas Penerbitan Saham,Penerimaan (Pelunasan) Pinjaman Dari Pemegang Saham Nonpengendali,Pembayaran Kewajiban Kerjasama Operasi,Penerimaan Dari Pelepasan Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Entitas Anak Dekonsolidasi,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,1308398552000.000000,3319345016000.000000,46266903000.000000,-702958371000.000000,-594482216000.000000,-259675388000.000000,-88617431000.000000,,26869131000.000000,,-724347972000.000000,285998880000.000000,,1308398552000.000000,-1464479759000.000000,,-483269297000.000000,-5576817000.000000,,,,-56067495000.000000,-110768204000.000000,-166835699000.000000,-144898963000.000000,-663342095000.000000,,,,,,,,,,,,,,,-556888000.000000,,-1464479759000.000000,-466698782000.000000,,,-217278443000.000000,,,,-6181425000.000000,,,-154489196000.000000,,,-24650368000.000000,,-14442902000.000000,,-105633059000.000000,,,,-105633059000.000000,,,,,,58344589000.000000,,,-2367978000.000000,,-466698782000.000000,-622779989000.000000,4000028295000.000000,,,3377248306000.000000
12M 2009,1413796967000.000000,3625764325000.000000,51511658000.000000,-727081004000.000000,-623497364000.000000,-261517068000.000000,-247284057000.000000,,,,-743090789000.000000,338991266000.000000,,1413796967000.000000,-1419838925000.000000,,177521500000.000000,,,,,,-25987956000.000000,-25987956000.000000,-210766864000.000000,-1360605605000.000000,,,,,,,,,,,,,,,,,-1419838925000.000000,-57203613000.000000,585543509000.000000,,-220166318000.000000,,,,-15624053000.000000,,,,,,-8151626000.000000,,-14442902000.000000,,-381457997000.000000,,,,-381457997000.000000,,,,,,,,,-2904226000.000000,,-57203613000.000000,-63245571000.000000,3377248306000.000000,,,3314002735000.000000
12M 2010,1765048355000.000000,4306105746000.000000,111200114000.000000,-799946531000.000000,-769922441000.000000,-273300712000.000000,-277034936000.000000,,,,-763845131000.000000,231792246000.000000,,1765048355000.000000,-2012582427000.000000,,12478500000.000000,,,,,-43833135000.000000,,-43833135000.000000,-117711267000.000000,-1863516525000.000000,,,,,,,,,,,,,,,,,-2012582427000.000000,945121802000.000000,1430634810000.000000,,-608080965000.000000,,,,,,1384253400000.000000,-650000000000.000000,,,-6787500000.000000,,-14442902000.000000,,-656836049000.000000,,,,-656836049000.000000,,,,,,66381008000.000000,,,,,945121802000.000000,697587730000.000000,3314002735000.000000,,,4011590465000.000000
12M 2011,2016839674000.000000,4843229958000.000000,119217509000.000000,-758400591000.000000,-955674675000.000000,-310897277000.000000,-403538780000.000000,,,,-748204665000.000000,231108195000.000000,,2016839674000.000000,-2470622455000.000000,,1300000000.000000,,,,,,-257063768000.000000,-257063768000.000000,-328917896000.000000,-1885940791000.000000,,,,,,,,,,,,,,,,,-2470622455000.000000,206200907000.000000,663078891000.000000,,-7164083000.000000,,,,,,,,,,3956847000.000000,,-14442902000.000000,,-751903203000.000000,,,,-751903203000.000000,,,,,,312675357000.000000,,,,,206200907000.000000,-247581874000.000000,4011590465000.000000,,,3764008591000.000000
12M 2012,2125806248000.000000,5581752793000.000000,143468547000.000000,-943874701000.000000,-1085623357000.000000,-409422821000.000000,-500811276000.000000,,,,-856013532000.000000,196330595000.000000,,2125806248000.000000,-2832866150000.000000,,30259823000.000000,187502064000.000000,,,,,-297740299000.000000,-297740299000.000000,-290132389000.000000,-2462755349000.000000,,,,,,,,,,,,,,,,,-2832866150000.000000,1245433798000.000000,1641983174000.000000,,-59446222000.000000,,,,,,,,,,-119844473000.000000,,-8556168000.000000,,-562574203000.000000,,,,-562574203000.000000,66174505000.000000,,130768590000.000000,,,156928595000.000000,,,,,1245433798000.000000,538373896000.000000,3764008591000.000000,,,4302382487000.000000
12M 2013,2299042053000.000000,5825932269000.000000,508196823000.000000,-1440831502000.000000,-1196198582000.000000,-308000582000.000000,-585900300000.000000,,,,-717366596000.000000,213210523000.000000,,2299042053000.000000,-4676237373000.000000,,,,,,,,-274539837000.000000,-274539837000.000000,-331075672000.000000,-4070621864000.000000,,,,,,,,,,,,,,,,,-4676237373000.000000,1588874168000.000000,2072459612000.000000,,-786123299000.000000,,,,,,2100000000000.000000,-1771616920000.000000,,,-294270425000.000000,,-5886734000.000000,,-640836088000.000000,,,,-640836088000.000000,101104402000.000000,,,,,814043620000.000000,,,,,1588874168000.000000,-788321152000.000000,4302382487000.000000,,,3514061335000.000000
12M 2014,2107791060000.000000,6646392546000.000000,583101648000.000000,-1956098056000.000000,-1288704552000.000000,-313039817000.000000,-702099525000.000000,,,,-1117383678000.000000,255622494000.000000,,2107791060000.000000,-3907592672000.000000,,,,,,,,-232164307000.000000,-232164307000.000000,-348405365000.000000,-3327023000000.000000,,,,,,,,,,,,,,,,,-3907592672000.000000,1576523955000.000000,1225125080000.000000,,-495195199000.000000,,,,,,997124948000.000000,-700000000000.000000,,,-374312610000.000000,,,,-537102256000.000000,,,,-537102256000.000000,1275635518000.000000,,,,,185248474000.000000,,,,,1576523955000.000000,-223277657000.000000,3514061335000.000000,,,3290783678000.000000
12M 2015,1713543029000.000000,7121024701000.000000,419856168000.000000,-1649711061000.000000,-1585759184000.000000,-294224080000.000000,-1015078776000.000000,-289329811000.000000,,,-1172057381000.000000,178822453000.000000,,1713543029000.000000,-4012954887000.000000,,,-472046200000.000000,,-174763419000.000000,,,,,,-3366145268000.000000,,,,,,,,,,,,,,,,,-4012954887000.000000,2331849283000.000000,1936892064000.000000,,-821884270000.000000,,1349281896000.000000,,,,,,,,47199454000.000000,,,,-491199561000.000000,,,,-491199561000.000000,,-225196961000.000000,,,,536756661000.000000,,,,,2331849283000.000000,32437425000.000000,3290783678000.000000,,,3323221103000.000000
12M 2016,2245042812000.000000,7930217446000.000000,871102610000.000000,-1926850862000.000000,-1928883897000.000000,-170930127000.000000,-1111170598000.000000,-249746100000.000000,,,-1410260880000.000000,241565220000.000000,,2245042812000.000000,-13904349817000.000000,,,-7283338000.000000,,-285166102000.000000,,,,,,-5723402405000.000000,,,,-7888497972000.000000,,,,,,,,,,,,,-13904349817000.000000,12460971972000.000000,10026572697000.000000,,-1870197096000.000000,,3252676119000.000000,-604647302000.000000,,,,-1659154384000.000000,,,-507726029000.000000,,,,-293276317000.000000,,,,-293276317000.000000,,-307255376000.000000,,1855294470000.000000,,796554659000.000000,1772130531000.000000,,,,12460971972000.000000,801664967000.000000,3323221103000.000000,,,4124886070000.000000
12M 2017,4356185866000.000000,7579675111000.000000,646699245000.000000,-1462770188000.000000,-1955442108000.000000,,-911125076000.000000,-445370694000.000000,,2000000000000.000000,-1256791672000.000000,161311248000.000000,,4356185866000.000000,-12678337851000.000000,,-146597897000.000000,-364029309000.000000,,,,,,,,-10867013416000.000000,,,,-2084051625000.000000,783354396000.000000,,,,,,,,,,,,-12678337851000.000000,11185412771000.000000,18401550806000.000000,,-9314300037000.000000,,408262703000.000000,-2961874431000.000000,,,5500000000000.000000,-1500000000000.000000,,,231678023000.000000,,,,-566793876000.000000,,,,-566793876000.000000,,-10000000000.000000,,602940869000.000000,,393948714000.000000,,,,,11185412771000.000000,2863260786000.000000,4124886070000.000000,-115125928000.000000,,6873020928000.000000
