Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Hak Pengusahaan Jalan Tol,Others,Total Aset Tak Berwujud,Goodwill,Aset Pajak Tangguhan,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Kontraktor,Pihak Ketiga,Pihak Berelasi,Total Utang Kontraktor,Utang Pajak,Utang Lain-Lain,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Bank,Utang Obligasi,Pinjaman Dari Pemerintah Republik Indonesia,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Kontraktor,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Obligasi,Pinjaman Dari Pemerintah Republik Indonesia,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Others,Total Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3377248306000.000000,488510904000.000000,,,,,,32034346000.000000,,,32034346000.000000,9189554000.000000,3906983110000.000000,,,26425704000.000000,159445599000.000000,,159445599000.000000,10247240536000.000000,8848540241000.000000,1398700295000.000000,10247240536000.000000,,,,302665064000.000000,10735776903000.000000,14642760013000.000000,,,1237275532000.000000,47556253000.000000,,,47556253000.000000,169911733000.000000,,,169911733000.000000,145527210000.000000,47870850000.000000,210330704000.000000,,,,572734934000.000000,,14442902000.000000,11106336000.000000,17794610000.000000,616078782000.000000,,1237275532000.000000,6521661149000.000000,390762955000.000000,,,,602616347000.000000,4658296807000.000000,49215440000.000000,44425344000.000000,349146988000.000000,5703700926000.000000,,427197268000.000000,6521661149000.000000,7758936681000.000000,,3400000000000.000000,2343266337000.000000,832408811000.000000,,,,,832408811000.000000,,311815228000.000000,,-3667043000.000000,6883823333000.000000,,14642760014000.000000,6800000000.000000
12M 2009,,,3314002735000.000000,41475806000.000000,,,,,,64671644000.000000,,,64671644000.000000,10188025000.000000,3430338210000.000000,,,207484999000.000000,196202778000.000000,,196202778000.000000,11695848144000.000000,9863302261000.000000,1832545883000.000000,11695848144000.000000,36879508000.000000,,,607510308000.000000,12743925737000.000000,16174263947000.000000,,,2966355284000.000000,103690158000.000000,,,103690158000.000000,277458356000.000000,,,277458356000.000000,99775049000.000000,53447787000.000000,248522641000.000000,,,,1158278443000.000000,650000000000.000000,14442902000.000000,12313913000.000000,348426035000.000000,2183461293000.000000,,2966355284000.000000,5462467615000.000000,409841553000.000000,,,,508217717000.000000,4013532549000.000000,34772538000.000000,58051508000.000000,28986501000.000000,4643560813000.000000,,409065249000.000000,5462467615000.000000,8428822899000.000000,,3400000000000.000000,2335525034000.000000,1457047696000.000000,,,,,1457047696000.000000,,562062413000.000000,,-9194094000.000000,7745441049000.000000,,16174263948000.000000,6800000000.000000
12M 2010,,,4011590465000.000000,27470020000.000000,,,,,,23629806000.000000,,,23629806000.000000,27451201000.000000,4090141492000.000000,,,201270895000.000000,226905341000.000000,,226905341000.000000,13966914752000.000000,10100448190000.000000,3866466562000.000000,13966914752000.000000,42533786000.000000,,,424363068000.000000,14861987842000.000000,18952129334000.000000,,,2478279260000.000000,130307565000.000000,,,130307565000.000000,384048181000.000000,,,384048181000.000000,164291799000.000000,31786339000.000000,328465736000.000000,,,,1291579145000.000000,,14442902000.000000,10630440000.000000,122727153000.000000,1439379640000.000000,,2478279260000.000000,8114383647000.000000,404019274000.000000,,,,1233334913000.000000,5513020036000.000000,20329636000.000000,398281854000.000000,92826193000.000000,7257792632000.000000,,452571741000.000000,8114383647000.000000,10592662907000.000000,,3400000000000.000000,2335525034000.000000,2015210213000.000000,,,,,2015210213000.000000,,619452560000.000000,,-10721380000.000000,8359466427000.000000,,18952129334000.000000,6800000000.000000
12M 2011,,,3764008591000.000000,38787728000.000000,,,,,,87993593000.000000,,,87993593000.000000,105950613000.000000,3996740525000.000000,,,200921819000.000000,374655341000.000000,,374655341000.000000,16217730294000.000000,13663827764000.000000,2553902530000.000000,16217730294000.000000,41848567000.000000,,,600237172000.000000,17435393193000.000000,21432133718000.000000,,,3768595625000.000000,136141780000.000000,,,136141780000.000000,500431781000.000000,,,500431781000.000000,84534137000.000000,42632202000.000000,480072443000.000000,,,,1630126383000.000000,,14442902000.000000,12121937000.000000,868092060000.000000,2524783282000.000000,,3768595625000.000000,8423257832000.000000,489979112000.000000,,,,1550702483000.000000,5516485411000.000000,5686734000.000000,54842148000.000000,331911989000.000000,7459628765000.000000,,473649955000.000000,8423257832000.000000,12191853457000.000000,,3400000000000.000000,2335525034000.000000,2602768977000.000000,,,,,2602768977000.000000,,911489922000.000000,,-9503672000.000000,9240280261000.000000,,21432133718000.000000,6800000000.000000
12M 2012,,,4302382487000.000000,7821744000.000000,,,,,,64092326000.000000,,,64092326000.000000,156820597000.000000,4531117154000.000000,,,175745092000.000000,422506867000.000000,,422506867000.000000,18886526882000.000000,18553815470000.000000,332711412000.000000,18886526882000.000000,41848567000.000000,,,695806879000.000000,20222434287000.000000,24753551441000.000000,,,6648164394000.000000,92043627000.000000,,,92043627000.000000,1325014167000.000000,,,1325014167000.000000,281375171000.000000,36384038000.000000,437317112000.000000,,,,1640778297000.000000,1771616920000.000000,5886734000.000000,18471092000.000000,1039277236000.000000,4476030279000.000000,,6648164394000.000000,8317601479000.000000,466565928000.000000,,,,3046235536000.000000,3749446582000.000000,,27356411000.000000,491262179000.000000,7314300708000.000000,,536734843000.000000,8317601479000.000000,14965765873000.000000,,3400000000000.000000,2453890100000.000000,2753965166000.000000,,,,,2753965166000.000000,,1176638207000.000000,,3292095000.000000,9787785568000.000000,,24753551441000.000000,6800000000.000000
12M 2013,,,3514061335000.000000,6627910000.000000,,,,,,177197911000.000000,,,177197911000.000000,48457583000.000000,3746344739000.000000,,19750666000.000000,192095078000.000000,593028346000.000000,,593028346000.000000,22941389931000.000000,22300271393000.000000,641118538000.000000,22941389931000.000000,41848567000.000000,,,831888001000.000000,24620000589000.000000,28366345328000.000000,,,4919883549000.000000,80668899000.000000,,,80668899000.000000,1153448281000.000000,,,1153448281000.000000,164329238000.000000,66267404000.000000,464678613000.000000,,,,951057511000.000000,700000000000.000000,,19776022000.000000,1319657581000.000000,2990491114000.000000,,4919883549000.000000,12579481739000.000000,522668019000.000000,,,,5320197953000.000000,5144375988000.000000,,47125235000.000000,712512022000.000000,11224211198000.000000,,832602522000.000000,12579481739000.000000,17499365288000.000000,,3400000000000.000000,2453890100000.000000,3449445821000.000000,,3001455967000.000000,3001455967000.000000,447989854000.000000,3449445821000.000000,,1561545859000.000000,,2098260000.000000,10866980040000.000000,,28366345328000.000000,6800000000.000000
12M 2014,,,3290783678000.000000,7143512000.000000,,,,,,148828618000.000000,,,148828618000.000000,194615906000.000000,3641371714000.000000,,,171345274000.000000,701727320000.000000,,701727320000.000000,26118582984000.000000,23935414790000.000000,2183168194000.000000,26118582984000.000000,41848567000.000000,,,1183072130000.000000,28216576275000.000000,31857947989000.000000,,,4312916751000.000000,191675486000.000000,,,191675486000.000000,990488834000.000000,,,990488834000.000000,261565448000.000000,73661131000.000000,416264415000.000000,,,,43161208000.000000,,,15484840000.000000,1710115611000.000000,1768761659000.000000,610499778000.000000,4312916751000.000000,16120035609000.000000,623500126000.000000,,,,6484840290000.000000,6144430063000.000000,,34479992000.000000,1548141551000.000000,14211891896000.000000,,1284643587000.000000,16120035609000.000000,20432952360000.000000,,3400000000000.000000,2453890100000.000000,4009691773000.000000,,3803246008000.000000,3803246008000.000000,206445765000.000000,4009691773000.000000,,1558799894000.000000,,2613862000.000000,11424995629000.000000,,31857947989000.000000,6800000000.000000
12M 2015,,,3323221103000.000000,6955133000.000000,,,,,20153707000.000000,164374388000.000000,,,164374388000.000000,214342172000.000000,3729046503000.000000,,132813579000.000000,166001306000.000000,913842793000.000000,,913842793000.000000,28821789639000.000000,24864720272000.000000,3957069367000.000000,28821789639000.000000,41848567000.000000,12431574000.000000,84335110000.000000,2822873416000.000000,32995935984000.000000,36724982487000.000000,,,7743786951000.000000,137465749000.000000,,,137465749000.000000,1661724335000.000000,,,1661724335000.000000,163865088000.000000,47430707000.000000,356947861000.000000,,,1347897302000.000000,1121696392000.000000,1477377192000.000000,,14246400000.000000,1283046331000.000000,5244263617000.000000,132089594000.000000,7743786951000.000000,16612531070000.000000,556877839000.000000,,,,7303051412000.000000,4671253480000.000000,,21890917000.000000,1700144674000.000000,13696340483000.000000,,2359312748000.000000,16612531070000.000000,24356318021000.000000,,3400000000000.000000,2453890100000.000000,4895330345000.000000,,,,,4895330345000.000000,,1950159181000.000000,,-330715160000.000000,12368664466000.000000,,36724982487000.000000,6800000000.000000
12M 2016,,,4124886070000.000000,7714681000.000000,,,,,8278539096000.000000,86975202000.000000,,,86975202000.000000,467769440000.000000,12965884489000.000000,,110312799000.000000,158281362000.000000,884665521000.000000,,884665521000.000000,36898891956000.000000,34703311350000.000000,2195580606000.000000,36898891956000.000000,41848567000.000000,66081697000.000000,232318971000.000000,2142037297000.000000,40534438170000.000000,53500322659000.000000,,,18626988996000.000000,134771562000.000000,,,134771562000.000000,1279575017000.000000,,,1279575017000.000000,158561774000.000000,1956027037000.000000,2601438550000.000000,4590848584000.000000,,,342090128000.000000,1500000000000.000000,,8802921000.000000,2347496682000.000000,4198389731000.000000,3707376741000.000000,18626988996000.000000,18534493599000.000000,696380360000.000000,394469576000.000000,608804085000.000000,,11597384451000.000000,2993441603000.000000,,28530487000.000000,1076081305000.000000,15695437846000.000000,,1139401732000.000000,18534493599000.000000,37161482595000.000000,,3628935600000.000000,3997085031000.000000,6491366751000.000000,,,,,6491366751000.000000,,2659714928000.000000,,-438262246000.000000,16338840064000.000000,,53500322659000.000000,7257871200.000000
12M 2017,,,6873020928000.000000,157354246000.000000,,,,,11547364164000.000000,134244636000.000000,,,134244636000.000000,275081084000.000000,18987065058000.000000,,264241068000.000000,886617944000.000000,1035922309000.000000,,1035922309000.000000,56089017191000.000000,55957697162000.000000,131320029000.000000,56089017191000.000000,41848567000.000000,34138156000.000000,241926122000.000000,1611996375000.000000,60205707732000.000000,79192772790000.000000,,,24997940298000.000000,350924063000.000000,,,350924063000.000000,1289210757000.000000,,,1289210757000.000000,317245913000.000000,2967230609000.000000,13814454297000.000000,1278658584000.000000,,,557795484000.000000,1000000000000.000000,,4542380000.000000,2588545854000.000000,4150883718000.000000,829332357000.000000,24997940298000.000000,35835392971000.000000,593669641000.000000,496699951000.000000,2197234400000.000000,,21160366364000.000000,7418391797000.000000,,19038238000.000000,846158683000.000000,29443955082000.000000,,3103833897000.000000,35835392971000.000000,60833333269000.000000,,3628935600000.000000,3997085031000.000000,8124829239000.000000,,,,,8124829239000.000000,,3261786575000.000000,,-653196924000.000000,18359439521000.000000,,79192772790000.000000,7257871200.000000
