Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Ke Supplier,Pembayaran Ke Karyawan Dan Direksi,Pembayaran Beban Operasional Lainnya,Pembayaran Pajak,Penerimaan Restitusi Pajak,Penerimaan Jasa Giro Dan Bunga Deposito,Pembayaran Beban Keuangan,Penerimaan Lain-Lain - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Deposito,Penerimaan Dari Piutang Lain-Lain,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Perolehan Aset Tidak Lancar Lainnya,Hasil Penjualan Aset Tetap,Uang Muka Investasi Property,Uang Muka Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Deposito,Investasi,Pembayaran Piutang Kepada Pihak Berelasi,Pelepasan Investasi,Pembayaran Atas Akuisisi Entitas Anak Baru,Pembayaran Properti Investasi,Hasil Pelepasan Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Dari Pemegang Saham,Pembayaran Pinjaman Dari Pemegang Saham,Penerimaan Piutang Dari Pemegang Saham,Pembayaran Piutang Kepada Pihak Berelasi,Pembayaran Sewa Pembiayaan,Pembayaran Dividen Kas,Pembayaran Pajak Atas Pembagian Saham Bonus,Penambahan Modal,Penerimaan Dari Penerbitan Modal Saham,Penurunan Investasi Proforma,Penerimaan Hasil Penjualan Saham Treasuri,Perolehan Saham Treasuri,Biaya Penawaran Umum Saham Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2012,-16446000000.000000,1779954000000.000000,-1741125000000.000000,-125648000000.000000,,-1743000000.000000,5939000000.000000,6306000000.000000,-708000000.000000,60579000000.000000,-16446000000.000000,-179924000000.000000,,,-173202000000.000000,,,1556000000.000000,,,-8278000000.000000,,,,,,,,-179924000000.000000,485527000000.000000,298751000000.000000,-593000000.000000,,-254898000000.000000,,,-57000000.000000,-651113000000.000000,,1094000000000.000000,,-563000000.000000,,,,485527000000.000000,289157000000.000000,,121574000000.000000,410731000000.000000
12M 2013,-54114000000.000000,2289814000000.000000,-1606808000000.000000,-165280000000.000000,,-561954000000.000000,668000000.000000,2785000000.000000,-13339000000.000000,,-54114000000.000000,-193475000000.000000,,,-175320000000.000000,,,33432000000.000000,,,-35238000000.000000,-200000000000.000000,-575662000000.000000,,658313000000.000000,,,101000000000.000000,-193475000000.000000,1185813000000.000000,,-298751000000.000000,573805000000.000000,-9500000000.000000,,,,-150300000000.000000,,220000000000.000000,870000000000.000000,,,,-19441000000.000000,1185813000000.000000,938224000000.000000,,410731000000.000000,1348955000000.000000
12M 2014,369322000000.000000,2226699000000.000000,-1487878000000.000000,-228020000000.000000,-2669000000.000000,-240612000000.000000,,102367000000.000000,-565000000.000000,,369322000000.000000,-423561000000.000000,,125270000000.000000,-248201000000.000000,,,396000000.000000,,,-52027000000.000000,-190000000000.000000,,,61753000000.000000,-120752000000.000000,,,-423561000000.000000,-429988000000.000000,,-18598000000.000000,,,,,,-405000000000.000000,,,,,,,-6390000000.000000,-429988000000.000000,-484227000000.000000,63000000.000000,1348955000000.000000,864791000000.000000
12M 2015,432896000000.000000,2219897000000.000000,-1465689000000.000000,-252663000000.000000,-6961000000.000000,-134669000000.000000,,73054000000.000000,-73000000.000000,,432896000000.000000,-1320000000.000000,,-4925000000.000000,-121795000000.000000,,,306000000.000000,,,-74906000000.000000,200000000000.000000,,,,,,,-1320000000.000000,-459732000000.000000,,,,,,,,-360000000000.000000,,,,,,-99732000000.000000,,-459732000000.000000,-28156000000.000000,340000000.000000,864791000000.000000,836975000000.000000
12M 2016,464748000000.000000,2474183000000.000000,-1533698000000.000000,-227850000000.000000,-171160000000.000000,-135684000000.000000,,59014000000.000000,-57000000.000000,,464748000000.000000,7300000000.000000,,-2110000000.000000,-106996000000.000000,,,125000000.000000,,,-68719000000.000000,185000000000.000000,,,,,,,7300000000.000000,-312141000000.000000,,,,,,,,-368503000000.000000,,,,,84807000000.000000,-28445000000.000000,,-312141000000.000000,159907000000.000000,253000000.000000,836975000000.000000,997135000000.000000
12M 2017,640695000000.000000,2526395000000.000000,-1271686000000.000000,-187281000000.000000,-318955000000.000000,-147330000000.000000,,40140000000.000000,-588000000.000000,,640695000000.000000,-350264000000.000000,,,-216237000000.000000,,-11440000000.000000,1334000000.000000,,,-128921000000.000000,5000000000.000000,,,,,,,-350264000000.000000,-384739000000.000000,,,,,,,,-386967000000.000000,,,,,2228000000.000000,,,-384739000000.000000,-94308000000.000000,25000000.000000,997135000000.000000,902852000000.000000
12M 2018,846389000000.000000,2802018000000.000000,-1108717000000.000000,-362958000000.000000,-335467000000.000000,-189738000000.000000,,41392000000.000000,-141000000.000000,,846389000000.000000,-288721000000.000000,,,-114316000000.000000,,-42138000000.000000,371000000.000000,,,-132638000000.000000,,,,,,,,-288721000000.000000,-653919000000.000000,,,,,,,,-654882000000.000000,,,,,963000000.000000,,,-653919000000.000000,-96251000000.000000,-768000000.000000,902852000000.000000,805833000000.000000
12M 2019,836914000000.000000,2958905000000.000000,-1160882000000.000000,-364007000000.000000,-423391000000.000000,-222621000000.000000,,49064000000.000000,-154000000.000000,,836914000000.000000,-136225000000.000000,,,-122790000000.000000,,-797000000.000000,1922000000.000000,,,-14560000000.000000,,,,,,,,-136225000000.000000,-640028000000.000000,,,,,,,,-640028000000.000000,,,,,,,,-640028000000.000000,60661000000.000000,-1670000000.000000,805833000000.000000,864824000000.000000
12M 2020,1035754000000.000000,3220438000000.000000,-1178757000000.000000,-368210000000.000000,-443850000000.000000,-244347000000.000000,,51002000000.000000,-522000000.000000,,1035754000000.000000,-95119000000.000000,,,-93047000000.000000,,-1134000000.000000,1154000000.000000,,,-2092000000.000000,,,,,,,,-95119000000.000000,-774907000000.000000,,,,,,,-2183000000.000000,-773988000000.000000,,,,,1264000000.000000,,,-774907000000.000000,165728000000.000000,1402000000.000000,864824000000.000000,1031954000000.000000
12M 2021,1199317000000.000000,4024473000000.000000,-1602592000000.000000,-425928000000.000000,-517881000000.000000,-315523000000.000000,,37630000000.000000,-862000000.000000,,1199317000000.000000,-124305000000.000000,,,-111002000000.000000,,-2657000000.000000,905000000.000000,,,-11551000000.000000,,,,,,,,-124305000000.000000,-1025193000000.000000,,,,,,,-6375000000.000000,-1018142000000.000000,-7664000000.000000,,,,6988000000.000000,,,-1025193000000.000000,49819000000.000000,446000000.000000,1031954000000.000000,1082219000000.000000
12M 2022,1107137000000.000000,3850799000000.000000,-1467181000000.000000,-447271000000.000000,-519651000000.000000,-336341000000.000000,,27562000000.000000,-780000000.000000,,1107137000000.000000,-179622000000.000000,,,-115641000000.000000,,-1905000000.000000,686000000.000000,,,-62762000000.000000,,,,,,,,-179622000000.000000,-1088230000000.000000,,,,,,,-6285000000.000000,-1086000000000.000000,,,,,4055000000.000000,,,-1088230000000.000000,-160715000000.000000,1543000000.000000,1082219000000.000000,923047000000.000000
12M 2023,1055394000000.000000,3449065000000.000000,-1134032000000.000000,-449325000000.000000,-568884000000.000000,-270119000000.000000,,29370000000.000000,-681000000.000000,,1055394000000.000000,-46993000000.000000,,,-39559000000.000000,,-348000000.000000,3742000000.000000,,,-10828000000.000000,,,,,,,,-46993000000.000000,-1074265000000.000000,,,,,,,-6265000000.000000,-1068000000000.000000,,,,,,,,-1074265000000.000000,-65864000000.000000,-27055000000.000000,923047000000.000000,830128000000.000000
12M 2024,1150929000000.000000,3829641000000.000000,-1350834000000.000000,-438736000000.000000,-611432000000.000000,-316541000000.000000,,39663000000.000000,-832000000.000000,,1150929000000.000000,-46902000000.000000,,,-27683000000.000000,,-1789000000.000000,626000000.000000,,,-18056000000.000000,,,,,,,,-46902000000.000000,-1086091000000.000000,,,,,,,-6091000000.000000,-1080000000000.000000,,,,,,,,-1086091000000.000000,17936000000.000000,7505000000.000000,830128000000.000000,855569000000.000000
