Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,2391667000000.000000,-1471020000000.000000,920647000000.000000,-416294000000.000000,-336690000000.000000,-79604000000.000000,-416294000000.000000,504353000000.000000,9268000000.000000,8490000000.000000,-708000000.000000,1486000000.000000,9268000000.000000,513621000000.000000,-126083000000.000000,-124026000000.000000,-2057000000.000000,,-126083000000.000000,387538000000.000000,,,,387538000000.000000,387538000000.000000,387538000000.000000,,387538000000.000000,387538000000.000000,387538000000.000000,,387538000000.000000
12M 2013,2372364000000.000000,-1361583000000.000000,1010781000000.000000,-494370000000.000000,-341463000000.000000,-152907000000.000000,-494370000000.000000,516411000000.000000,66247000000.000000,134601000000.000000,-13256000000.000000,-55098000000.000000,66247000000.000000,582658000000.000000,-176715000000.000000,-173994000000.000000,-2721000000.000000,,-176715000000.000000,405943000000.000000,993000000.000000,,993000000.000000,406936000000.000000,405943000000.000000,405943000000.000000,,405943000000.000000,406936000000.000000,406936000000.000000,,406936000000.000000
12M 2014,2197907000000.000000,-1358342000000.000000,839565000000.000000,-401209000000.000000,-301218000000.000000,-99991000000.000000,-401209000000.000000,438356000000.000000,107295000000.000000,104861000000.000000,-565000000.000000,2999000000.000000,107295000000.000000,545651000000.000000,-130458000000.000000,-127081000000.000000,-3377000000.000000,,-130458000000.000000,415193000000.000000,-993000000.000000,,-993000000.000000,414200000000.000000,415193000000.000000,415193000000.000000,,415193000000.000000,414200000000.000000,414200000000.000000,,414200000000.000000
12M 2015,2218536000000.000000,-1335171000000.000000,883365000000.000000,-404917000000.000000,-303031000000.000000,-101886000000.000000,-404917000000.000000,478448000000.000000,81951000000.000000,70821000000.000000,-51000000.000000,11181000000.000000,81951000000.000000,560399000000.000000,-122924000000.000000,-125047000000.000000,2123000000.000000,,-122924000000.000000,437475000000.000000,423000000.000000,423000000.000000,423000000.000000,437898000000.000000,437475000000.000000,437475000000.000000,,437475000000.000000,437898000000.000000,437898000000.000000,,437898000000.000000
12M 2016,2561806000000.000000,-1494142000000.000000,1067664000000.000000,-508221000000.000000,-370195000000.000000,-138026000000.000000,-508221000000.000000,559443000000.000000,69639000000.000000,50945000000.000000,-140000000.000000,18834000000.000000,69639000000.000000,629082000000.000000,-148557000000.000000,-146371000000.000000,5323000000.000000,-7509000000.000000,-148557000000.000000,480525000000.000000,-8803000000.000000,-8803000000.000000,-8803000000.000000,471722000000.000000,480525000000.000000,480525000000.000000,,480525000000.000000,471722000000.000000,471722000000.000000,,471722000000.000000
12M 2017,2573840000000.000000,-1411881000000.000000,1161959000000.000000,-536221000000.000000,-364203000000.000000,-172018000000.000000,-536221000000.000000,625738000000.000000,56151000000.000000,42241000000.000000,-588000000.000000,14498000000.000000,56151000000.000000,681889000000.000000,-148090000000.000000,-148090000000.000000,,,-148090000000.000000,533799000000.000000,-11080000000.000000,-11080000000.000000,-11080000000.000000,522719000000.000000,533799000000.000000,533799000000.000000,,533799000000.000000,522719000000.000000,522719000000.000000,,522719000000.000000
12M 2018,2763292000000.000000,-1338901000000.000000,1424391000000.000000,-616756000000.000000,-414048000000.000000,-202708000000.000000,-616756000000.000000,807635000000.000000,60202000000.000000,43647000000.000000,-141000000.000000,16696000000.000000,60202000000.000000,867837000000.000000,-203988000000.000000,-203988000000.000000,,,-203988000000.000000,663849000000.000000,-3181000000.000000,-3181000000.000000,-3181000000.000000,660668000000.000000,663849000000.000000,663849000000.000000,,663849000000.000000,660668000000.000000,660668000000.000000,,660668000000.000000
12M 2019,3067434000000.000000,-1386870000000.000000,1680564000000.000000,-663017000000.000000,-471331000000.000000,-191686000000.000000,-663017000000.000000,1017547000000.000000,56288000000.000000,49745000000.000000,-154000000.000000,6697000000.000000,56288000000.000000,1073835000000.000000,-266146000000.000000,-266146000000.000000,,,-266146000000.000000,807689000000.000000,-5568000000.000000,-5568000000.000000,-5568000000.000000,802121000000.000000,807689000000.000000,807689000000.000000,,807689000000.000000,802121000000.000000,802121000000.000000,,802121000000.000000
12M 2020,3335411000000.000000,-1496628000000.000000,1838783000000.000000,-692989000000.000000,-492330000000.000000,-200659000000.000000,-692989000000.000000,1145794000000.000000,53754000000.000000,49045000000.000000,-522000000.000000,5231000000.000000,53754000000.000000,1199548000000.000000,-265532000000.000000,,,,-265532000000.000000,934016000000.000000,-4259000000.000000,-4259000000.000000,-4259000000.000000,929757000000.000000,934016000000.000000,934016000000.000000,,934016000000.000000,929757000000.000000,929757000000.000000,,929757000000.000000
12M 2021,4020980000000.000000,-1734948000000.000000,2286032000000.000000,-726004000000.000000,-556440000000.000000,-169564000000.000000,-726004000000.000000,1560028000000.000000,53203000000.000000,37401000000.000000,-862000000.000000,16664000000.000000,53203000000.000000,1613231000000.000000,-352333000000.000000,,,,-352333000000.000000,1260898000000.000000,7365000000.000000,7365000000.000000,7365000000.000000,1268263000000.000000,1260898000000.000000,1260898000000.000000,,1260898000000.000000,1268263000000.000000,1268263000000.000000,,1268263000000.000000
