Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas Dari:,Penghasilan Bunga Dan Lain-Lain,Restitusi Pajak,Pendapatan Sewa,Lain-Lain,Total Penerimaan Kas Dari:,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk:,Gaji Dan Upah,Beban Usaha,Pajak Penghasilan Badan Dan Pajak Lainnya,Beban Bunga,Total Pembayaran Kas Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penerimaan Dari Pelepasan Entitas Anak,Hasil Penjualan Penyertaan,Pemeliharaan Tanaman Perkebunan Belum Menghasilkan,Penerimaan Dividen,Penyertaan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Pinjaman Bank Jangka Pendek,Penambahan,Pembayaran,Total Penambahan (Pembayaran) Pinjaman Bank Jangka Pendek,Penambahan (Pembayaran) Pinjaman Bank Jangka Panjang,Penambahan,Pembayaran,Total Penambahan (Pembayaran) Pinjaman Bank Jangka Panjang,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Penambahan (Pembayaran) Pinjaman Jangka Panjang,Pembayaran Dividen Kepada Kepentingan Non Pengendali,Pembayaran Kewajiban Sewa Pembiayaan,Pembayaran Kredit Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2016,24429296083.000000,911820146175.000000,,803221431.000000,16434590677.000000,1534351535.000000,,18772163643.000000,-753362729334.000000,,-76061330119.000000,-51715296650.000000,-9865780556.000000,-15157877076.000000,-152800284401.000000,24429296083.000000,-17491999137.000000,35450000.000000,-16898979828.000000,,,,-279677049.000000,1207740.000000,-350000000.000000,-17491999137.000000,62079608581.000000,1662324735190.000000,,,1662324735190.000000,-1595676677650.000000,,,-1595676677650.000000,,,,-2965418750.000000,-394622775.000000,-1208407434.000000,62079608581.000000,69016905527.000000,-781728803.000000,27820719243.000000,96055895967.000000
12M 2017,-24864871829.000000,1369170433802.000000,,1245953976.000000,1936801305.000000,1307588731.000000,,4490344012.000000,-1219851383213.000000,,-85813177561.000000,-47827977131.000000,-27136964270.000000,-17896147468.000000,-178674266430.000000,-24864871829.000000,-7584673611.000000,96422583.000000,-7466717194.000000,,,,-214379000.000000,,,-7584673611.000000,-13771048196.000000,2426045520137.000000,,,2426045520137.000000,-2431604410477.000000,,,-2431604410477.000000,,,,-7154896800.000000,-477315610.000000,-579945446.000000,-13771048196.000000,-46220593636.000000,134474426.000000,96055895967.000000,49969776757.000000
12M 2018,17812366089.000000,1338459215487.000000,,980830524.000000,532160901.000000,153000000.000000,,1665991425.000000,-1129432626239.000000,,-101288660845.000000,-45060664136.000000,-26580202525.000000,-19950687078.000000,-192880214584.000000,17812366089.000000,-51556297884.000000,10239000.000000,-18616676527.000000,-32780660357.000000,,,-169200000.000000,,,-51556297884.000000,38309881654.000000,21002957151.000000,,,21002957151.000000,32816900000.000000,,,32816900000.000000,,,,-15358564525.000000,-486547463.000000,335136491.000000,38309881654.000000,4565949859.000000,1785340273.000000,49969776757.000000,56321066889.000000
12M 2019,57339523786.000000,1243564513894.000000,,480488722.000000,,570839000.000000,,1051327722.000000,-981026616082.000000,,-102217738809.000000,-39521627545.000000,-33113190399.000000,-31397144995.000000,-206249701748.000000,57339523786.000000,-167132683588.000000,21250000.000000,-167093466145.000000,-60467443.000000,,,,,,-167132683588.000000,94427760290.000000,6754106738.000000,,,6754106738.000000,127261000000.000000,,,127261000000.000000,,,,-38561559075.000000,-818915141.000000,-206872232.000000,94427760290.000000,-15365399512.000000,-689854139.000000,56321066889.000000,40265813238.000000
12M 2020,-27550576454.000000,889888380409.000000,,122178482.000000,,,,122178482.000000,-753291724087.000000,,-118234847123.000000,939970303.000000,-20614017424.000000,-26360517014.000000,-164269411258.000000,-27550576454.000000,-22015338272.000000,663900000.000000,-22679238272.000000,,,,,,,-22015338272.000000,23716028652.000000,-97350567221.000000,,,-97350567221.000000,121914715671.000000,,,121914715671.000000,,,,,-637502697.000000,-210617101.000000,23716028652.000000,-25849886074.000000,239029068.000000,40265813238.000000,14654956232.000000
12M 2021,48155002081.000000,903453389660.000000,,60331188.000000,,,,60331188.000000,-796217445671.000000,,-76252958594.000000,45307237041.000000,-14328529319.000000,-13867022224.000000,-59141273096.000000,48155002081.000000,-5012644385.000000,132791500.000000,-5545435885.000000,400000000.000000,,,,,,-5012644385.000000,-27516293664.000000,12994235627.000000,,,12994235627.000000,-39773786544.000000,,,-39773786544.000000,,,,,-640831589.000000,-95911158.000000,-27516293664.000000,15626064032.000000,-716730092.000000,14654956232.000000,29564290172.000000
12M 2022,-6921668000.000000,641642046000.000000,,92260000.000000,,,,92260000.000000,-440725486000.000000,,-89477646000.000000,-90329283000.000000,-13727752000.000000,-14395807000.000000,-207930488000.000000,-6921668000.000000,34215755000.000000,42526640000.000000,-8310885000.000000,,,,,,,34215755000.000000,-30890023000.000000,,472482205000.000000,-656481646000.000000,-183999441000.000000,,230264569000.000000,-75295355000.000000,154969214000.000000,,,,,-1859796000.000000,,-30890023000.000000,-3595936000.000000,1183110000.000000,29564290000.000000,27151464000.000000
12M 2023,-98523026458.000000,11339797278.000000,,102091676.000000,,,,102091676.000000,-967380592.000000,,-39845079105.000000,-50027280101.000000,,-19125175614.000000,-108997534820.000000,-98523026458.000000,407678118449.000000,2791720720.000000,-1094364865.000000,,400980762594.000000,5000000000.000000,,,,407678118449.000000,-332637841208.000000,,,,,,,-292216105494.000000,-292216105494.000000,,-39821735714.000000,,,-600000000.000000,,-332637841208.000000,-23482749217.000000,-254161.000000,27151464306.000000,3668460928.000000
12M 2024,-23622054912.000000,34208522762.000000,,9000042.000000,,,,9000042.000000,-28544930070.000000,,-19435313850.000000,-9858471251.000000,,-862545.000000,-29294647646.000000,-23622054912.000000,3686639234.000000,3686639234.000000,,,,,,,,3686639234.000000,18074365707.000000,,,,,,,,,18074365707.000000,,,,,,18074365707.000000,-1861049971.000000,-513627.000000,3668460928.000000,1806897330.000000
