Period,Aset,Aset Lancar,Kas Dan Setara Kas,Persediaan,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Pajak,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,768673297692.000000,,,21508100537.000000,,,21508100537.000000,935782963.000000,791117181192.000000,,160417485916.000000,,,-891895800.000000,159525590116.000000,950642771308.000000,,,125236451417.000000,124934791809.000000,,301659608.000000,,,301659608.000000,,125236451417.000000,,,,125236451417.000000,,344728000000.000000,,443158912862.000000,,,443158912862.000000,3986967.000000,37515420062.000000,825406319891.000000,950642771308.000000,3447280.000000
12M 2020,,,467180285169.000000,,,21409313970.000000,,,21409313970.000000,216896118317.000000,705485717456.000000,,261666624161.000000,,,1244051134.000000,262910675295.000000,968396392751.000000,,,2073926016.000000,110932864.000000,,118313907.000000,,,118313907.000000,1844679245.000000,2073926016.000000,476476129.000000,476476129.000000,476476129.000000,2550402145.000000,,430910000000.000000,6045873118.000000,497477185691.000000,,497477185691.000000,497477185691.000000,4989638.000000,31407942159.000000,965845990606.000000,968396392751.000000,4309100000.000000
12M 2021,,,328143482036.000000,,,18529001978.000000,,,18529001978.000000,300232458420.000000,646904942434.000000,,332751058452.000000,,,1012267624.000000,333763326076.000000,980668268510.000000,,,1313759269.000000,115626893.000000,71203223.000000,293158618.000000,,,293158618.000000,833770535.000000,1313759269.000000,613475952.000000,613475952.000000,613475952.000000,1927235221.000000,,431640440500.000000,6112129618.000000,506076080222.000000,1000000000.000000,505076080222.000000,506076080222.000000,5027966.000000,34907354983.000000,978741033289.000000,980668268510.000000,4316404405.000000
12M 2022,,,305326083952.000000,,,12683219856.000000,12683219856.000000,,12683219856.000000,318774259541.000000,636783563349.000000,,197864137756.000000,143404577315.000000,,2491899294.000000,343760614365.000000,980544177714.000000,,,1764769616.000000,224552391.000000,167329470.000000,,24984210.000000,,24984210.000000,1347903545.000000,1764769616.000000,471179831.000000,471179831.000000,471179831.000000,2235949447.000000,,438284125300.000000,6776498098.000000,538299168624.000000,1000000000.000000,537299168624.000000,538299168624.000000,6010552.000000,-5057574307.000000,978308228267.000000,980544177714.000000,4382841253.000000
12M 2023,,,216530279659.000000,,108420607.000000,8302622210.000000,8302622210.000000,,8302622210.000000,307721479927.000000,532662802403.000000,,238679056672.000000,174630242176.000000,,58310152955.000000,471619451803.000000,1004282254206.000000,,,3367842581.000000,314107923.000000,455232563.000000,,24984210.000000,,24984210.000000,2573517885.000000,3367842581.000000,1204126947.000000,1204126947.000000,1204126947.000000,4571969528.000000,,438284125300.000000,6776498098.000000,550647260487.000000,1000000000.000000,549647260487.000000,550647260487.000000,7102249.000000,3995298544.000000,999710284678.000000,1004282254206.000000,4382841253.000000
12M 2024,,,251070882372.000000,,214401832.000000,7609173934.000000,7609173934.000000,,7609173934.000000,266746947340.000000,525641405478.000000,,199658866989.000000,303564205041.000000,,14175967104.000000,517399039134.000000,1043040444612.000000,,,2913909996.000000,423792015.000000,325692795.000000,,26446710.000000,32424100.000000,58870810.000000,2105554376.000000,2913909996.000000,915472519.000000,915472519.000000,915472519.000000,3829382515.000000,,438689704000.000000,6817055968.000000,572127444006.000000,1000000000.000000,571127444006.000000,572127444006.000000,26762369113.000000,-5185510990.000000,1039211062097.000000,1043040444612.000000,4382841253.000000
