Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Usaha,"Penerimaan Bunga, Provisi Dan Komisi","Pembayaran Bunga, Provisi Dan Komisi",Pembayaran Kepada Pihak Berelasi,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok,Pembayaran Beban Umum Dan Administrasi,Pembayaran Pajak Penghasilan,Pendapatan Bunga,(Pembayaran) Penerimaan Dari Pendapatan,(Beban) Bukan Operasional Lainnya,Total (Pembayaran) Penerimaan Dari Pendapatan,Total Arus Kas Dari Aktivitas Operasi,Perubahan Dalam Aset Dan Liabilitas Operasi,Penurunan (Kenaikan) Aset Operasi,Surat Berharga Dan Tagihan Lainnya,Pinjaman Yang Diberikan,Aset Lain Lain,Total Penurunan (Kenaikan) Aset Operasi,Kenaikan (Penurunan) Liabilitas Operasi,Simpanan,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Entitas Anak,Penempatan Surat Berharga,Pelepasan Surat Berharga,Penerimaan Hasil Investasi,Pembayaran Investasi,Aset Dalam Penyelesaian,Penerimaan Dari Pelepasan Aset Lain-Lain,Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Properti Investasi,Perolehan Aset Hak Guna,Penerimaan Dividen,Akuisisi Entitas Anak Dan Non-Pengendali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pengembalian Setoran Modal,Penerimaan Setoran Modal,Pelaksanaan Waran,Pembayaran Kepada Pihak Berelasi,Agio Saham,Pembayaran Utang Sewa Pembiayaan,Biaya Emisi Saham,Penerimaan Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,-36883705963.000000,2662590910.000000,6089431983.000000,,,-462842861.000000,,-3252524502.000000,,,-41920361493.000000,,-41920361493.000000,-36883705963.000000,,,,,,,,,,,391512728331.000000,765415586311.000000,-246468359223.000000,,1000000000.000000,,,,,-128434498757.000000,,,,,,391512728331.000000,107718000000.000000,-510000000.000000,108228000000.000000,,,,,,,107718000000.000000,462347022368.000000,53259681422.000000,,515606703790.000000
12M 2020,-116713226514.000000,3778205249.000000,,,,-3289474350.000000,,-3233793168.000000,-124823858945.000000,,10855694700.000000,,10855694700.000000,-116713226514.000000,,,,,,,,,,,-23921308922.000000,,-213246494512.000000,253066593902.000000,37091034286.000000,,,,,-101545248300.000000,170000002.000000,,,542805700.000000,,-23921308922.000000,92227873118.000000,,86182000000.000000,,,8618200000.000000,,-2572326882.000000,,92227873118.000000,-48406662318.000000,515606703790.000000,,467200041472.000000
12M 2021,1979929309.000000,7115400022.000000,,,,-1185709830.000000,,-7102376637.000000,-67635513.000000,,3220251267.000000,,3220251267.000000,1979929309.000000,,,,,,,,,,,-141159070833.000000,,-74311670831.000000,,3565840046.000000,,,500000000.000000,,-72134234792.000000,,,,1220994744.000000,,-141159070833.000000,123497000.000000,,730440500.000000,,,66256500.000000,-673200000.000000,,,123497000.000000,-139055644524.000000,467200041472.000000,,328144396948.000000
12M 2022,828573168.000000,11212016428.000000,,,,-1318608766.000000,-11209442078.000000,,-512609008.000000,,2657216592.000000,,2657216592.000000,828573168.000000,,,,,,,,,,,-30300824532.000000,,,,,-23043789584.000000,-12435855586.000000,6609058248.000000,-1994520000.000000,-447983094.000000,,,,1012265484.000000,,-30300824532.000000,6634853280.000000,,,7308053280.000000,,,-673200000.000000,,,6634853280.000000,-22837398084.000000,328164396948.000000,,305326998864.000000
12M 2023,22528347050.000000,20533192993.000000,,,,-2098769245.000000,-11037205616.000000,,-780481076.000000,15911609994.000000,,,,22528347050.000000,,,,,,,,,,,-109363732584.000000,,,,28888888972.000000,-10955818160.000000,-2328790824.000000,,-57000000000.000000,-66143674484.000000,,-3259392940.000000,,1435054852.000000,,-109363732584.000000,-673200000.000000,,,,,,-673200000.000000,,,-673200000.000000,-87508585534.000000,305326998864.000000,-1288133671.000000,216530279659.000000
12M 2024,27944579971.000000,26594140989.000000,,,,-5280177057.000000,-8040135370.000000,,-1145468996.000000,15816220405.000000,,,,27944579971.000000,,,,,,,,,,,-21243954373.000000,,,,2064548693.000000,-9795890473.000000,-1991012023.000000,34392671860.000000,-13395250750.000000,-28230236564.000000,,-5692444125.000000,,1403659009.000000,,-21243954373.000000,26972936570.000000,,27200000000.000000,446136570.000000,,,-673200000.000000,,,26972936570.000000,33673562168.000000,216530279659.000000,867043545.000000,251070885372.000000
