Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penyusutan,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pendapatan Komprehensif Lain,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Adjustment,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada,Adjustment
12M 2019,2662590910.000000,,2662590910.000000,-3352776743.000000,-364146226.000000,-2525787656.000000,-462842861.000000,,-3352776743.000000,-690185833.000000,566724281934.000000,566724281934.000000,566724281934.000000,566034096101.000000,-144891323408.000000,-144891323408.000000,,,-144891323408.000000,421142772693.000000,37515420062.000000,,458658192755.000000,421142772693.000000,421142785726.000000,-13033.000000,421142772693.000000,,458658192755.000000,458658205788.000000,-13033.000000,458658192755.000000,
12M 2020,3084274688.000000,,3084274688.000000,-5221939063.000000,-774766082.000000,-2740055131.000000,-1707117850.000000,,-5221939063.000000,-2137664375.000000,49864498916.000000,49864498916.000000,49864498916.000000,47726834541.000000,-86999606.000000,-72169076.000000,-14830530.000000,,-86999606.000000,47639834935.000000,571955000.000000,,48211789935.000000,47639834935.000000,47638832264.000000,1002671.000000,47639834935.000000,,48211789935.000000,48210787264.000000,1002671.000000,48211789935.000000,
12M 2021,7514217633.000000,-2129917659.000000,5384299974.000000,-6935657879.000000,,-6935657879.000000,,,-6935657879.000000,-1551357905.000000,10150290764.000000,10150290764.000000,10150290764.000000,8598932859.000000,,,,,,8598932859.000000,3499412824.000000,,12098345683.000000,8598932859.000000,8598894531.000000,38328.000000,8598932859.000000,,12098345683.000000,12098307355.000000,38328.000000,12098345683.000000,
12M 2022,10289513458.000000,-3184049505.000000,7105463953.000000,-8668309024.000000,,-8668309024.000000,,,-8668309024.000000,-1562845071.000000,34298525067.000000,34298525067.000000,34298525067.000000,32735679996.000000,-512609008.000000,,,,-512609008.000000,32223070988.000000,-39964929290.000000,,-7741858302.000000,32223070988.000000,32223088402.000000,-17414.000000,32223070988.000000,,-7741858302.000000,-7741840888.000000,-17414.000000,-7741858302.000000,
12M 2023,17560629819.000000,-5301787870.000000,12258841949.000000,-12869867896.000000,,-12869867896.000000,,,-12869867896.000000,-611025947.000000,13739690583.000000,13739690583.000000,13739690583.000000,13128664636.000000,-780481076.000000,,,,-780481076.000000,12348183560.000000,9052872851.000000,,21401056411.000000,12348183560.000000,12348091863.000000,91697.000000,12348183560.000000,,21401056411.000000,21400964714.000000,91697.000000,21401056411.000000,
12M 2024,26930021106.000000,-9939457976.000000,16990563130.000000,-8205726982.000000,,-8205726982.000000,,,-8205726982.000000,8784836148.000000,13413984311.000000,13413984311.000000,13413984311.000000,22198820459.000000,-1164370076.000000,-1145468996.000000,-18901080.000000,,-1164370076.000000,21034450383.000000,-9180909534.000000,,11853540849.000000,21034450383.000000,21480183519.000000,-445733136.000000,21034450383.000000,,11853640849.000000,12299373985.000000,-445733136.000000,11853640849.000000,
