Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2019,,,,,,,,,,,,,,,6.32
12M 2020,,,,,,,,,0.01,0.01,,,,,340.17
12M 2021,,,,,,,,,0.03,0.02,0.01,0.01,0.01,0.01,492.41
12M 2022,,,,,,,,,0.04,0.04,0.01,0.01,0.02,0.02,360.83
12M 2023,1.13,,,,323.94,181.75,,4.07,0.08,0.07,0.02,0.02,0.03,0.03,158.16
12M 2024,2.19,,,,166.84,20.54,,,0.12,0.11,0.03,0.03,0.05,0.05,180.39
