Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,19652388299.000000,-3973374688.000000,15679013611.000000,-13576946154.000000,-2762304854.000000,-10814641300.000000,-13576946154.000000,2102067457.000000,849571683.000000,,-466108469.000000,1307462441.000000,8217711.000000,849571683.000000,2951639140.000000,-102761942.000000,2848877198.000000,-772007154.000000,,,-772007154.000000,2076870044.000000,2848877198.000000,2934659614.000000,-85782416.000000,2848877198.000000,2076870044.000000,2162355525.000000,-85485481.000000,2076870044.000000
12M 2020,21552522737.000000,-4575668890.000000,16976853847.000000,-14616790924.000000,-2996591698.000000,-11620199226.000000,-14616790924.000000,2360062923.000000,90943453.000000,,-166301369.000000,,257244822.000000,90943453.000000,2451006376.000000,-848689636.000000,1602316740.000000,-680206665.000000,,,-680206665.000000,922110075.000000,1602316740.000000,1660892048.000000,-58575308.000000,1602316740.000000,922110075.000000,980614709.000000,-58504634.000000,922110075.000000
12M 2021,23583268237.000000,-5302770021.000000,18280498216.000000,-13410546251.000000,-1276335378.000000,-12134210873.000000,-13410546251.000000,4869951965.000000,871545285.000000,,-28743288.000000,,900288573.000000,871545285.000000,5741497250.000000,-1360134471.000000,4381362779.000000,512387028.000000,,,512387028.000000,4893749807.000000,4381362779.000000,5934630056.000000,-1553267277.000000,4381362779.000000,4893749807.000000,6447018781.000000,-1553268974.000000,4893749807.000000
12M 2022,19160703697.000000,-1199796807.000000,17960906890.000000,-14696728273.000000,-2611153001.000000,-12085575272.000000,-14696728273.000000,3264178617.000000,103803198.000000,,-20275174.000000,,124078372.000000,103803198.000000,3367981815.000000,-505574661.000000,2862407154.000000,1141449121.000000,2022.000000,1141447099.000000,1141449121.000000,4003856275.000000,2862407153.000000,3230337966.000000,-367930813.000000,2862407153.000000,4003856275.000000,4373883830.000000,-370027555.000000,4003856275.000000
