Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,10460982518.000000,4859806513.000000,4773424000.000000,86382513.000000,4859806513.000000,5467391426.000000,81500000.000000,5385891426.000000,5467391426.000000,61476741.000000,182181651.000000,21031838849.000000,,,3180160835.000000,,1670849663.000000,4851010498.000000,25882849347.000000,,,7303035175.000000,960000000.000000,,32763525.000000,4310423009.000000,4343186534.000000,193722142.000000,1659231174.000000,,,1659231174.000000,146895325.000000,7303035175.000000,2595318061.000000,,2595318061.000000,2595318061.000000,9898353236.000000,,50250000000.000000,32190608.000000,-33719369377.000000,-72085368.000000,-506239752.000000,15984496111.000000,25882849347.000000,1256300000.000000
12M 2020,,,44123669532.000000,16099435500.000000,12145935500.000000,3953500000.000000,16099435500.000000,1391174609.000000,87790109.000000,1303384500.000000,1391174609.000000,40173321.000000,234746115.000000,61889199077.000000,,3620951.000000,2878415984.000000,,480523663.000000,3362560598.000000,65251759675.000000,,,6716633187.000000,936740000.000000,,796971745.000000,3230343133.000000,4027314878.000000,892818715.000000,770931341.000000,,,770931341.000000,88828253.000000,6716633187.000000,5513694702.000000,,5513694702.000000,5513694702.000000,12230327889.000000,,62815000000.000000,23582016208.000000,-32058477329.000000,-130590002.000000,-1186517091.000000,53021431786.000000,65251759675.000000,1256300000.000000
12M 2021,,,37967044668.000000,22347835000.000000,20945035000.000000,1402800000.000000,22347835000.000000,2591067500.000000,96883000.000000,2494184500.000000,2591067500.000000,28691599.000000,271856080.000000,63206494847.000000,,117959409.000000,2796349912.000000,,427619300.000000,3341928621.000000,66548423468.000000,,,2636026424.000000,217677551.000000,,,,,1683239618.000000,735109255.000000,,,735109255.000000,,2636026424.000000,5929215451.000000,29389607.000000,5899825844.000000,5929215451.000000,8565241875.000000,,62815000000.000000,23582016208.000000,-26123847273.000000,-1615858976.000000,-674128366.000000,57983181593.000000,66548423468.000000,1256300000.000000
12M 2022,,,39007690018.000000,25862139111.000000,23324154111.000000,2537985000.000000,25862139111.000000,257315000.000000,206000000.000000,51315000.000000,257315000.000000,8278160.000000,168840439.000000,65304262728.000000,,155367457.000000,1749693696.000000,6806072214.000000,428119300.000000,9139252667.000000,74443515395.000000,,,4670770685.000000,279000001.000000,,27250000.000000,1247400000.000000,1274650000.000000,2057799716.000000,,962663868.000000,96657100.000000,1059320968.000000,,4670770685.000000,4087940086.000000,364151213.000000,3723788873.000000,4087940086.000000,8758710771.000000,,62815000000.000000,23582016208.000000,-19196662987.000000,-1984964072.000000,469415475.000000,65684804624.000000,74443515395.000000,1256300000.000000
