Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Pelepasan Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor,Penambahan (Pembayaran) Utang Lain-Lain Pihak Ketiga,Penambahan (Pembayaran) Piutang Lain-Lain Pihak Ketiga,Pembayaran Bunga,Penambahan (Pembayaran) Piutang Pihak Berelasi,Penambahan (Pembayaran) Piutang Lain-Lain Pihak Berelasi,Penambahan (Pembayaran) Utang Pihak Berelasi,Penambahan Utang Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-1396361583.000000,16447957411.000000,-10856960201.000000,-6990539067.000000,-96272627.000000,99452901.000000,,-1396361583.000000,-2171195154.000000,-784589493.000000,,,-1386605661.000000,-2171195154.000000,2704671141.000000,,-1267412440.000000,,-15000000.000000,-3859965500.000000,,7847049081.000000,,2704671141.000000,-862885596.000000,11323868113.000000,10460982517.000000
12M 2020,-5369413502.000000,10254826678.000000,-7096343605.000000,-8073816132.000000,-852310587.000000,398230144.000000,,-5369413502.000000,-653508876.000000,-653508876.000000,,,,-653508876.000000,39685609392.000000,36114825600.000000,764208220.000000,-6290109.000000,-166301369.000000,4082506926.000000,,-1103339876.000000,,39685609392.000000,33662687014.000000,10460982518.000000,44123669532.000000
12M 2021,-95536268.000000,17246040484.000000,-8834608931.000000,-7886411819.000000,-591590841.000000,-28965161.000000,,-95536268.000000,-901880827.000000,-909880827.000000,8000000.000000,,,-901880827.000000,-5159207769.000000,68000000.000000,-796971745.000000,-9092891.000000,,-1190800000.000000,,-3230343133.000000,,-5159207769.000000,-6156624864.000000,44123669532.000000,37967044668.000000
12M 2022,-1728256633.000000,6855597899.000000,-5240440790.000000,-3464934943.000000,138877528.000000,-17356327.000000,,-1728256633.000000,-42539519.000000,-49989519.000000,7450000.000000,,,-42539519.000000,2811441502.000000,,787000000.000000,24441502.000000,,2000000000.000000,,,,2811441502.000000,1040645350.000000,37967044668.000000,39007690018.000000
