Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2018,1.71,1.71,0.22,1.26,0.0,0.0,0.03,0.17,0.25
12M 2019,4.4,4.4,0.22,1.25,0.0,0.0,0.1,0.18,0.24
12M 2020,5.25,5.25,0.15,1.17,0.0,0.0,0.1,0.12,0.17
12M 2021,10.91,10.91,0.11,1.15,0.0,0.0,0.1,0.09,0.15
