Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,2248892320.000000,-1471025308.000000,777867012.000000,-46464182341.000000,-46464182341.000000,-46464182341.000000,-45686315329.000000,94080460.000000,-45592234869.000000,-292103381.000000,,,-292103381.000000,-45884338250.000000,,-45884338250.000000,44885331.000000,-45839452919.000000,-45884338250.000000,-45854217610.000000,-30120640.000000,-45884338250.000000,-45839452919.000000,-45809332279.000000,-30120640.000000,-45839452919.000000
12M 2019,2969040875.000000,-1040122939.000000,1928917936.000000,-17131344420.000000,-17131344420.000000,-17131344420.000000,-15202426484.000000,-583893678.000000,-15786320162.000000,-622751566.000000,,,-622751566.000000,-16409071728.000000,,-16409071728.000000,61004226.000000,-16348067502.000000,-16409071728.000000,-16405298061.000000,-3773667.000000,-16409071728.000000,-16348067502.000000,-16344293835.000000,-3773667.000000,-16348067502.000000
12M 2020,3725737875.000000,-2908090580.000000,817647295.000000,-3730335416.000000,-3730335416.000000,-3730335416.000000,-2912688121.000000,-211072756.000000,-3123760877.000000,-346640618.000000,,-346640618.000000,-346640618.000000,-3470401495.000000,,-3470401495.000000,329539614.000000,-3140861881.000000,-3470401495.000000,-3469190660.000000,-1210835.000000,-3470401495.000000,-3140861881.000000,-3139651046.000000,-1210835.000000,-3140861881.000000
12M 2021,3554157242.000000,-3163207666.000000,390949576.000000,-3747843242.000000,-3747843242.000000,-3747843242.000000,-3356893666.000000,-255204727.000000,-3612098393.000000,-254010627.000000,,-254010627.000000,-254010627.000000,-3866109020.000000,,-3866109020.000000,87819380.000000,-3778289640.000000,-3866109020.000000,-3861908113.000000,-4200907.000000,-3866109020.000000,-3778289640.000000,-3774088733.000000,-4200907.000000,-3778289640.000000
