Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pemegang Saham,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,23770921588.000000,,887028637.000000,472295486.000000,414733151.000000,887028637.000000,300000.000000,,300000.000000,300000.000000,,14197526000.000000,38855776225.000000,,77320098708.000000,38095000000.000000,4370580000.000000,119785678708.000000,158641454933.000000,,,22717635877.000000,18614231510.000000,,11715395.000000,3340696393.000000,750992579.000000,22717635877.000000,9289638333.000000,8816396604.000000,,473241729.000000,9289638333.000000,32007274210.000000,,175000000000.000000,,-48795845482.000000,,,-48795845482.000000,469879360.000000,-39853155.000000,126634180723.000000,158641454933.000000,500.000000
12M 2019,,,24140150081.000000,,1836942802.000000,504591022.000000,1332351780.000000,1836942802.000000,2328389635.000000,2218089635.000000,110300000.000000,2328389635.000000,,66164104000.000000,94469586518.000000,,105179229543.000000,38138120582.000000,,143317350125.000000,237786936643.000000,,,21483060224.000000,18614231510.000000,,563909122.000000,251712006.000000,2053207586.000000,21483060224.000000,24966467448.000000,24060084841.000000,,906382607.000000,24966467448.000000,46449527672.000000,,243337500500.000000,12713795250.000000,-65201143543.000000,,,-65201143543.000000,466105693.000000,21151071.000000,191337408971.000000,237786936643.000000,2433375005.000000
12M 2020,,,9355252359.000000,,2865266703.000000,639430101.000000,2225836602.000000,2865266703.000000,517710000.000000,375000000.000000,142710000.000000,517710000.000000,,51715761000.000000,64453990062.000000,,117743439959.000000,38124920582.000000,,155868360541.000000,220322350603.000000,,,12276247036.000000,8664425000.000000,,652828774.000000,876936413.000000,2082056849.000000,12276247036.000000,19849556477.000000,18717225574.000000,,1132330903.000000,19849556477.000000,32125803513.000000,,243337500500.000000,13913795250.000000,-69870334203.000000,,,-69870334203.000000,464894858.000000,350690685.000000,188196547090.000000,220322350603.000000,2433375005.000000
12M 2021,,,1355142483.000000,,2048127444.000000,551010842.000000,1497116602.000000,2048127444.000000,663710000.000000,520000000.000000,143710000.000000,663710000.000000,,49714392500.000000,53781372427.000000,,115583059959.000000,42599740407.000000,,158182800366.000000,211964172793.000000,,,4929638203.000000,,,751160283.000000,1836773446.000000,2341704474.000000,4929638203.000000,22616277140.000000,19367575574.000000,2183990737.000000,1064710829.000000,22616277140.000000,27545915343.000000,,243337500500.000000,13913795250.000000,-73732242316.000000,,,-73732242316.000000,460693951.000000,438510065.000000,184418257450.000000,211964172793.000000,2433375005.000000
