Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Biaya Operasional Lainnya,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Properti Investasi,Perolehan Aset Tetap,Uang Muka,Penurunan Deposito Berjangka,Uang Muka Pembelian Tanah,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham,Penerimaan Dari Penerbitan Saham,Pembayaran Emisi Saham,Penerimaan Pinjaman Dari Bank,Pembayaran Pinjaman Ke Bank,Penerimaan (Pembayaran) Pinjaman Pihak Berelasi,Penerimaan Pinjaman Dari Pemegang Saham,Modal Saham Kepentingan Nonpengendali - Entitas Anak,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2018,-11597146807.000000,1946732147.000000,-689846033.000000,-1164433016.000000,-11669582313.000000,-20017592.000000,,-11597146807.000000,-164826985000.000000,-118637310000.000000,-41000000000.000000,,,-5189675000.000000,,-164826985000.000000,199606305339.000000,174500000000.000000,,,18614231510.000000,,5992073829.000000,,500000000.000000,,199606305339.000000,23182173532.000000,88748056.000000,500000000.000000,23770921588.000000
12M 2019,-48038589912.000000,3176859218.000000,-2990861257.000000,-718753774.000000,-47261814310.000000,-244019789.000000,,-48038589912.000000,-48387165582.000000,-28180500000.000000,-43120582.000000,,,-20163545000.000000,,-48387165582.000000,96794983987.000000,81551295750.000000,,,,,15243688237.000000,,,,96794983987.000000,369228493.000000,23770921588.000000,,24140150081.000000
12M 2020,507768055.000000,2316427058.000000,-2138598988.000000,-957678495.000000,1538680229.000000,-251061749.000000,,507768055.000000,10000000000.000000,,,,10000000000.000000,,,10000000000.000000,-15292665777.000000,,,,,-9949806510.000000,-5342859267.000000,,,,-15292665777.000000,-4784897722.000000,5440150081.000000,,655252359.000000
12M 2021,-710234876.000000,2186648328.000000,-1479343700.000000,-1077999897.000000,-85528980.000000,-254010627.000000,,-710234876.000000,7569200000.000000,,,,8700000000.000000,-1130800000.000000,,7569200000.000000,-6159075000.000000,,,,,-8664425000.000000,2505350000.000000,,,,-6159075000.000000,699890124.000000,655252359.000000,,1355142483.000000
