Period,Total Pendapatan,Total Beban Pokok Penjualan,Adjustment,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,50613624.000000,-34084632.000000,,16528992.000000,-6134633.000000,-3608674.000000,-2525959.000000,,-6134633.000000,10394359.000000,-1632677.000000,272981.000000,-529540.000000,-1634152.000000,,,258034.000000,-1632677.000000,8761682.000000,-2632352.000000,-3058086.000000,425734.000000,-2632352.000000,6129330.000000,,,,6129330.000000,6129330.000000,,6129330.000000,,,,
12M 2009,341194874.000000,-262069811.000000,,79125063.000000,-30153520.000000,-18045683.000000,-12107837.000000,,-30153520.000000,48971543.000000,-930033.000000,542018.000000,-1450347.000000,-308367.000000,,,286663.000000,-930033.000000,48041510.000000,-14015807.000000,-14015400.000000,-407.000000,-14015807.000000,34025703.000000,,,,34025703.000000,34025703.000000,,34025703.000000,,,,
12M 2010,498607198.000000,-404663567.000000,,93943631.000000,-38449709.000000,-23338419.000000,-15111290.000000,,-38449709.000000,55493922.000000,2609352.000000,198472.000000,,-278888.000000,-398944.000000,,3088712.000000,2609352.000000,58103274.000000,-14995338.000000,-15280913.000000,285575.000000,-14995338.000000,43107936.000000,,,,43107936.000000,43107936.000000,,43107936.000000,,,,
12M 2011,671716252.000000,-530340782.000000,,141375470.000000,-44294268.000000,-27042737.000000,-18457837.000000,1206306.000000,-44294268.000000,97081202.000000,-31753.000000,139810.000000,,,-171563.000000,,,-31753.000000,97049449.000000,-24820682.000000,-25051697.000000,231015.000000,-24820682.000000,72228767.000000,,,72228767.000000,72228767.000000,72228767.000000,,72228767.000000,72228767.000000,72228767.000000,,72228767.000000
12M 2012,633350107.000000,-504940242.000000,,128409865.000000,-42714913.000000,-26526521.000000,-16827852.000000,639460.000000,-42714913.000000,85694952.000000,-398264.000000,364522.000000,,,-762786.000000,,,-398264.000000,85296688.000000,-21511490.000000,,,-21511490.000000,63785198.000000,,,63785198.000000,63785198.000000,63785198.000000,,63785198.000000,63785198.000000,63785198.000000,,63785198.000000
12M 2013,478331883.000000,-404763244.000000,,73568639.000000,-43533787.000000,-25235417.000000,-17235983.000000,-1062387.000000,-43533787.000000,30034852.000000,9636.000000,627879.000000,,,-618243.000000,,,9636.000000,30044488.000000,-8123934.000000,,,-8123934.000000,21920554.000000,,,21920554.000000,21920554.000000,21920554.000000,,21920554.000000,21920554.000000,21920554.000000,,21920554.000000
12M 2014,392670342.000000,-323938133.000000,,68732209.000000,-42709176.000000,-22632126.000000,-16021706.000000,-4055344.000000,-42709176.000000,26023033.000000,209330.000000,535221.000000,,,-325891.000000,,,209330.000000,26232363.000000,-7044286.000000,,,-7044286.000000,19188077.000000,,,19188077.000000,19188077.000000,19188077.000000,,19188077.000000,19188077.000000,19188077.000000,,19188077.000000
12M 2015,275437463.000000,-227275838.000000,,48161625.000000,-38093927.000000,-19405863.000000,-14561410.000000,-4126654.000000,-38093927.000000,10067698.000000,421167.000000,627178.000000,,,-206011.000000,,,421167.000000,10488865.000000,-2974576.000000,,,-2974576.000000,7514289.000000,-183154.000000,,7331135.000000,7514289.000000,7514289.000000,,7514289.000000,7331135.000000,7331135.000000,,7331135.000000
12M 2016,299258039.000000,-243337355.000000,,55920684.000000,-32343659.000000,-17626006.000000,-13990697.000000,-726956.000000,-32343659.000000,23577025.000000,1152387.000000,1926138.000000,,,-773751.000000,,,1152387.000000,24729412.000000,-6657211.000000,,,-6657211.000000,18072201.000000,1527108.000000,,19599309.000000,18072201.000000,18072201.000000,,18072201.000000,19599309.000000,19599309.000000,,19599309.000000
12M 2017,343228140.000000,-272719324.000000,,70508816.000000,-39970402.000000,-24818529.000000,-14936978.000000,-214895.000000,-39970402.000000,30538414.000000,88804.000000,493405.000000,,,-404601.000000,,,88804.000000,30627218.000000,-8077737.000000,,,-8077737.000000,22549481.000000,-96954.000000,,22452527.000000,22549481.000000,22549481.000000,,22549481.000000,22452527.000000,22452527.000000,,22452527.000000
