Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari :,Pelanggan,Kegiatan Usaha Lainnya,Total Penerimaan Dari :,Pembayaran Kepada Pemasok,Pembayaran Untuk :,"Gaji, Upah Dan Kesejahteraan Karyawan",Beban Usaha,Total Pembayaran Untuk :,Adjustment,Perolehan Penghasilan Bunga,Pembayaran Pajak Ppn,Pembayaran Pajak Penghasilan,Kegiatan Usaha Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Hasilpenjualan Aset Takberwujud,Penambahan Aset Dalam Penyelesaian,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penambahan Pembayaran Uang Muka,Penurunan (Kenaikan) Pembayaran Dimuka,Pembayaran Penyertaan Saham,Pembayaran Investasi Jangka Panjang,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pencairan Pinjaman Bank,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Dari Pinjaman Pihak Berelasi,Pembayaran Dividen Kas,Penerimaan Dividen Kas,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Lain-Lain Jangka Panjang,Pembayaran Kewajiban Sewa Pembiayaan,Penerimaan Hutang Bank Jangka Panjang,Pembayaran Biaya Bunga,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-24934762.000000,,51897076.000000,,51897076.000000,-61141649.000000,,-2930145.000000,-4755297.000000,-7685442.000000,,272981.000000,,-8277728.000000,,,-24934762.000000,-3475446.000000,4970.000000,,,-3480416.000000,,,,,,,-3475446.000000,28541251.000000,,31000000.000000,-3000000.000000,,,,,-616670.000000,,-1837603.000000,-24942.000000,3541086.000000,-520620.000000,,28541251.000000,131043.000000,,7789361.000000,7920404.000000
12M 2009,98654251.000000,,340448799.000000,,340448799.000000,-200513878.000000,,-14518689.000000,-13807059.000000,-28325748.000000,,542018.000000,,-13496940.000000,,,98654251.000000,-7923068.000000,60978.000000,,,-4992423.000000,,,,-2991623.000000,,,-7923068.000000,-69593518.000000,,13000000.000000,-59000000.000000,,-11147581.000000,,,-3960539.000000,,-6810362.000000,-67480.000000,,-1607556.000000,,-69593518.000000,21137665.000000,,7920404.000000,29058069.000000
12M 2010,18784476.000000,,475459372.000000,,475459372.000000,-403413759.000000,,-16256946.000000,-20832417.000000,-37089363.000000,,198472.000000,,-16370246.000000,,,18784476.000000,-5328053.000000,104806.000000,,,-5432859.000000,,,,,,,-5328053.000000,-17629157.000000,,500000.000000,-500000.000000,,-12183647.000000,,,-4198550.000000,,-803016.000000,-19198.000000,,-424746.000000,,-17629157.000000,-4172734.000000,,29058069.000000,24885335.000000
12M 2011,-15445086.000000,,640812997.000000,1629036.000000,642442033.000000,-587471544.000000,,-24778002.000000,-24180862.000000,-48958864.000000,,139810.000000,,-21596521.000000,,,-15445086.000000,-7704752.000000,151872.000000,,,-7856624.000000,,,,,,,-7704752.000000,15059945.000000,,60000000.000000,-25000000.000000,,-17261943.000000,,,-2514006.000000,-2290.000000,,,,-161816.000000,,15059945.000000,-8089893.000000,,24885335.000000,16795442.000000
12M 2012,-46634301.000000,,615860819.000000,1107018.000000,616967837.000000,-584805340.000000,,-25041364.000000,-27096051.000000,-52137415.000000,,364522.000000,,-27023905.000000,,,-46634301.000000,-5445161.000000,1394733.000000,,,-6839894.000000,,,,,,,-5445161.000000,46737090.000000,,129000000.000000,-49000000.000000,,-32492583.000000,,,,,,,,-770327.000000,,46737090.000000,-5342372.000000,-303709.000000,16795442.000000,11149361.000000
12M 2013,77661417.000000,,481987564.000000,-1666238.000000,480321326.000000,-345943719.000000,,-23056663.000000,-21559223.000000,-44615886.000000,,627879.000000,,-12728183.000000,,,77661417.000000,-9659863.000000,131840.000000,,,-9791703.000000,,,,,,,-9659863.000000,-72000290.000000,,,102000000.000000,-181000000.000000,30000000.000000,,,-22378404.000000,,,,,-621886.000000,,-72000290.000000,-3998736.000000,1059849.000000,11149361.000000,8210474.000000
12M 2014,37556153.000000,,387906051.000000,4123778.000000,392029829.000000,-305004661.000000,,-21388866.000000,-21124101.000000,-42512967.000000,,535221.000000,,-7491269.000000,,,37556153.000000,-4134077.000000,1703415.000000,,,-5837492.000000,,,,,,,-4134077.000000,-32994426.000000,,,116500000.000000,-111500000.000000,-30000000.000000,,,-7642884.000000,-22492.000000,,,,-329050.000000,,-32994426.000000,427650.000000,1236587.000000,8210474.000000,9874711.000000
12M 2015,94368698.000000,,322523642.000000,-1520833.000000,321002809.000000,-187457793.000000,,-18551114.000000,-17430807.000000,-35981921.000000,,627178.000000,,-3821575.000000,,,94368698.000000,-2239879.000000,117721.000000,,,-2357600.000000,,,,,,,-2239879.000000,-48270029.000000,,,39600000.000000,-80600000.000000,,,,-6887342.000000,-176676.000000,,,,-206011.000000,,-48270029.000000,43858790.000000,345.000000,9874711.000000,53733846.000000
12M 2016,72782407.000000,,285153103.000000,2214675.000000,287367778.000000,-180516418.000000,,-17314060.000000,-13806530.000000,-31120590.000000,,1926138.000000,,-4874501.000000,,,72782407.000000,-1397801.000000,80057.000000,,,-1477858.000000,,,,,,,-1397801.000000,-107053230.000000,,,42690050.000000,-41826300.000000,417714.000000,,,-106052787.000000,-1508156.000000,,,,-773751.000000,,-107053230.000000,-35668624.000000,-34886.000000,53733846.000000,18030336.000000
12M 2017,58517318.000000,,351998192.000000,6163495.000000,358161687.000000,-253704104.000000,,-17644166.000000,-21245722.000000,-38889888.000000,,493405.000000,,-7543782.000000,,,58517318.000000,-1259405.000000,27737.000000,,,-1280717.000000,-6425.000000,,,,,,-1259405.000000,-16832096.000000,,,,,111370.000000,,,-14533730.000000,-2005135.000000,,,,-404601.000000,,-16832096.000000,40425817.000000,-593540.000000,18030336.000000,57862613.000000
12M 2018,-27795514.000000,,436681545.000000,,436681545.000000,-417783536.000000,,-19728466.000000,-17814862.000000,-37543328.000000,,791746.000000,,-11472006.000000,1530065.000000,,-27795514.000000,-1527249.000000,185391.000000,,,-1685303.000000,-27337.000000,,,,,,-1527249.000000,17389120.000000,,64639225.000000,-26341235.000000,,166718.000000,,,-17932883.000000,,,-2029614.000000,,-1113091.000000,,17389120.000000,-11933643.000000,-328446.000000,57862613.000000,45600524.000000
12M 2019,45624235.000000,,443372777.000000,,443372777.000000,-326399081.000000,,-22318231.000000,-23977262.000000,-46295493.000000,,516520.000000,,-14669995.000000,-10900493.000000,,45624235.000000,-3395461.000000,124241.000000,,,-3448601.000000,-71101.000000,,,,,,-3395461.000000,-71884194.000000,,44840527.000000,-83442086.000000,,274130.000000,,,-30165579.000000,,,-1568318.000000,,-1822868.000000,,-71884194.000000,-29655420.000000,-1175544.000000,45600524.000000,14769560.000000
12M 2020,52572382.000000,,264904434.000000,,264904434.000000,-174460435.000000,,-22265649.000000,-14157328.000000,-36422977.000000,,298778.000000,,-6067737.000000,4320319.000000,,52572382.000000,-767635.000000,94111.000000,,,-858272.000000,-3474.000000,,,,,,-767635.000000,-33999518.000000,,27749540.000000,-28692070.000000,,233399.000000,,,-30851443.000000,,,-2048762.000000,,-390182.000000,,-33999518.000000,17805229.000000,3386485.000000,14769560.000000,35961274.000000
12M 2021,51534804.000000,,429802631.000000,,429802631.000000,-321852024.000000,,-23948539.000000,-18961032.000000,-42909571.000000,,429493.000000,,-15448825.000000,1513100.000000,,51534804.000000,-1248378.000000,242720.000000,,,-1432746.000000,-58352.000000,,,,,,-1248378.000000,-69628788.000000,,102137050.000000,-98443920.000000,,153972.000000,,,-70516229.000000,,,-2573285.000000,,-386376.000000,,-69628788.000000,-19342362.000000,-235273.000000,35961274.000000,16383639.000000
12M 2022,-31254234.000000,,578148032.000000,,578148032.000000,-540677986.000000,,-30218247.000000,-30174716.000000,-60392963.000000,,156103.000000,,-14570099.000000,6082679.000000,,-31254234.000000,-5019894.000000,426387.000000,,,-5387352.000000,-58929.000000,,,,,,-5019894.000000,47370106.000000,,475109470.000000,-377423850.000000,,199427.000000,,,-43984112.000000,,,-2596350.000000,,-3934479.000000,,47370106.000000,11095978.000000,-797164.000000,16383639.000000,26682453.000000
12M 2023,41138760.000000,,650004469.000000,,650004469.000000,-519424703.000000,,-33636056.000000,-34004423.000000,-67640479.000000,,170341.000000,,-16432409.000000,-5538459.000000,,41138760.000000,-2110806.000000,528775.000000,2999.000000,,-2630926.000000,-11654.000000,,,,,,-2110806.000000,-47452351.000000,,206459610.000000,-204002830.000000,,-41277986.000000,312883.000000,,,,,-2980668.000000,,-5963360.000000,,-47452351.000000,-8424397.000000,-849325.000000,26682453.000000,17408731.000000
