Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Pihak Berelasi,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Derivatif,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Derivatif,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,7920404.000000,37992316.000000,32091505.000000,5900811.000000,37992316.000000,6295.000000,,,6295.000000,90018033.000000,,,8770010.000000,144707058.000000,,509902.000000,2207974.000000,26667321.000000,,26667321.000000,,,5500034.000000,34885231.000000,179592289.000000,,,95039519.000000,46000000.000000,,,3114042.000000,24805370.000000,27919412.000000,214460.000000,,,214460.000000,6123562.000000,1985870.000000,,,58512.000000,3398128.000000,3456640.000000,9339575.000000,95039519.000000,8533730.000000,934126.000000,9732.000000,,5163772.000000,16761.000000,5180533.000000,803016.000000,1606323.000000,8533730.000000,103573249.000000,,23232926.000000,7998836.000000,44787278.000000,2128008.000000,42659270.000000,44787278.000000,,,76019040.000000,179592289.000000,840000000.000000
12M 2009,,,29058069.000000,49783757.000000,42457160.000000,7326597.000000,49783757.000000,189616.000000,,,189616.000000,96428829.000000,,,2656223.000000,178116494.000000,,1091497.000000,2207567.000000,28808322.000000,,28808322.000000,,,7338629.000000,39446015.000000,217562509.000000,,,113128547.000000,,,,4057871.000000,84392963.000000,88450834.000000,1792503.000000,,,1792503.000000,9019992.000000,2036017.000000,,,19082.000000,4150317.000000,4169399.000000,7659802.000000,113128547.000000,5233283.000000,44456.000000,33012.000000,,2406525.000000,2201.000000,2408726.000000,,2747089.000000,5233283.000000,118361830.000000,,23232926.000000,7998836.000000,67968917.000000,2617008.000000,65351909.000000,67968917.000000,,,99200679.000000,217562509.000000,840000000.000000
12M 2010,,,24885335.000000,77460647.000000,65446694.000000,12013953.000000,77460647.000000,26768.000000,,,26768.000000,104734763.000000,,,3352791.000000,210460304.000000,,2421083.000000,1947194.000000,30532544.000000,,30532544.000000,,,7628408.000000,42529229.000000,252989533.000000,,,117055436.000000,,,,6297515.000000,82224933.000000,88522448.000000,3592538.000000,,,3592538.000000,12246442.000000,1960854.000000,,,2303.000000,2518406.000000,2520709.000000,8212445.000000,117055436.000000,4167637.000000,,,,,,,,4167637.000000,4167637.000000,121223073.000000,,23232926.000000,7998836.000000,100534698.000000,3117008.000000,97417690.000000,100534698.000000,,,131766460.000000,252989533.000000,840000000.000000
12M 2011,,,16795442.000000,106992276.000000,100694209.000000,6298067.000000,106992276.000000,100778.000000,,,100778.000000,233984509.000000,,,7826732.000000,365699737.000000,,2075354.000000,2178209.000000,34108233.000000,,34108233.000000,,,9171730.000000,47533526.000000,413233263.000000,,,221260424.000000,35000000.000000,,,9463485.000000,144991884.000000,154455369.000000,4052180.000000,,,4052180.000000,16173846.000000,4451025.000000,,,,,,7128004.000000,221260424.000000,5239612.000000,,59868.000000,,,,,,5179744.000000,5239612.000000,226500036.000000,,23232926.000000,7998836.000000,155501465.000000,3617008.000000,151884457.000000,155501465.000000,,,186733227.000000,413233263.000000,840000000.000000
12M 2012,,,11149361.000000,120584544.000000,118006948.000000,2577596.000000,120584544.000000,72939.000000,,,72939.000000,246299938.000000,1666967.000000,,4050127.000000,383823876.000000,,,2362456.000000,35083592.000000,,35083592.000000,145900.000000,,14052431.000000,51644379.000000,435468255.000000,,,211363963.000000,115000000.000000,,,4960668.000000,62936181.000000,67896849.000000,,11375.000000,4510473.000000,4521848.000000,12603243.000000,4002179.000000,,,,,,7339844.000000,211363963.000000,6093867.000000,,,,,,,,6093867.000000,6093867.000000,217457830.000000,,23232926.000000,7998836.000000,186778663.000000,4117008.000000,182661655.000000,186778663.000000,,,218010425.000000,435468255.000000,840000000.000000
12M 2013,,,8210474.000000,115163324.000000,111439324.000000,3724000.000000,115163324.000000,5240048.000000,252124.000000,4987924.000000,5240048.000000,216334823.000000,,,2980634.000000,347929303.000000,,,3412538.000000,38552264.000000,,38552264.000000,300029.000000,,13388002.000000,55652833.000000,403582136.000000,,,179826842.000000,36000000.000000,30000000.000000,,4167530.000000,80094498.000000,84262028.000000,,25704.000000,4428400.000000,4454104.000000,14777163.000000,3259328.000000,,,,,,7074219.000000,179826842.000000,6168315.000000,,,,,,,,6168315.000000,6168315.000000,185995157.000000,,23232926.000000,7998836.000000,186355217.000000,4617008.000000,181738209.000000,186355217.000000,,,217586979.000000,403582136.000000,840000000.000000
12M 2014,,,9874711.000000,110371733.000000,110371733.000000,,110371733.000000,4295098.000000,3021359.000000,1273739.000000,4295098.000000,200497047.000000,,,1725753.000000,326764342.000000,,,4170465.000000,37176211.000000,,37176211.000000,429643.000000,,9820580.000000,51596899.000000,378361241.000000,,,142448475.000000,41000000.000000,,,5072721.000000,73385150.000000,78457871.000000,,91350.000000,5176152.000000,5267502.000000,13038130.000000,717051.000000,,,46178.000000,,46178.000000,3921743.000000,142448475.000000,6781710.000000,,,,,82984.000000,82984.000000,,6698726.000000,6781710.000000,149230185.000000,,23232926.000000,7998836.000000,197899294.000000,4646585.000000,193252709.000000,197899294.000000,,,229131056.000000,378361241.000000,840000000.000000
12M 2015,,,53733846.000000,58561335.000000,58461591.000000,99744.000000,58561335.000000,2076028.000000,1548750.000000,527278.000000,2076028.000000,114963662.000000,,,1403670.000000,230738541.000000,,,5109657.000000,35749120.000000,,35749120.000000,482028.000000,,9525637.000000,50866442.000000,281604983.000000,,,43199872.000000,,,,2598198.000000,15615541.000000,18213739.000000,,152553.000000,1797438.000000,1949991.000000,20308779.000000,221915.000000,,,286607.000000,,286607.000000,2218841.000000,43199872.000000,9689179.000000,,,,,497421.000000,497421.000000,,9191758.000000,9689179.000000,52889051.000000,,23232926.000000,7998836.000000,198939540.000000,4646585.000000,194292955.000000,198939540.000000,,-1455370.000000,228715932.000000,281604983.000000,840000000.000000
12M 2016,,,18030336.000000,72780100.000000,72777983.000000,2117.000000,72780100.000000,1317928.000000,368305.000000,949623.000000,1317928.000000,97059981.000000,,,1079323.000000,190267668.000000,,,3972293.000000,36038567.000000,,36038567.000000,341657.000000,,8658974.000000,49011491.000000,239279159.000000,,,87196752.000000,,,,3992920.000000,44359119.000000,48352039.000000,,28591.000000,1730667.000000,1759258.000000,28946406.000000,1378696.000000,,,1401033.000000,,1401033.000000,5359320.000000,87196752.000000,9775166.000000,,,,,1829023.000000,1829023.000000,,7946143.000000,9775166.000000,96971918.000000,,23232926.000000,7998836.000000,111003741.000000,4646585.000000,106357156.000000,111003741.000000,,71738.000000,142307241.000000,239279159.000000,840000000.000000
12M 2017,,,57862613.000000,68799134.000000,68778823.000000,20311.000000,68799134.000000,3825371.000000,175588.000000,3649783.000000,3825371.000000,106469865.000000,,,1310239.000000,238267222.000000,,,4201610.000000,33931351.000000,,33931351.000000,204270.000000,,6746059.000000,45083290.000000,283350512.000000,,,123157890.000000,,,,3611494.000000,62631197.000000,66242691.000000,,42250.000000,1905120.000000,1947370.000000,39987612.000000,2067630.000000,,,1771235.000000,,1771235.000000,11141352.000000,123157890.000000,9889254.000000,,,,,1251853.000000,1251853.000000,,8637401.000000,9889254.000000,133047144.000000,,23232926.000000,7998836.000000,119096822.000000,4646585.000000,114450237.000000,119096822.000000,,-25216.000000,150303368.000000,283350512.000000,840000000.000000
