Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,6717872001.000000,-3741380143.000000,2976491858.000000,-2803393432.000000,-71798165.000000,-2741027200.000000,9431933.000000,-2803393432.000000,173098426.000000,-6879433.000000,,-6879433.000000,-6879433.000000,166218993.000000,-22936118.000000,-47441589.000000,24505471.000000,-22936118.000000,143282875.000000,-26958760.000000,-26958760.000000,-26958760.000000,116324115.000000,143282875.000000,157780078.000000,-14497203.000000,,143282875.000000,116324115.000000,130821318.000000,-14497203.000000,,116324115.000000
12M 2020,32702545336.000000,-25134645210.000000,7567900126.000000,-4268879188.000000,-757483981.000000,-3530037155.000000,18641948.000000,-4268879188.000000,3299020938.000000,-1372952561.000000,-1336133261.000000,-36819300.000000,-1372952561.000000,1926068377.000000,-474677435.000000,-500375783.000000,25698348.000000,-474677435.000000,1451390942.000000,300052019.000000,300052019.000000,300052019.000000,1751442961.000000,1451390942.000000,1451390942.000000,,,1451390942.000000,1751442961.000000,1751442961.000000,,,1751442961.000000
12M 2021,45628035297.000000,-30375129962.000000,15252905335.000000,-5315223270.000000,-259419344.000000,-5077807090.000000,22003164.000000,-5315223270.000000,9937682065.000000,-1378236116.000000,-983426035.000000,-394810081.000000,-1378236116.000000,8559445949.000000,-1881602038.000000,-1991303116.000000,109701078.000000,-1881602038.000000,6677843911.000000,-261437596.000000,-261437596.000000,-261437596.000000,6416406315.000000,6677843911.000000,6677843911.000000,,,6677843911.000000,6416406315.000000,6416406315.000000,,,6416406315.000000
12M 2022,107517076481.000000,-73053952593.000000,34463123888.000000,-12689617800.000000,-1495211997.000000,-11552200245.000000,357794442.000000,-12689617800.000000,21773506088.000000,-1837359204.000000,-834020352.000000,-1003338852.000000,-1837359204.000000,19936146884.000000,-4440277429.000000,-4751721040.000000,311443611.000000,-4440277429.000000,15335167944.000000,-426434461.000000,-426434461.000000,-426434461.000000,14908733483.000000,15335167944.000000,15335167944.000000,,,15335167944.000000,14908733483.000000,14908733483.000000,,,14908733483.000000
12M 2023,187501697933.000000,-141480058376.000000,46021639557.000000,-17967874917.000000,-1057245539.000000,-18584866644.000000,1674237266.000000,-17967874917.000000,28053764640.000000,-4372155628.000000,-2130283905.000000,-2241871723.000000,-4372155628.000000,23681609012.000000,-5603714854.000000,-6057194220.000000,453479366.000000,-5603714854.000000,18077894158.000000,748032770.000000,748032770.000000,748032770.000000,18825926928.000000,18077894158.000000,18077894158.000000,,,18077894158.000000,18825926928.000000,18825926928.000000,,,18825926928.000000
12M 2024,152933392854.000000,-120394857824.000000,32538535030.000000,-23598972820.000000,-634921291.000000,-22964051529.000000,,-23598972820.000000,8939562210.000000,-5173705993.000000,-3797909933.000000,-1375796060.000000,-5173705993.000000,3765856217.000000,-1361048609.000000,-1663227500.000000,302178891.000000,-1361048609.000000,2404807608.000000,321277103.000000,321277103.000000,321277103.000000,2726084711.000000,2404807608.000000,2451406662.000000,-46599054.000000,,2404807608.000000,2726084711.000000,2772683765.000000,-46599054.000000,,2726084711.000000
