Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk Operasional,Penerimaan Dari Pendapatan Bunga,Pembayaran Beban Keuangan,Pembayaran Gaji Dan Tunjangan,Pembayaran Pajak Penghasilan - Neto,Pembayaran Beban Umum Dan Administrasi,Pembayaran Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Penjualan Investasi Saham,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Hak-Guna,Perolehan Aset Takberwujud,Aset Lainnya,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Properti Investasi,Perolehan Hak Paten,Pendapatan Atas Properti Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Lain-Lain – Pihak Berelasi,Penambahan Utang Lain-Lain – Pihak Berelasi,Pembayaran Utang Lain-Lain – Pihak Ketiga,Penambahan Utang Lain-Lain – Pihak Ketiga,Pembayaran Utang Lembaga Keuangan,Penambahan Piutang Lain-Lain – Pihak Berelasi,Penerimaan Piutang Lain-Lain – Pihak Berelasi,Uang Muka Setoran Modal Dari Pelaksanaan Waran,Pembayaran Utang Bank,Penambahan Utang Bank,Pembayaran Pinjaman Lainnya,Penerimaan Pinjaman Lainnya,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penurunan Modal,Tambahan Modal Disetor,Dividen,Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setra Kas Akhir Periode
12M 2019,2363709230.000000,8130789201.000000,-5722190882.000000,9431933.000000,,,-47441589.000000,,-6879433.000000,2363709230.000000,-8000000.000000,,,,,,-8000000.000000,,,,,-8000000.000000,-2808674755.000000,,176837044.000000,,9300000.000000,,-2994811799.000000,,,,,,,,,,,,,-2808674755.000000,-452965525.000000,2219016638.000000,1766051113.000000
12M 2020,1605443468.000000,29787203109.000000,-26597589155.000000,18641948.000000,-1336133261.000000,,-229859873.000000,,-36819300.000000,1605443468.000000,-17196607627.000000,,,-66000000.000000,-17050000000.000000,,-80607627.000000,,,,,-17196607627.000000,23482416299.000000,-82702073.000000,60000000.000000,,600000000.000000,,,1755118372.000000,,,7400000000.000000,,,,,,13750000000.000000,,,23482416299.000000,7891252140.000000,1766051113.000000,9657303253.000000
12M 2021,9064330985.000000,35050119286.000000,-24329487489.000000,22003164.000000,-983426035.000000,,-622102669.000000,,-72775272.000000,9064330985.000000,-2123384200.000000,,,-66000000.000000,-1500000000.000000,,-557384200.000000,,,,,-2123384200.000000,-10053853011.000000,,1043825127.000000,,,-109950635.000000,-10556299592.000000,5968986014.000000,,-13400413925.000000,7000000000.000000,,,,,,,,,-10053853011.000000,-3112906226.000000,9657303253.000000,6544397027.000000
12M 2022,-622111334.000000,84909562823.000000,-71246805130.000000,12131650.000000,-834020352.000000,-7017482871.000000,-6392278747.000000,,-53218707.000000,-622111334.000000,-14247201655.000000,8250000000.000000,,-123250000.000000,-15206609500.000000,,-237889821.000000,-6929452334.000000,,,,-14247201655.000000,14216302322.000000,-14603825127.000000,3569060000.000000,-2926328789.000000,,-178199201.000000,-2591320211.000000,8506027216.000000,,-4621408992.000000,8419129288.000000,,,,,-14940000000.000000,36940000000.000000,,-3356831862.000000,14216302322.000000,-653010667.000000,6544397027.000000,5891386360.000000
12M 2023,-33960495095.000000,167441417704.000000,-183404811447.000000,241749286.000000,-2130283905.000000,-8926896904.000000,-7469095344.000000,,287425515.000000,-33960495095.000000,-81004771408.000000,,,-237000000.000000,-17547451162.000000,-2075503307.000000,-43238506198.000000,-11376310741.000000,-7500000000.000000,-30000000.000000,1000000000.000000,-81004771408.000000,150368092342.000000,,858141600.000000,-2206048523.000000,,-219445151.000000,-2076187723.000000,877605176.000000,,-6740973037.000000,24875000000.000000,,,,,,135000000000.000000,,,150368092342.000000,35402825839.000000,5891386360.000000,41294212199.000000
12M 2024,12120189142.000000,154553035277.000000,-115819959236.000000,489446925.000000,-3797909933.000000,-10910237685.000000,-1806598573.000000,,-10587587633.000000,12120189142.000000,-72101018607.000000,,570000000.000000,,-50824814659.000000,,-2051641529.000000,-19794562419.000000,,,,-72101018607.000000,23821290841.000000,,,,,-167767162.000000,,1980000000.000000,325202750.000000,-20153270835.000000,41837126088.000000,,,,,,,,,23821290841.000000,-36159538624.000000,41294212199.000000,5134673575.000000
