Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,12622.41,0.00,0.00,0.21 B,2.44%,3.05%,5.65%,
12M 2020,0.75 B,1.94,0.00,0.00,7.26 B,4.69%,7.57%,25.93%,2.47
12M 2021,0.75 B,8.90,0.00,0.00,14.43 B,12.79%,23.36%,40.64%,10.11
12M 2022,2.20 B,6.97,0.00,0.00,32.02 B,17.89%,24.54%,46.24%,26.11
12M 2023,2.95 B,6.13,40.13,3.87,38.48 B,7.31%,8.56%,18.91%,13.17
12M 2024,2.95 B,0.83,151.81,2.43,19.59 B,0.87%,1.14%,3.80%,2.35
