Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Beban Operasional,Pembayaran Kepada Karyawan,Pembayaran Beban Bunga Dan Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pembelian Aset Tetap,Utang Lembaga Keuangan Non-Bank,Penerimaan,Pembayaran,Total Utang Lembaga Keuangan Non-Bank,Pembayaran Liabilitas Sewa,Penerimaan Utang Lain-Lain Kepada Pihak Berelasi,Pembayaran Utang Lain-Lain Kepada Pihak Berelasi,Pembayaran Dividen Tunai,Uang Muka Setoran Modal Saham,Tambahan Modal Dari Hasil Penerbitan Saham Dengan Penawaran Umum Perdana,Agio Saham Atas Penawaran Umum Saham Perdana,Biaya Emisi Atas Penawaran Umum Saham Perdana,Penerimaan Setoran Modal Dari Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-361750741.000000,,-246725134.000000,,-62170000.000000,-52855607.000000,,-361750741.000000,,,,,310111408.000000,,,,,,-242000000.000000,547111408.000000,,,,,,,5000000.000000,310111408.000000,-51639333.000000,55000000.000000,3360667.000000
12M 2021,1131946256.000000,63492012675.000000,-57442801222.000000,-1304027031.000000,-1610010137.000000,-635790485.000000,-1367437544.000000,1131946256.000000,-5343852426.000000,,-5343852426.000000,-5343852426.000000,6712033653.000000,-1183312028.000000,,11465000000.000000,-9465000000.000000,2000000000.000000,-740160000.000000,4635505681.000000,,,,,,,2000000000.000000,6712033653.000000,2500127483.000000,3360667.000000,2503488150.000000
12M 2022,-15735687650.000000,133225384263.000000,-141195500702.000000,-2068328040.000000,-1730208380.000000,-2943303544.000000,-1023731247.000000,-15735687650.000000,-7354559419.000000,,-7354559419.000000,-7354559419.000000,20684479505.000000,-2187500000.000000,,19514258125.000000,-9766544625.000000,9747713500.000000,-413726508.000000,9537992513.000000,,,,,,,4000000000.000000,20684479505.000000,-2405767564.000000,2503488151.000000,97720587.000000
12M 2023,23248602578.000000,341186885008.000000,-291093078261.000000,-2877691295.000000,-17395136725.000000,-2086534379.000000,-4485841770.000000,23248602578.000000,-5609434310.000000,,-5609434310.000000,-5609434310.000000,18453496130.000000,-3721254289.000000,,99516852803.000000,-102632608635.000000,-3115755832.000000,-3721254289.000000,1439728191.000000,,-1861628457.000000,,2000000000.000000,30000000000.000000,-2566339194.000000,,18453496130.000000,36092664398.000000,97720586.000000,36190384984.000000
12M 2024,6889209442.000000,182595209731.000000,-157505177090.000000,-2019364233.000000,-9076106999.000000,-2345821259.000000,-4759530708.000000,6889209442.000000,-17115554721.000000,,-17115554721.000000,-17115554721.000000,-8139282922.000000,-1670886000.000000,,53064912960.000000,-51728215191.000000,1336697769.000000,-175149000.000000,,-5171930744.000000,-2458014947.000000,,,,,,-8139282922.000000,-18365628201.000000,36190384983.000000,17824756782.000000
