Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,-1041256.72,-0.00,0.00,,-105.61%,110.62%,-415.31%,-9.02
12M 2021,0.00 B,245499.42,0.00,0.00,,14.45%,77.84%,99.42%,7.05
12M 2022,0.06 B,153.72,0.00,0.00,,13.95%,46.95%,56.06%,4.78
12M 2023,0.81 B,15.27,148.66,5.59,,10.80%,20.60%,29.29%,8.64
12M 2024,0.81 B,10.07,145.48,5.99,,6.80%,12.40%,14.92%,5.21
