Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Untuk Beban Operasi Lainnya,Pembayaran Kepada Direksi Dan Karyawan,Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Penerimaan Dari Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Pembayaran Piutang Non-Usaha Dari Pihak Berelasi,Penempatan Uang Jaminan,Penjualan Aset Tetap,Penerimaan Pembayaran Piutang Non-Usaha Dari Pihak Ketiga,Perolehan Aset Tetap,Pemberian Piutang Non-Usaha Kepada Pihak Berelasi,Penambahan Aset Tidak Berwujud,Penambahan Investasi Pada Entitas Anak,Arus Kas Neto Pelepasan Bisnis Entitas Sepengendali,Perolehan Aset Hak Guna,Pemberian Piutang Non-Usaha Kepada Pihak Ketiga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham,Pembayaran Biaya Emisi Saham,Penerimaan Pinjaman Bank,Pembayaran Saham Treasury,Pembayaran Pinjaman Bank,Pembayaran Dividen,Pembayaran Dividen Di Entitas Anak,Setoran Modal,Penerimaan Dari Utang Yang Bisa Dikonversi,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Kas Dan Setara Kas Entitas Anak Yang Diakuisisi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,603555903.000000,4185545538.000000,-2457045408.000000,-1067903044.000000,8425621.000000,-2026413.000000,-69773694.000000,6333303.000000,603555903.000000,-448296294.000000,62582306.000000,,,40000000.000000,-71378600.000000,-154500000.000000,,,,-250000000.000000,-75000000.000000,-448296294.000000,120000000.000000,,,,,,,,,120000000.000000,,,120000000.000000,275259609.000000,322485786.000000,597745395.000000
12M 2020,-3106818476.000000,8524129437.000000,-9154903156.000000,-2298236703.000000,36014200.000000,-7307466.000000,-206514788.000000,,-3106818476.000000,-147511317.000000,,,,50000000.000000,-175207000.000000,-15000000.000000,,,-7304317.000000,,,-147511317.000000,21044929850.000000,,,,,,-2250000000.000000,,23294929850.000000,,,,21044929850.000000,17790600057.000000,597745395.000000,18388345452.000000
12M 2021,-11041810197.000000,9512735087.000000,-10670531594.000000,-8616487715.000000,444640733.000000,-31539279.000000,-1681872629.000000,1245200.000000,-11041810197.000000,-3909169984.000000,,,,25000000.000000,-1448479897.000000,,-2036190087.000000,,,-449500000.000000,,-3909169984.000000,42798911955.000000,49200000000.000000,-6501997145.000000,,,,,,100909100.000000,,,,42798911955.000000,27847931774.000000,18388345452.000000,46236277226.000000
12M 2022,-5758569629.000000,25224707191.000000,-17541074924.000000,-12067111833.000000,580483286.000000,-218337026.000000,-1706508631.000000,-30727692.000000,-5758569629.000000,-25135998103.000000,,-11020647737.000000,,,-954975882.000000,,-9065284484.000000,-4095090000.000000,,,,-25135998103.000000,11770482263.000000,,,9215571860.000000,-785433900.000000,,,,,,,3340344303.000000,11770482263.000000,-19124085469.000000,46236277226.000000,27112191757.000000
12M 2023,3675846832.000000,30398520351.000000,-11120018608.000000,-16223094889.000000,301386089.000000,-166928786.000000,920384510.000000,-434401835.000000,3675846832.000000,-28311312170.000000,,3088174713.000000,,,-18970065016.000000,,-12429421867.000000,,,,,-28311312170.000000,9206047747.000000,,,9704551560.000000,,,-300000000.000000,-198503813.000000,,,,,9206047747.000000,-15429417591.000000,27112191759.000000,11682774168.000000
12M 2024,4415092996.000000,26064812958.000000,-5124575469.000000,-16099291717.000000,-16739780.000000,-1075524449.000000,666411453.000000,,4415092996.000000,-4964762328.000000,,4644550144.000000,275000000.000000,,-35379000.000000,,-9848933472.000000,,,,,-4964762328.000000,-7966834190.000000,,,-4607098333.000000,,,,-3359735857.000000,,,,,-7966834190.000000,-8516503522.000000,11682774167.000000,3166270645.000000
