Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Beban Bunga,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,1714101042762.000000,-1685721706180.000000,28379336582.000000,16497429680.000000,2688434186.000000,13808995494.000000,16497429680.000000,11881906902.000000,-6001749265.000000,354292043.000000,-35511950.000000,-6341660064.000000,,,21130706.000000,-6001749265.000000,5880157637.000000,-1496372750.000000,-1106107992.000000,3277676895.000000,-264856125.000000,3012820770.000000,3277676895.000000,2171568903.000000,1106107992.000000,3277676895.000000,3012820770.000000,1914131403.000000,1098689367.000000,3012820770.000000
12M 2018,1487298121359.000000,-1424377672911.000000,62920448448.000000,39761678357.000000,6174842960.000000,33586835397.000000,39761678357.000000,23158770091.000000,-6599512799.000000,2610949031.000000,-79355440.000000,-9811421353.000000,,,680314963.000000,-6599512799.000000,16559257292.000000,-4216713820.000000,,12342543472.000000,429443025.000000,12771986497.000000,12342543472.000000,9849775875.000000,2492767597.000000,12342543472.000000,12771986497.000000,10175631503.000000,2596354994.000000,12771986497.000000
12M 2019,3550041010067.000000,-3447370252564.000000,102670757503.000000,59971961113.000000,7522759681.000000,52449201432.000000,59971961113.000000,42698796390.000000,66017826890.000000,14006836529.000000,-1178512844.000000,-7605721986.000000,-36178449.000000,,60831403640.000000,66017826890.000000,108716623280.000000,-10327274186.000000,,98389349094.000000,203536224.000000,98592885318.000000,98389349094.000000,93638796062.000000,4750553032.000000,98389349094.000000,98592885318.000000,93786054680.000000,4806830638.000000,98592885318.000000
12M 2020,3687861850042.000000,-3598427026482.000000,89434823560.000000,66115637601.000000,7046297735.000000,59069339866.000000,66115637601.000000,23319185959.000000,44675162744.000000,7665983212.000000,-641432551.000000,-13712970431.000000,2099836.000000,32738636.000000,51328744042.000000,44675162744.000000,67994348703.000000,-3626592738.000000,,64367755965.000000,386509451.000000,64754265416.000000,64367755965.000000,65806444168.000000,-1438688203.000000,64367755965.000000,64754265416.000000,66140350632.000000,-1386085216.000000,64754265416.000000
12M 2021,4852117401195.000000,-4735030117710.000000,117087283485.000000,82594409500.000000,8319711040.000000,74274698460.000000,82594409500.000000,34492873985.000000,1231598885984.000000,5048253975.000000,-611872514.000000,-10668743480.000000,1164961.000000,15570493.000000,1237814512549.000000,1231598885984.000000,1266091759969.000000,330397810.000000,,1266422157779.000000,50680637.000000,1266472838416.000000,1266422157779.000000,1260037703544.000000,6384454235.000000,1266422157779.000000,1266472838416.000000,1260053675598.000000,6419162818.000000,1266472838416.000000
12M 2022,4868380395335.000000,-4758937769926.000000,109442625409.000000,97106762280.000000,8486761146.000000,88620001134.000000,97106762280.000000,12335863129.000000,665539468.000000,4629474334.000000,-884720703.000000,-6453385158.000000,6436676.000000,87803338.000000,3279930981.000000,665539468.000000,13001402597.000000,-4571188646.000000,,8430213951.000000,-233662450.000000,8196551501.000000,8430213951.000000,4244894024.000000,4185319927.000000,8430213951.000000,8196551501.000000,4127910190.000000,4068641311.000000,8196551501.000000
12M 2023,3853437447573.000000,-3749678100247.000000,103759347326.000000,94037679857.000000,8833725905.000000,85203953952.000000,94037679857.000000,9721667469.000000,-1278188854941.000000,6561112265.000000,,-4904545524.000000,,,-1279845421682.000000,-1278188854941.000000,-1268467187472.000000,-4489404021.000000,,-1272956591493.000000,-303886473.000000,-1273260477966.000000,-1272956591492.000000,-1277699440056.000000,4742848564.000000,-1272956591492.000000,-1273260477966.000000,-1277767982018.000000,4507504052.000000,-1273260477966.000000
12M 2024,4173461589103.000000,-4012845371912.000000,160616217191.000000,138033557492.000000,11255236337.000000,126778321155.000000,138033557492.000000,22582659699.000000,-248840518793.000000,4755715732.000000,,-6746872609.000000,,,-246849361916.000000,-248840518793.000000,-226257859094.000000,-5088839147.000000,,-231346698241.000000,-439129244.000000,-231785827485.000000,-231346698241.000000,-237547890307.000000,6201192066.000000,-231346698241.000000,-231785827485.000000,-237602707909.000000,5816880424.000000,-231785827485.000000
