Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,30770320009.000000,-21452901217.000000,9317418792.000000,-5856043527.000000,-5856043527.000000,-5856043527.000000,3461375265.000000,-1809792461.000000,-2207154493.000000,,21766099.000000,375595933.000000,-1809792461.000000,1651582804.000000,-1083339794.000000,-1083339794.000000,,,-1083339794.000000,568243010.000000,-83532209.000000,484710801.000000,568243010.000000,568243010.000000,,568243010.000000,484710801.000000,484710801.000000,,484710801.000000
12M 2019,63419433727.000000,-42974164351.000000,20445269376.000000,-14919850219.000000,-14919850219.000000,-14919850219.000000,5525419157.000000,-2736658970.000000,-3073200872.000000,7999863.000000,289956596.000000,38585443.000000,-2736658970.000000,2788760187.000000,-1316446220.000000,-1316446220.000000,,,-1316446220.000000,1472313967.000000,-21669695.000000,1450644272.000000,1472313967.000000,1472313967.000000,,1472313967.000000,1450644272.000000,1450644272.000000,,1450644272.000000
12M 2020,65475480450.000000,-45956594289.000000,19518886161.000000,-14551049312.000000,-14551049312.000000,-14551049312.000000,4967836849.000000,-691323176.000000,-2380403785.000000,,-178839134.000000,1867919743.000000,-691323176.000000,4276513673.000000,-1249298834.000000,-1249298834.000000,,,-1249298834.000000,3027214839.000000,288592.000000,3027503431.000000,3027214839.000000,3027214839.000000,,3027214839.000000,3027503431.000000,3027503431.000000,,3027503431.000000
12M 2021,72427580175.000000,-50093070651.000000,22334509524.000000,-15092554026.000000,-15092554026.000000,-15092554026.000000,7241955498.000000,-983666877.000000,-1277473236.000000,,-392303789.000000,686110148.000000,-983666877.000000,6258288621.000000,-566304992.000000,-518132850.000000,-41072142.000000,-7100000.000000,-566304992.000000,5691983629.000000,39198732.000000,5731182361.000000,5691983629.000000,5691983654.000000,-25.000000,5691983629.000000,5731182361.000000,5731182386.000000,-25.000000,5731182361.000000
12M 2022,79236924565.000000,-56543373410.000000,22693551155.000000,-15818985188.000000,-15818985188.000000,-15818985188.000000,6874565967.000000,-986851574.000000,-757869580.000000,,-468861466.000000,239879472.000000,-986851574.000000,5887714393.000000,-1550375837.000000,-1536094140.000000,39412601.000000,-53694298.000000,-1550375837.000000,4337338556.000000,115394737.000000,4452733293.000000,4337338556.000000,4337338545.000000,11.000000,4337338556.000000,4452733293.000000,4452733282.000000,11.000000,4452733293.000000
12M 2023,84805835926.000000,-57235942546.000000,27569893380.000000,-18610764868.000000,-18610764868.000000,-18610764868.000000,8959128512.000000,3828606898.000000,-1962608744.000000,,3919741675.000000,1871473967.000000,3828606898.000000,12787735410.000000,-2555576591.000000,-2267647250.000000,19040779.000000,-306970120.000000,-2555576591.000000,10232158819.000000,-7989752.000000,10224169067.000000,10232158819.000000,10232158764.000000,55.000000,10232158819.000000,10224169067.000000,10224169012.000000,55.000000,10224169067.000000
12M 2024,100709558383.000000,-66693951226.000000,34015607157.000000,-22125827071.000000,-22125827071.000000,-22125827071.000000,11889780086.000000,-2441298595.000000,-3205229506.000000,,-320914209.000000,1084845120.000000,-2441298595.000000,9448481491.000000,-3295958474.000000,-2679160220.000000,40353727.000000,-657151981.000000,-3295958474.000000,6152523017.000000,18736916.000000,6171259933.000000,6152523017.000000,6152521909.000000,1108.000000,6152523017.000000,6171259933.000000,6171258825.000000,1108.000000,6171259933.000000
