Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Pembiayaan Konsumen,Utang Lembaga Keuangan Lain,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain Jangka Panjang,Utang Pembiayaan Konsumen,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,523138851.000000,7417632708.000000,2812319306.000000,4605313402.000000,7417632708.000000,385405620.000000,,3460457087.000000,11786634266.000000,,,2692917610.000000,37595792427.000000,,40288710037.000000,52075344303.000000,,,13515498185.000000,,2303822374.000000,,,2303822374.000000,39352742.000000,270886581.000000,5653513537.000000,,,,,5246223717.000000,5246223717.000000,1699234.000000,13515498185.000000,16687097170.000000,,6512029893.000000,,,9953024582.000000,9953024582.000000,222042695.000000,16687097170.000000,30202595355.000000,,22500000000.000000,-534844732.000000,,-92406320.000000,21872748948.000000,52075344303.000000,222500000.000000
12M 2019,,,516829024.000000,12491219864.000000,292590332.000000,12198629532.000000,12491219864.000000,628604282.000000,,1351563935.000000,14988217105.000000,,,1376471390.000000,75071606466.000000,1067794433.000000,77515872289.000000,92504089394.000000,,,18670103563.000000,,1950562598.000000,,,1950562598.000000,65249681.000000,195110751.000000,7325494494.000000,1806464000.000000,227356900.000000,,,7099865139.000000,7099865139.000000,,18670103563.000000,9741312907.000000,,1591124932.000000,,,7780916223.000000,7780916223.000000,369271752.000000,9741312907.000000,28411416470.000000,,37500010500.000000,937469234.000000,,25655193190.000000,64092672924.000000,92504089394.000000,375000105.000000
12M 2020,,,6149373699.000000,12136244545.000000,2724558000.000000,9411686545.000000,12136244545.000000,1163346993.000000,,787561791.000000,20236527028.000000,,,127091158.000000,59663311781.000000,2175216204.000000,61965619143.000000,82202146171.000000,,,11810512910.000000,,1362286581.000000,,,1362286581.000000,169788598.000000,219113000.000000,3298488103.000000,605464623.000000,,,,6155372005.000000,6155372005.000000,,11810512910.000000,3646457011.000000,,579093488.000000,,,2540031678.000000,2540031678.000000,527331845.000000,3646457011.000000,15456969921.000000,,37500010500.000000,3589683968.000000,,25655481782.000000,66745176250.000000,82202146171.000000,375000105.000000
12M 2021,,,3534922099.000000,15444580714.000000,2060537500.000000,13384043214.000000,15444580714.000000,1718504714.000000,,34125153362.000000,54823160889.000000,,5121767875.000000,107138249.000000,59908394348.000000,1982636372.000000,67119936844.000000,121943097733.000000,,,6974418958.000000,,1499960453.000000,,,1499960453.000000,222310656.000000,145566800.000000,968717183.000000,,204695000.000000,,,3450868866.000000,3450868866.000000,482300000.000000,6974418958.000000,4756219264.000000,,1248769490.000000,,,3020457732.000000,3020457732.000000,486992042.000000,4756219264.000000,11730638222.000000,,75000021000.000000,8531667412.000000,1075.000000,26680770024.000000,110212459511.000000,121943097733.000000,750000210.000000
12M 2022,,,8011782399.000000,16852825976.000000,3610568000.000000,13242257976.000000,16852825976.000000,2584358305.000000,19067216087.000000,5643885909.000000,52160068676.000000,,22881191420.000000,114003617.000000,52527712389.000000,3881884660.000000,79404792086.000000,131564860762.000000,,,11780044897.000000,4050000000.000000,,8547000.000000,4986236274.000000,4994783274.000000,205649205.000000,109716601.000000,766213982.000000,,,,,1640734158.000000,1640734158.000000,12947677.000000,11780044897.000000,2357285149.000000,,482555508.000000,,,1379723567.000000,1379723567.000000,495006074.000000,2357285149.000000,14137330046.000000,,79562898000.000000,10019005159.000000,1086.000000,27845626471.000000,117427530716.000000,131564860762.000000,795628830.000000
12M 2023,,,7904865775.000000,16190383800.000000,2244542000.000000,13945841800.000000,16190383800.000000,2859485543.000000,21599892282.000000,4491508817.000000,53046136217.000000,,37627051287.000000,135297916.000000,70526535194.000000,5408789279.000000,113697673676.000000,166743809893.000000,,,31374000216.000000,,,,2291902153.000000,2291902153.000000,446012077.000000,104458900.000000,7873662608.000000,,5110878000.000000,,,2026366780.000000,2026366780.000000,13520719698.000000,31374000216.000000,13735824840.000000,,12957651606.000000,,,192835723.000000,192835723.000000,585337511.000000,13735824840.000000,45109825056.000000,,79849939400.000000,13880387055.000000,2141.000000,27903656241.000000,121633984837.000000,166743809893.000000,798499394.000000
12M 2024,,,9339064162.000000,12875973078.000000,1417260000.000000,11458713078.000000,12875973078.000000,3032580042.000000,19779892282.000000,7692816316.000000,52720325880.000000,,50649159773.000000,170366872.000000,106554178069.000000,9900733147.000000,167274437861.000000,219994763741.000000,,,64828825323.000000,3761500126.000000,,,3279320137.000000,3279320137.000000,444014469.000000,109625212.000000,17021707508.000000,,10163291500.000000,,352938552.000000,4901522513.000000,5254461065.000000,24794905306.000000,64828825323.000000,31353190618.000000,,20730228777.000000,,3591499014.000000,6287212331.000000,9878711345.000000,744250496.000000,31353190618.000000,96182015941.000000,,79849939400.000000,16040411994.000000,3249.000000,27922393157.000000,123812747800.000000,219994763741.000000,798499394.000000
