Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Aset Pajak Tangguhan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Piutang Lain-Lain,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Pihak Berelasi,Aset Tetap,Aset Tak Berwujud,Properti Investasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Obligasi,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Dana Syirkah Temporer,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Obligasi,Dana Syirkah Temporer,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,951049423000.000000,109153957000.000000,13173060000.000000,,13173060000.000000,13173060000.000000,4260357000.000000,1689566086000.000000,,115782927000.000000,2882985810000.000000,,1318650611000.000000,,,,,,,100359688000.000000,,77124626000.000000,,1964582000.000000,1498099507000.000000,4381085317000.000000,,,2059097260000.000000,250000000000.000000,592537301000.000000,,357380000.000000,40378780000.000000,40736160000.000000,27615153000.000000,53882887000.000000,,,,,,,1094325759000.000000,2059097260000.000000,246858471000.000000,,,,,,246858471000.000000,246858471000.000000,2305955731000.000000,,1093562287000.000000,484666101000.000000,496901198000.000000,21312873000.000000,475588325000.000000,496901198000.000000,,,,2075129586000.000000,4381085317000.000000,10395622870.000000
12M 2009,,,1049739003000.000000,38360000000.000000,8215806000.000000,,8215806000.000000,8215806000.000000,2803987000.000000,1734151735000.000000,,144231204000.000000,2977501735000.000000,,1428594666000.000000,,,,,,,111474980000.000000,1006953000.000000,72402710000.000000,,1855438000.000000,1615334747000.000000,4592836482000.000000,,,1998238617000.000000,250000000000.000000,595251010000.000000,,,22130408000.000000,22130408000.000000,14492663000.000000,40629118000.000000,,,,,,,1075735418000.000000,1998238617000.000000,254472436000.000000,,,,,,254472436000.000000,254472436000.000000,2252711053000.000000,,1093562287000.000000,484666101000.000000,761897041000.000000,23312873000.000000,738584168000.000000,761897041000.000000,,,,2340125429000.000000,4592836482000.000000,10395622870.000000
12M 2010,,,3545384624435.000000,663566822745.000000,80376206445.000000,4097734391.000000,76278472054.000000,80376206445.000000,22255592502.000000,2883392139609.000000,,335631223384.000000,7530606609120.000000,,3151878601248.000000,,,,,,,313734349372.000000,,638709494648.000000,4277705548.000000,55541141615.000000,4164141292431.000000,11694747901551.000000,,,3909135361150.000000,143500000000.000000,1095015707669.000000,15539903697.000000,,,15539903697.000000,34292998273.000000,70797798419.000000,,,,,,,2549988953092.000000,3909135361150.000000,370343646021.000000,,,,,67401000000.000000,302942646021.000000,370343646021.000000,4279479007171.000000,,1749699659200.000000,4765730551613.000000,1088781700666.000000,23812873217.000000,1064968827449.000000,1088781700666.000000,,1282986809980.000000,-1471929827079.000000,7415268894380.000000,11694747901551.000000,17496996592.000000
12M 2011,,,3479082438056.000000,686701992715.000000,74892058151.000000,2869989844.000000,72022068307.000000,74892058151.000000,12085453184.000000,3012273393424.000000,,533722282629.000000,7798757618159.000000,,3720105909409.000000,,,,,,,438274560563.000000,,766441489432.000000,9302932297.000000,54494404296.000000,4988619295997.000000,12787376914156.000000,,,4185944778390.000000,97000000000.000000,499000000000.000000,44601957025.000000,,,44601957025.000000,36468946165.000000,56841839549.000000,,,,,,,3452032035651.000000,4185944778390.000000,344207331127.000000,,,,,67401000000.000000,276806331127.000000,344207331127.000000,4530152109517.000000,,1749699659200.000000,4765730551613.000000,1828866781662.000000,25812873217.000000,1803053908445.000000,1828866781662.000000,,1384688682774.000000,-1471760870610.000000,8257224804639.000000,12787376914156.000000,17496996592.000000
12M 2012,,,3961464628320.000000,769377570824.000000,72619310378.000000,8637894621.000000,63981415757.000000,72619310378.000000,10568917746.000000,3374802203965.000000,,941791504011.000000,9130624135244.000000,,6519620293383.000000,,,,,,,415370551974.000000,,635398889373.000000,9302932297.000000,46401225304.000000,7626093892331.000000,16756718027575.000000,,,5899198905085.000000,91000000000.000000,990248670349.000000,177681119424.000000,,,177681119424.000000,36690677815.000000,94332765613.000000,,,,,,,4509245671884.000000,5899198905085.000000,325814723207.000000,,,,,44160000000.000000,281654723207.000000,325814723207.000000,6225013628292.000000,,1749699659200.000000,4765730551613.000000,2939943840316.000000,27812873217.000000,2912130967099.000000,2939943840316.000000,,2615182701913.000000,-1538852353759.000000,10531704399283.000000,16756718027575.000000,17496996592.000000
12M 2013,,,4331624074336.000000,1129454193611.000000,87756832423.000000,33408205075.000000,54348627348.000000,87756832423.000000,22570264572.000000,3796776235388.000000,,2463483474946.000000,11831665075276.000000,,7247149379703.000000,,18514844938.000000,,,18514844938.000000,,437868159909.000000,,2503357937977.000000,9302932297.000000,524301161378.000000,10740494416202.000000,22572159491478.000000,,,4436117210208.000000,1330000000000.000000,,95714598636.000000,,,95714598636.000000,42958151905.000000,91335283538.000000,,,,,,,2876109176129.000000,4436117210208.000000,4720743994363.000000,32668511072.000000,,2730273852579.000000,,,1957801630712.000000,4720743994363.000000,9156861204571.000000,,1749699659200.000000,3167989573112.000000,5368884885860.000000,29812873217.000000,5339072012643.000000,5368884885860.000000,,3191071724103.000000,-62347555368.000000,13415298286907.000000,22572159491478.000000,17496996592.000000
12M 2014,,,2966813507701.000000,695398954816.000000,108743528678.000000,26571928584.000000,82171600094.000000,108743528678.000000,29883210909.000000,5239016917801.000000,,2583821311635.000000,11623677431540.000000,,8038297745734.000000,,19634408.000000,,,19634408.000000,100515606025.000000,607789869871.000000,,2714951438150.000000,9302932297.000000,5040170739368.000000,16511047965853.000000,28134725397393.000000,,,5329326982247.000000,1420000000000.000000,,158055128867.000000,,,158055128867.000000,55729825668.000000,136514827937.000000,,,1024000000.000000,17118872342.000000,84832538790.000000,102975411132.000000,3456051788643.000000,5329326982247.000000,4331968409729.000000,101986888224.000000,32678165271.000000,2649518385982.000000,,,1547784970252.000000,4331968409729.000000,9661295391976.000000,,1837184639200.000000,4694642925161.000000,8913858856349.000000,31812873217.000000,8882045983132.000000,8913858856349.000000,,3091655399023.000000,-63911814316.000000,18473430005417.000000,28134725397393.000000,18371846392.000000
12M 2015,,,6109239577200.000000,683279177510.000000,141753491888.000000,18760319453.000000,122993172435.000000,141753491888.000000,23788799983.000000,6547651545914.000000,,3283847040670.000000,16789559633165.000000,,8594183050278.000000,,2566351406.000000,,,2566351406.000000,235050621146.000000,803252704495.000000,,3277559560530.000000,9302932297.000000,6310673636329.000000,19232588856481.000000,36022148489646.000000,,,6146403064486.000000,1897000000000.000000,,316601005643.000000,,,316601005643.000000,62270878398.000000,155259151942.000000,,,91627581035.000000,66830408332.000000,,158457989367.000000,3556814039136.000000,6146403064486.000000,7779054941824.000000,68172000000.000000,107897923855.000000,5693363130028.000000,,,1909621887941.000000,7779054941824.000000,13925458006310.000000,,1924669619200.000000,6378253160104.000000,10727656917704.000000,33812873217.000000,10693844044487.000000,10727656917704.000000,,3247169477030.000000,-181058690702.000000,22096690483336.000000,36022148489646.000000,19246696192.000000
12M 2016,,,3568915922508.000000,612194828562.000000,401225596047.000000,31918028652.000000,369307567395.000000,401225596047.000000,15739847836.000000,7440631663835.000000,,4302747958924.000000,16341455817712.000000,,10076111943103.000000,,5085510192.000000,,,5085510192.000000,239404625418.000000,823400890386.000000,,4000957997954.000000,9302932297.000000,6796486266669.000000,21950750166019.000000,38292205983731.000000,,,5566196840616.000000,377000000000.000000,,261224455766.000000,,,261224455766.000000,71670463047.000000,156203110964.000000,,,34088000000.000000,64097554264.000000,478373576264.000000,576559130528.000000,4123539680311.000000,5566196840616.000000,8373102133723.000000,34084000000.000000,46601137825.000000,6446064322488.000000,6779469916.000000,,1839573203494.000000,8373102133723.000000,13939298974339.000000,,1924669619200.000000,6390182537388.000000,12412443102333.000000,35812873217.000000,12376630229116.000000,12412443102333.000000,,3772259393261.000000,-146647642790.000000,24352907009392.000000,38292205983731.000000,19246696192.000000
12M 2017,,,5793029077323.000000,763402579273.000000,489615714451.000000,24501431664.000000,465114282787.000000,489615714451.000000,39545896445.000000,7910269422155.000000,,2968661267172.000000,17964523956819.000000,,11124003862571.000000,,1623595329.000000,9467836.000000,1614127493.000000,1623595329.000000,19339861967.000000,771936999821.000000,,7370388893677.000000,9302932297.000000,8690068372676.000000,27986664518338.000000,45951188475157.000000,,,7568816957723.000000,250000000000.000000,,1767640710376.000000,,,1767640710376.000000,112151697988.000000,156398046661.000000,,,8518000000.000000,43463497854.000000,1748678161911.000000,1800659659765.000000,3481966842933.000000,7568816957723.000000,9185520428210.000000,1328772359948.000000,3526095419.000000,5695114210833.000000,6779469916.000000,,2151328292094.000000,9185520428210.000000,16754337385933.000000,,1924669619200.000000,6411155813452.000000,17168223687148.000000,37812873217.000000,17130410813931.000000,17168223687148.000000,,3855378267694.000000,-162576298270.000000,29196851089224.000000,45951188475157.000000,19246696192.000000
