Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Laba Dari Ventura Bersama,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Hak Minoritas,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Proforma Laba Bersih Dari Transaksi Restrukturisasi Entitas Sepengendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1386110523000.000000,-744459323000.000000,641651200000.000000,-229636353000.000000,-125511193000.000000,-104125160000.000000,,-229636353000.000000,412014847000.000000,-107887673000.000000,61437231000.000000,-7923546000.000000,,-176358251000.000000,,,14956893000.000000,-107887673000.000000,304127174000.000000,-80665377000.000000,-67758622000.000000,-12906755000.000000,,-80665377000.000000,223461797000.000000,,,,223461797000.000000,,,,,223461797000.000000,223461797000.000000,,,,223461797000.000000,,,,
12M 2009,1270592451000.000000,-637957452000.000000,632634999000.000000,-176177078000.000000,-85103813000.000000,-91073265000.000000,,-176177078000.000000,456457921000.000000,-80289204000.000000,71926954000.000000,-17568074000.000000,,-123434028000.000000,,,-11214056000.000000,-80289204000.000000,376168717000.000000,-67430383000.000000,-67430383000.000000,,,-67430383000.000000,308738334000.000000,,,,308738334000.000000,,,,,308738334000.000000,308738334000.000000,,,,308738334000.000000,,,,
12M 2010,2477202549758.000000,-940509230380.000000,1536693319378.000000,-666218808691.000000,-246827931838.000000,-419390876853.000000,,-666218808691.000000,870474510687.000000,23231610775.000000,112161888224.000000,-6613368239.000000,3706043722.000000,-189679954947.000000,,35182107975.000000,68474894040.000000,23231610775.000000,893706121462.000000,-142407463599.000000,,,,-142407463599.000000,751298657863.000000,-231594689315.000000,-125300763793.000000,,394403204755.000000,,,,,394403204755.000000,751298657863.000000,-125300763793.000000,-231594689315.000000,,394403204755.000000,,,,
12M 2011,2806339356563.000000,-1021278370406.000000,1785060986157.000000,-824505606459.000000,-306802000522.000000,-517703605937.000000,,-824505606459.000000,960555379698.000000,209675125244.000000,240891318712.000000,3760965034.000000,382820500.000000,-153378138143.000000,,53905812307.000000,64112346834.000000,209675125244.000000,1170230504942.000000,-158196682792.000000,,,,-158196682792.000000,1012033822150.000000,,,,1012033822150.000000,267237913.000000,267237913.000000,267237913.000000,1012301060063.000000,1012033822150.000000,840780039609.000000,171253782541.000000,,,1012033822150.000000,1012301060063.000000,840948996078.000000,171352063985.000000,1012301060063.000000
12M 2012,3727811859978.000000,-1346826251766.000000,2380985608212.000000,-949430685669.000000,-287041615108.000000,-662389070561.000000,,-949430685669.000000,1431554922543.000000,265008902399.000000,206160854973.000000,15693151314.000000,1159355000.000000,-90394800818.000000,,43087504937.000000,89302836993.000000,265008902399.000000,1696563824942.000000,-217705039997.000000,,,,-217705039997.000000,1478858784945.000000,,,,1478858784945.000000,1721995283.000000,1721995283.000000,1721995283.000000,1480580780228.000000,1478858784945.000000,1286047024574.000000,192811760371.000000,,,1478858784945.000000,1480580780228.000000,1287148762084.000000,193432018144.000000,1480580780228.000000
12M 2013,5741264172193.000000,-1575447230439.000000,4165816941754.000000,-1256189773879.000000,-375170990467.000000,-881018783412.000000,,-1256189773879.000000,2909627167875.000000,369327232089.000000,206124584121.000000,165838960366.000000,1539059327.000000,-198686580140.000000,,47138654389.000000,147372554026.000000,369327232089.000000,3278954399964.000000,-373305894466.000000,,,,-373305894466.000000,2905648505498.000000,,,,2905648505498.000000,3698786760.000000,3698786760.000000,3698786760.000000,2909347292258.000000,2905648505498.000000,2691395994424.000000,214252511074.000000,,,2905648505498.000000,2909347292258.000000,2695880295299.000000,213466996959.000000,2909347292258.000000
12M 2014,5571872356240.000000,-1440361331957.000000,4131511024283.000000,-1499934694042.000000,-462704965669.000000,-1037229728373.000000,,-1499934694042.000000,2631576330241.000000,1674749170872.000000,285387849520.000000,29702969826.000000,743702451.000000,-384629239497.000000,,1666579562088.000000,76964326484.000000,1674749170872.000000,4306325501113.000000,-309861607648.000000,,,,-309861607648.000000,3996463893465.000000,,,,3996463893465.000000,-2131581917.000000,-2131581917.000000,-2131581917.000000,3994332311548.000000,3996463893465.000000,3820551666369.000000,175912227096.000000,,,3996463893465.000000,3994332311548.000000,3817255833880.000000,177076477668.000000,3994332311548.000000
12M 2015,6209574072348.000000,-1571558558979.000000,4638015513369.000000,-2090605871743.000000,-530181558159.000000,-1207249084531.000000,-353175229053.000000,-2090605871743.000000,2547409641626.000000,-185327718993.000000,251444511424.000000,138534244938.000000,2390878508.000000,-574966702317.000000,,47621071430.000000,-50351722976.000000,-185327718993.000000,2362081922633.000000,-10701865488.000000,-10701865488.000000,,,-10701865488.000000,2351380057145.000000,,,,2351380057145.000000,-5270258264.000000,-5270258264.000000,-5270258264.000000,2346109798881.000000,2351380057145.000000,2139496597748.000000,211883459397.000000,,,2351380057145.000000,2346109798881.000000,2134233025231.000000,211876773650.000000,2346109798881.000000
12M 2016,6521770279079.000000,-1840304062208.000000,4681466216871.000000,-2205388979704.000000,-541321478992.000000,-1304797230838.000000,-359270269874.000000,-2205388979704.000000,2476077237167.000000,-410634335862.000000,222407007539.000000,-116421421740.000000,2965023187.000000,-612614134366.000000,,241278110215.000000,-148248920697.000000,-410634335862.000000,2065442901305.000000,-27905221175.000000,-27905221175.000000,,,-27905221175.000000,2037537680130.000000,,,,2037537680130.000000,-19395386988.000000,-19395386988.000000,-19395386988.000000,2018142293142.000000,2037537680130.000000,1796156479042.000000,241381201088.000000,,,2037537680130.000000,2018142293142.000000,1777978701027.000000,240163592115.000000,2018142293142.000000
12M 2017,10347343192163.000000,-2756914142298.000000,7590429049865.000000,-2528033380134.000000,-912603848105.000000,-1202328379604.000000,-413101152425.000000,-2528033380134.000000,5062395669731.000000,165725389411.000000,265993198809.000000,-47580504424.000000,4038609095.000000,-549130850528.000000,,494587176739.000000,-2182240280.000000,165725389411.000000,5228121059142.000000,-39349089255.000000,-39349089255.000000,,,-39349089255.000000,5188771969887.000000,-22051898902.000000,,,5166720070985.000000,-69709492825.000000,-69709492825.000000,-69709492825.000000,5097010578160.000000,5166720070985.000000,4920228055346.000000,246492015639.000000,,,5166720070985.000000,5097010578160.000000,4852978904785.000000,244031673375.000000,5097010578160.000000
