Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari :,Pelanggan,Lain-Lain,Total Penerimaan Kas Dari :,Pembayaran Kas Untuk :,Kontaktor,Beban Umum,Gaji,Beban Penjualan,Total Pembayaran Kas Untuk :,Pembayaran Untuk Pembelian Tanah,Penerimaan Dari Restitusi Pajak,Pembayaran Pajak Final,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penurunan (Kenaikan) Bank Dan Deposito Berjangka Yang Dibatas Penggunaannya,Penerimaan Dividen,Penerimaan Bagi Hasil,Hasil Penjualan Investasi,Penerimaan Dari Penerbitan Saham,Hasil Penjualan Aset Tetap,Hasil Penjualan Properti Investasi,Investasi Pada Surat Berharga,Uang Muka Pembayaran Tanah Atas Hak Konsesi Jalan Tol,Arus Kas Masuk Bersih Pada Tanggal Akuisisi,Arus Kas Keluar Bersih Pada Tanggal Akuisisi,Perolehan Aset Tetap,Penyaluran Dana Mudharabah,Penambahan Aset Tetap Dalam Rangka Bangun,Penambahan Properti Investasi,Penarikan (Penempatan) Investasi,Uang Muka Investasi,Hasil Penjualan Investasi Tersedia Untuk Dijual,Uang Muka Pembelian Saham,Pembayaran Uang Muka Investasi,Penerimaan (Pembayaran) Investasi Pada Saham,Pembayaran Investasi Bersih,Pembayaran Dari Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Atas Penambahan Kepemilikan Saham Entitas Anak Dari Kepentingan Nonpengendali,Penarikan Investasi Pada Deposito Yang Dibatasi Pencairannya,Penarikan Investasi Pada Reksa Dana,Pendapatan Investasi Wakalah,Arus Kas Keluar Bersih Pada Tanggal Pelepasan Entitas Anak,Pembayaran Akuisisi Saham,Piutang Pihak Berelasi,Penambahan Aset Tidak Berwujud,Penempatan Hak Guna Aset,Pembayaran Liabilitas Atas Properti Investasi,Uang Muka Properti Investasi,Penurunan Aset Bangun Kelola Dan Alih,Penerimaan Atas Uang Muka Penurunan Investasi Dalam Saham,Pembayaran Uang Muka Investasi Dalam Saham,Penurunan Piutang Pada Perusahaan Asosiasi,Pembayaran Untuk Hak Konsesi Jalan Tol,Pembayaran Uang Muka Aset Tetap,Hasil Penjualan Saham,Lain-Lain,Akuisisi Saham Anak Perusahaan Setelah Dikurangi Saldo Kas,Pembayaran Liabilitas Atas Perolehan Property Investasi,Pembayaran Liabilitas Atas Perolehan Aset Tetap,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Obligasi,Penerimaan Atas Peningkatan Modal Saham Entitas Anak Yang Menjadi Bagian Kepentingan Non Pengendali,Penerimaan Atas Peningkatan Modal Saham,Kelebihan Penerimaan Setoran Modal,Penerimaan Utang Bank Jangka Pendek,Penerimaan Atas Peningkatan Modal Saham Tanpa Hmetd,Penerimaan Utang Bank Jangka Panjang,Pembayaran Untuk :,Utang Obligasi,Dividen,Uang Muka Dividen Oleh Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Dividen Oleh Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Utang Obligasi Konversi,Bunga,Utang Bank Jangka Panjang,Utang Bank Jangka Pendek,Utang Pihak Berelasi Non-Usaha,Liabilitas Sewa Pembiayaan,Cicilan Imbalan Ijarah,Bunga Sewa Pembiayaan,Utang Bank,Total Pembayaran Untuk :,Penerimaan Surat Sanggup Jangka Menengah,Pembayaran Surat Sanggup Jangka Menengah,Hasil Penerbitan Penawaran Umum Terbatas Saham,Uang Muka Pembayaran Dividen,Arus Kas Keluar Pada Tanggal Akuisisi Entitas Anak Dari Kepentingan Non Pengendali,Hasil Penerbitan Obligasi Konversi,Hasil Penerbitan Obligasi,Pembelian Saham Treasuri,Surat Sanggup Jangka Menengah,Pinjaman Ke Pihak Berelasi,Penerbitan Saham Baru,Dana Syirkah Temporer,Pembayaran Biaya Penerbitan Saham Baru,Pembayaran Atas Pengembalian Modal Disetor Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Penerimaan Pinjaman Oleh Entitas Anak Dari Kepentingan Nonpengendali,Penambahan Utang Bank,Pinjaman Oleh Entitas Anak Kepada Kepentingan Nonpengendali,Pembayaran Atas Penurunan Modal Saham Oleh Anak Perusahaan Yang Menjadi Bagian Kepentingan Nonpengendali,Penerimaan Atas Peningkatan Modal Saham Oleh Anak Perusahaan Yang Menjadi Bagian Kepentingan Nonpengendali,Penerimaan Uang Muka Atas Peningkatan Modal Saham Oleh Entitas Anak Perusahaan Yang Menjadi Bagian Kepentingan Nonpengendali,Uang Muka Penurunan Modal Entitas Anak Yang Menjadi Bagian Kepentingan Nonpengendali,Pembayaran Biaya Emisi Obligasi,Selisih Kurs,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Efek Penyesuaian Proforma Atas Transaksi Restrukturisasi Entitas Sepengendali,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,524301028000.000000,,1767408991000.000000,,1767408991000.000000,,-571829863000.000000,-183427281000.000000,-112885603000.000000,-102643585000.000000,-970786332000.000000,-214562009000.000000,,,-57759622000.000000,524301028000.000000,-23567308000.000000,58543610000.000000,,,,,,41025000.000000,,,,,,-37051736000.000000,,,,,,,,,,,693750000.000000,,25000000000.000000,-70793957000.000000,,,,,,,,,,,,,,,,,,,,,-23567308000.000000,174775630000.000000,,,,,,,,,-250000000000.000000,,,,,-157813417000.000000,,,,,,,,-407813417000.000000,,,583245838000.000000,,,,,,,,,,,,,,,,,,,-656791000.000000,,174775630000.000000,675509350000.000000,275096083000.000000,,443990000.000000,951049423000.000000
12M 2009,165855406000.000000,,1405601256000.000000,,1405601256000.000000,,-616130163000.000000,-168219200000.000000,-114029949000.000000,-63025175000.000000,-961404487000.000000,-150512579000.000000,,,-127828784000.000000,165855406000.000000,118343638000.000000,73387371000.000000,,,,,,742331000.000000,,,,,,-25556001000.000000,,,,,,,,,,,,,,70793957000.000000,,,,,-1024020000.000000,,,,,,,,,,,,,,,,118343638000.000000,-168233077000.000000,,,,,,,,,,-43742491000.000000,,,,-123559028000.000000,,,,,,,,-167301519000.000000,,,,,,,,,,,,,,,,,,,,,,-931558000.000000,,-168233077000.000000,115965967000.000000,951049423000.000000,,-17276387000.000000,1049739003000.000000
12M 2010,759666347857.000000,,2122944821808.000000,,2122944821808.000000,,-530629088785.000000,-210497319217.000000,-133082271695.000000,-103522642389.000000,-977731322086.000000,-285157478566.000000,,,-100389673299.000000,759666347857.000000,-2785102423120.000000,62958917853.000000,,,,,,533511110.000000,,,,,,-31978492443.000000,,,-17141326488.000000,-38380005339.000000,,,,,,,,,,,,,,,-689466824.000000,,,,,,,,,,,,-2760405560989.000000,,,,-2785102423120.000000,4525976391776.000000,,,,,,,,,,-65613737220.000000,,,,-111611693080.000000,,,,,,,-321000000000.000000,-498225430300.000000,,,4937201822076.000000,,,,,,,,,,,,,87000000000.000000,,,,,,,,4525976391776.000000,2500540316513.000000,1749073952154.000000,-699334948728.000000,-4894695504.000000,3545384624435.000000
12M 2011,984966671642.000000,,4059439261843.000000,,4059439261843.000000,,-1010340937893.000000,-611596097815.000000,-356071458941.000000,-190891706595.000000,-2168900201244.000000,-718671686537.000000,,,-186900702420.000000,984966671642.000000,-67234835765.000000,241783252873.000000,,,13011800000.000000,,3000.000000,382820500.000000,,10191955432.000000,,,,-169462052331.000000,,,-158078336317.000000,76580005339.000000,,,,,-57166667668.000000,-22070400000.000000,,,,,,,,,-2407216593.000000,,,,,,,,,,,,,,,,-67234835765.000000,-987179289277.000000,,,,,,,,,,-104981979553.000000,,-51188400000.000000,-600000000000.000000,-166508909724.000000,,,,,,,-46500000000.000000,-969179289277.000000,,,,,,,,,,,,,,,,,,-18000000000.000000,,,,,,-987179289277.000000,-69447453400.000000,3545384624435.000000,,3154867021.000000,3479092038056.000000
12M 2012,222677916607.000000,,4772049216778.000000,,4772049216778.000000,,-1115415870683.000000,-547489299432.000000,-385461189671.000000,-159820643063.000000,-2208187002849.000000,-2118838195727.000000,,,-222346101595.000000,222677916607.000000,-57410952525.000000,204982008297.000000,,13011800000.000000,,,,1159355000.000000,209440000000.000000,80004712365.000000,,213950908141.000000,,-55354031063.000000,,,-51096786508.000000,-409725585421.000000,,,,,-263783333336.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-57410952525.000000,304092897576.000000,1000000000000.000000,,126940001000.000000,,,,,,-500000000000.000000,-174969965920.000000,,-39126262500.000000,-23241000000.000000,-79509875004.000000,,,,,,,-6000000000.000000,-822847103424.000000,,,,,,,,,,,,,,,,,,,,,,,,304092897576.000000,469359861658.000000,3479082438056.000000,,13022328606.000000,3961464628320.000000
12M 2013,548881192619.000000,,7270674900953.000000,,7270674900953.000000,,-1513565117516.000000,-995874394753.000000,-515141189542.000000,-225320859650.000000,-3249901561461.000000,-3126677551222.000000,,,-345214595651.000000,548881192619.000000,-2846963217992.000000,198869803432.000000,,35718647144.000000,14841666661.000000,,,2120225000.000000,,,,-255947520699.000000,,-73923738922.000000,-255000000000.000000,,-1303422489458.000000,-427688764150.000000,,,,,-782531047000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-2846963217992.000000,2580647366027.000000,1750000000000.000000,,,,,,32668511072.000000,,,-262454948880.000000,,-71048582500.000000,-44160000000.000000,-166113033665.000000,,,,,,,-91000000000.000000,-634776565045.000000,,,102755420000.000000,,,,,,,,,,,,,1330000000000.000000,,,,,,,,2580647366027.000000,282565340654.000000,3961464628320.000000,,87594105362.000000,4331624074336.000000
12M 2014,126342552051.000000,,5922028044426.000000,,5922028044426.000000,,-2117166831770.000000,-1077158028508.000000,-647858550519.000000,-265662739300.000000,-4107846150097.000000,-1386471810516.000000,,,-301367531762.000000,126342552051.000000,-2184175449792.000000,276930742599.000000,,65819212822.000000,11385804326.000000,,,1226787272.000000,,,,127350534425.000000,-241800610700.000000,-169111637059.000000,351656000000.000000,,-179219476133.000000,-123475140122.000000,,,,,-2164840750737.000000,,,,,,,,,-129360000000.000000,,,,,,,,,,,,-10736916485.000000,,,,,-2184175449792.000000,673381046257.000000,1592226636000.000000,,,,,,70342377152.000000,,,-275577695880.000000,,-41077699500.000000,,-375505078295.000000,,,,,,,-300000000000.000000,-992160473675.000000,,,,,,,,,,,,,,,,390000000000.000000,,-500000017220.000000,,,112972524000.000000,,,673381046257.000000,-1384451851484.000000,4331624074336.000000,,19641284849.000000,2966813507701.000000
12M 2015,-167069726926.000000,,7028565302561.000000,,7028565302561.000000,,-2643052975274.000000,-1074096475337.000000,-763933583146.000000,-315275062923.000000,-4796358096680.000000,-2229769371247.000000,158120242816.000000,-323385247490.000000,-4242556886.000000,-167069726926.000000,-626062957565.000000,322145970265.000000,,118999216385.000000,,,,2490035606.000000,,,,,,-138760777215.000000,,,-628580737856.000000,16549531751.000000,80000000000.000000,,,,-224542269400.000000,,,,,,,,,-170030000000.000000,,,,,,,,,,,,,,,-4333927101.000000,,-626062957565.000000,3918232635213.000000,2867162625000.000000,,,,607000000000.000000,,85783288591.000000,,-85000000000.000000,-288700442880.000000,,-93986412500.000000,,-635118034087.000000,-28994595780.000000,,,-67544432343.000000,,-5451482788.000000,-130000000000.000000,-1334795400378.000000,,,1653466122000.000000,,,,,,,,,,,,,,,,,39616000000.000000,,,,3918232635213.000000,3125099950722.000000,2820497518399.000000,,163642108079.000000,6109239577200.000000
12M 2016,-264246326033.000000,,7650610681557.000000,4050000000.000000,7654660681557.000000,,-2703337516867.000000,-1516924479996.000000,-775828197791.000000,-296542658792.000000,-5292632853446.000000,-2307672295048.000000,,-315289742280.000000,-3312116816.000000,-264246326033.000000,-981536181821.000000,413970836030.000000,,68602635668.000000,,,,3180771091.000000,,,,,,-127560698636.000000,,,-624630563888.000000,73723983804.000000,1600000000.000000,,,-350000000000.000000,-343000000000.000000,,,-2500000000.000000,,,,,,-92050000000.000000,,,,,,,,,,,,,,-1143495911.000000,-1729649979.000000,,-981536181821.000000,-1253749408098.000000,3258800000000.000000,,,,350000000000.000000,,556779469916.000000,,-2053089076800.000000,-96233480960.000000,,-121016612625.000000,,-823517040458.000000,-641627581035.000000,,,-66530197652.000000,,-4615083041.000000,-1870000000000.000000,-5676629072571.000000,256842500000.000000,-87232605443.000000,,,,,,,,,,,,,,,-197500000000.000000,,443896300000.000000,28910000000.000000,-187616000000.000000,,,-1253749408098.000000,-2499531915952.000000,6109239577200.000000,,-40791738740.000000,3568915922508.000000
12M 2017,4647444612879.000000,,11125626253726.000000,,11125626253726.000000,,-2264825827016.000000,-1297448298089.000000,-826269141608.000000,-597620180426.000000,-4986163447139.000000,-1163511148469.000000,,-323080405235.000000,-5426640004.000000,4647444612879.000000,-2998563771963.000000,179145058136.000000,,341912445919.000000,,,,228456364.000000,,,,,-48454192815.000000,-78397728107.000000,,,-1523525010239.000000,-140849306494.000000,,,,-3974000000.000000,-916909686338.000000,,,,,,,,,-58154000000.000000,,,,-740944105854.000000,,,,,,-10866009.000000,,,,-7379455526.000000,-1251381000.000000,,-2998563771963.000000,595529887165.000000,956303041882.000000,,,,,,2078375003999.000000,,-479000000000.000000,-96233480960.000000,,-97195201875.000000,,-561650876012.000000,-859654000000.000000,,,-63746908712.000000,,-3452586600.000000,-127000000000.000000,-2287933054159.000000,,-169609894557.000000,,,,,,,,,,,,,34790000.000000,,,,18360000000.000000,,,,,595529887165.000000,2244410728081.000000,3577705526195.000000,,-29087176953.000000,5793029077323.000000
