Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,25 B,(7 B),18 B,-564075.76
12M 2022,33 B,(11 B),33 B,1729223.37
12M 2023,40 B,(16 B),,1926117.10
12M 2024,37 B,(24 B),13 B,3.71
