Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Kas Untuk Aktivitas Operasi Lainnya,Pembayaran Pajak Penghasilan Badan,Pembayaran Imbalan Kerja Karyawan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Jangka Panjang,Jangka Pendek,Total Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Jangka Panjang,Jangka Pendek,Total Pembayaran Pinjaman Bank,Penerimaan Dari Penerbitan Saham Melalui Penawaran Umum Perdana Saham,Pembayaran Utang Pembiayaan Multiguna,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,1744829.000000,8208685.000000,-5559439.000000,-801082.000000,-347.000000,-102988.000000,,1744829.000000,-480801.000000,,-494070.000000,12997.000000,272.000000,-480801.000000,-1319566.000000,,,7778840.000000,7778840.000000,,-245000.000000,-7694821.000000,-7939821.000000,,-56257.000000,-1102328.000000,-1319566.000000,-55538.000000,70876.000000,15338.000000
12M 2022,2102142.000000,12813845.000000,-9630735.000000,-944041.000000,3807.000000,-140492.000000,-242.000000,2102142.000000,-707182.000000,,-715170.000000,7397.000000,591.000000,-707182.000000,-1210985.000000,,,6164909.000000,6164909.000000,,-106000.000000,-6484657.000000,-6590657.000000,,-25442.000000,-759795.000000,-1210985.000000,183975.000000,15338.000000,199313.000000
12M 2023,2622575.000000,8836385.000000,-5108302.000000,-927845.000000,-11048.000000,-145572.000000,-21043.000000,2622575.000000,-1342685.000000,-281000.000000,-1062369.000000,92.000000,592.000000,-1342685.000000,-993036.000000,,,7554211.000000,7554211.000000,,-463078.000000,-7069918.000000,-7532996.000000,,-31111.000000,-983140.000000,-993036.000000,286854.000000,199313.000000,486167.000000
12M 2024,2319795.000000,10891718.000000,-5776057.000000,-1031496.000000,-1606494.000000,-152246.000000,-5630.000000,2319795.000000,-1680470.000000,-269000.000000,-1514786.000000,99286.000000,4030.000000,-1680470.000000,-493440.000000,,,5391060.000000,5391060.000000,,-5096372.000000,-5877353.000000,-10973725.000000,6016091.000000,-28940.000000,-897926.000000,-493440.000000,145885.000000,488167.000000,634052.000000
